,Team,Conf,G,Rec,AdjOE,AdjDE,Barthag,EFG%,EFGD%,TOR,TORD,ORB,DRB,FTR,FTRD,2P%,2P%D,3P%,3P%D,Adj T.,WAB
0,Gonzaga,WCC,33,32–1,119.8,88.0,.9720,58,41.6,15.9,17.7,29.9,25.4,38.2,26,58.4,40,38.2,30,71.8,7.8
1,Villanova,BE,34,31–3,122.2,92.2,.9622,57.9,48.1,17.1,20.2,29.6,27.6,35.3,21.8,59.7,48.9,37,31.3,65.8,11
2,Virginia,ACC,32,22–10,114.1,86.7,.9591,52.9,45.7,15.6,21,28.7,24.2,25.7,34,50,45,39.3,31.2,60.3,5
3,Kentucky,SEC,34,29–5,119.2,91.5,.9544,53.2,47.4,16,19.4,34,27.2,41.7,34.7,53.4,48,35.3,30.7,74.6,9
4,North Carolina,ACC,33,26–7,121.0,93.1,.9531,52.3,48.5,16.4,18.7,42,25.1,33.1,31.4,51.1,46.7,36.7,34.2,72.7,8.3
5,Florida,SEC,32,24–8,115.7,89.3,.9516,51.5,45.6,16.6,21.1,31.9,29.2,40.4,33.9,49.9,45.5,36.3,30.7,70.4,6.3
6,Louisville,ACC,32,24–8,116.2,89.7,.9515,51.4,45.1,16.1,19.8,36.3,28.7,34.8,39.8,50.2,44.4,35.9,30.9,69.7,6.9
7,West Virginia,B12,34,26–8,116.1,89.8,.9505,51.8,48.7,16.9,28.1,37.7,32.4,38.2,42.2,50.6,46.6,36.1,34.9,72.5,6.3
8,Duke,ACC,35,27–8,121.1,94.9,.9427,54.8,47.5,16.2,17.2,31.5,29.4,38.9,30.9,53.8,48.8,37.6,29.5,69.6,8.5
9,Kansas,B12,32,28–4,120.4,94.4,.9425,55.9,47.9,18.1,18.6,34.3,30.4,36.8,30.8,53.2,45,40.5,35.7,71.6,10.9
10,SMU,Amer,34,30–4,118.8,93.7,.9390,54.7,45.7,17,18.3,37.5,26.3,36.5,24.5,51.2,43.5,40.6,32.2,65,6.5
11,Wichita St.,MVC,33,29–4,116.9,92.8,.9340,54.7,43.9,15.9,19.8,33.9,24.2,40.9,35.2,51,42.3,40.7,31,70.5,4.2
12,Purdue,B10,32,25–7,116.1,92.3,.9334,55.7,46.7,18.4,17,30.9,24.5,34.3,22.7,52.5,45.8,40.6,32.3,70.5,5.6
13,Saint Mary's,WCC,32,28–4,118.3,94.2,.9317,57.9,45.2,17.3,15.4,33.4,21.4,26.6,25.5,56.5,45.1,39.9,30.3,60.8,4
14,Baylor,B12,31,24–7,116.0,92.5,.9310,52.7,45.2,20.7,16.9,40,29.7,34.2,30.4,52.5,44.2,35.3,31.4,64.8,7.8
15,Cincinnati,Amer,34,29–5,113.6,91.2,.9259,51.7,44.7,15.2,20.8,35.8,29.6,32.5,29.6,51.8,41,34.3,34.1,65.7,5.7
16,Michigan,B10,35,24–11,121.6,97.9,.9236,56.9,51.7,14.6,20.1,25.3,29.4,30.5,27.5,56.7,49.7,38.1,37.8,64,3.8
17,Wisconsin,B10,34,25–9,113.5,91.5,.9225,51.7,47.3,16.8,19.9,35.5,25.4,32,26.4,50.8,42.6,35.5,37.7,64.5,5.1
18,Notre Dame,ACC,34,25–9,119.5,96.4,.9221,54,49,13.9,18.8,27.4,31,28.2,26.6,51.3,48.1,38.6,33.7,68.5,5.9
19,Oregon,P12,33,28–5,116.0,93.7,.9206,55.6,46.1,17,20.1,32,29.8,34.4,26.6,54.8,45.8,37.9,31.1,68.5,6
20,Iowa St.,B12,33,23–10,118.1,95.6,.9187,54.8,49,14.1,20,26.1,32,27.6,25.7,51.2,47.1,40.2,34.8,69.6,6.4
21,Oklahoma St.,B12,31,19–12,125.1,101.4,.9175,53.8,52.8,18.3,20.8,38,32.2,37.8,45.6,50,52.5,40.3,35.5,73,3.3
22,Arizona,P12,34,30–4,116.3,94.3,.9173,53.7,47.1,17,17.7,33.3,26.2,41,29.2,51,47.9,39.8,30.6,67,7.9
23,Florida St.,ACC,33,25–8,116.0,94.3,.9153,53.9,47.4,16.3,19.8,34,30.4,37.7,37.3,54.1,45.1,35.6,34.4,72.6,5.9
24,UCLA,P12,33,29–4,121.7,99.2,.9130,59.5,48.4,15.4,16.2,29.4,28.3,26.9,25.8,58.8,45,40.5,36.2,75.4,6.7
25,Creighton,BE,33,24–9,115.6,95.3,.9023,58,50,17.1,19.6,24.1,29.7,27.9,28.6,56.7,49.9,40.1,33.4,72.6,4.3
26,Butler,BE,31,23–8,117.5,97.0,.9014,54.6,50.7,15.1,20.1,28.1,27.8,36.2,37.5,54.6,51,36.3,33.4,67,5.5
27,Miami FL,ACC,32,21–11,110.7,92.3,.8904,51.2,47.2,19.6,18.3,33.7,27.9,34.3,28.8,49.9,45.9,35.9,33.1,64.7,2.9
