,School,Date,Venue,Opponent,Result/Line
0,Gonzaga,11-07,H,North Florida,W
1,Gonzaga,11-11,N,Michigan St.,W
2,Gonzaga,11-16,A,Texas,L
3,Gonzaga,11-20,H,Kentucky,W
4,Gonzaga,11-24,N,Portland St.,W
5,Gonzaga,11-25,N,Purdue,L
6,Gonzaga,11-27,N,Xavier,W
7,Gonzaga,12-02,N,Baylor,L
8,Gonzaga,12-05,H,Kent St.,W
9,Gonzaga,12-09,H,Washington,W
10,Gonzaga,12-12,H,Northern Illinois,W
11,Gonzaga,12-17,N,Alabama,W
12,Gonzaga,12-20,H,Montana,W
13,Gonzaga,12-28,H,Eastern Oregon,W
14,Gonzaga,12-31,H,Pepperdine,W
15,Gonzaga,1-05,A,San Francisco,W
16,Gonzaga,1-07,A,Santa Clara,W
17,Gonzaga,1-12,A,BYU,W
18,Gonzaga,1-14,H,Portland,W
19,Gonzaga,1-19,H,Loyola Marymount,L
20,Gonzaga,1-21,A,Pacific,W
21,Gonzaga,1-28,A,Portland,W
22,Gonzaga,2-02,H,Santa Clara,W
23,Gonzaga,2-04,A,Saint Mary's,L
24,Gonzaga,2-09,H,San Francisco,W
25,Gonzaga,2-11,H,BYU,W
26,Gonzaga,2-16,A,Loyola Marymount,W
27,Gonzaga,2-18,A,Pepperdine,W
28,Gonzaga,2-23,H,San Diego,W
29,Gonzaga,2-25,H,Saint Mary's,W
30,Gonzaga,3-01,H,Chicago St.,W
31,Gonzaga,3-06,N,San Francisco,W
32,Gonzaga,3-07,N,Saint Mary's,W
33,Baylor,11-07,H,Mississippi Valley St.,W
34,Baylor,11-11,H,Norfolk St.,W
35,Baylor,11-14,H,Northern Colorado,W
36,Baylor,11-18,N,Virginia,L
37,Baylor,11-20,N,UCLA,W
38,Baylor,11-23,H,McNeese St.,W
39,Baylor,11-29,A,Marquette,L
40,Baylor,12-02,N,Gonzaga,W
41,Baylor,12-06,H,Tarleton St.,W
42,Baylor,12-18,N,Washington St.,W
43,Baylor,12-20,H,Northwestern St.,W
44,Baylor,12-28,H,Nicholls St.,W
45,Baylor,12-31,A,Iowa St.,L
46,Baylor,1-04,H,TCU,L
47,Baylor,1-07,H,Kansas St.,L
48,Baylor,1-11,A,West Virginia,W
49,Baylor,1-14,H,Oklahoma St.,W
50,Baylor,1-17,A,Texas Tech,W
51,Baylor,1-21,A,Oklahoma,W
52,Baylor,1-23,H,Kansas,W
53,Baylor,1-28,H,Arkansas,W
54,Baylor,1-30,A,Texas,L
55,Baylor,2-04,H,Texas Tech,W
56,Baylor,2-08,H,Oklahoma,W
57,Baylor,2-11,A,TCU,W
58,Baylor,2-13,H,West Virginia,W
59,Baylor,2-18,A,Kansas,L
60,Baylor,2-21,A,Kansas St.,L
61,Baylor,2-25,H,Texas,W
62,Baylor,2-27,A,Oklahoma St.,W
63,Baylor,3-04,H,Iowa St.,L
64,Baylor,3-09,N,Iowa St.,L
65,Arizona,11-07,H,Nicholls St.,W
66,Arizona,11-11,H,Southern,W
67,Arizona,11-17,H,Utah Tech,W
68,Arizona,11-21,N,Cincinnati,W
69,Arizona,11-22,N,San Diego St.,W
70,Arizona,11-23,N,Creighton,W
71,Arizona,12-01,A,Utah,L
72,Arizona,12-04,H,California,W
73,Arizona,12-10,N,Indiana,W
74,Arizona,12-13,H,Texas A&M Corpus Chris,W
75,Arizona,12-17,H,Tennessee,W
76,Arizona,12-20,H,Montana St.,W
77,Arizona,12-22,H,Morgan St.,W
78,Arizona,12-31,A,Arizona St.,W
79,Arizona,1-05,H,Washington,W
80,Arizona,1-07,H,Washington St.,L
81,Arizona,1-12,A,Oregon St.,W
82,Arizona,1-14,A,Oregon,L
83,Arizona,1-19,H,USC,W
84,Arizona,1-21,H,UCLA,W
85,Arizona,1-26,A,Washington St.,W
86,Arizona,1-28,A,Washington,W
87,Arizona,2-02,H,Oregon,W
88,Arizona,2-04,H,Oregon St.,W
89,Arizona,2-09,A,California,W
90,Arizona,2-11,A,Stanford,L
91,Arizona,2-16,H,Utah,W
92,Arizona,2-18,H,Colorado,W
93,Arizona,2-25,H,Arizona St.,L
94,Arizona,3-02,A,USC,W
95,Arizona,3-04,A,UCLA,L
96,Arizona,3-09,N,Stanford,W
97,Arizona,3-10,N,Arizona St.,W
98,Arizona,3-11,N,UCLA,W
99,Iowa,11-07,H,Bethune Cookman,W
100,Iowa,11-11,H,North Carolina A&T,W
101,Iowa,11-16,A,Seton Hall,W
102,Iowa,11-21,H,Nebraska Omaha,W
103,Iowa,11-25,N,Clemson,W
104,Iowa,11-26,N,TCU,L
105,Iowa,11-29,H,Georgia Tech,W
106,Iowa,12-06,N,Duke,L
107,Iowa,12-08,H,Iowa St.,W
108,Iowa,12-11,H,Wisconsin,L
109,Iowa,12-17,H,Southeast Missouri St.,W
110,Iowa,12-21,H,Eastern Illinois,L
111,Iowa,12-29,A,Nebraska,L
112,Iowa,1-01,A,Penn St.,L
113,Iowa,1-05,H,Indiana,W
114,Iowa,1-08,A,Rutgers,W
115,Iowa,1-12,H,Michigan,W
116,Iowa,1-15,H,Maryland,W
117,Iowa,1-21,A,Ohio St.,L
118,Iowa,1-26,A,Michigan St.,L
119,Iowa,1-29,H,Rutgers,W
120,Iowa,1-31,H,Northwestern,W
121,Iowa,2-04,H,Illinois,W
122,Iowa,2-09,A,Purdue,L
123,Iowa,2-12,A,Minnesota,W
124,Iowa,2-16,H,Ohio St.,W
125,Iowa,2-19,A,Northwestern,L
126,Iowa,2-22,A,Wisconsin,L
127,Iowa,2-25,H,Michigan St.,W
128,Iowa,2-28,A,Indiana,W
129,Iowa,3-05,H,Nebraska,L
130,Iowa,3-09,N,Ohio St.,L
131,Toledo,11-07,H,Valparaiso,W
132,Toledo,11-11,N,UAB,W
133,Toledo,11-16,H,Oakland,W
134,Toledo,11-21,N,UMKC,L
135,Toledo,11-22,N,East Carolina,L
136,Toledo,11-23,N,Northern Kentucky,W
137,Toledo,11-30,H,Richmond,W
138,Toledo,12-03,A,George Mason,L
139,Toledo,12-06,A,Northern Iowa,W
140,Toledo,12-10,H,Canisius,W
141,Toledo,12-17,A,Marshall,L
142,Toledo,12-20,A,Vermont,W
143,Toledo,12-29,H,Lourdes,W
144,Toledo,1-03,H,Ball St.,L
145,Toledo,1-06,H,Western Michigan,W
146,Toledo,1-10,A,Kent St.,L
147,Toledo,1-14,A,Northern Illinois,W
148,Toledo,1-17,H,Ohio,W
149,Toledo,1-20,A,Buffalo,W
150,Toledo,1-24,H,Eastern Michigan,W
151,Toledo,1-28,H,Bowling Green,W
152,Toledo,1-31,A,Miami OH,W
153,Toledo,2-04,H,Central Michigan,W
154,Toledo,2-07,A,Akron,W
155,Toledo,2-11,A,Eastern Michigan,W
156,Toledo,2-14,H,Miami OH,W
157,Toledo,2-18,A,Bowling Green,W
158,Toledo,2-21,H,Akron,W
159,Toledo,2-25,H,Buffalo,W
160,Toledo,2-28,A,Central Michigan,W
161,Toledo,3-03,A,Ball St.,W
162,Toledo,3-09,N,Miami OH,W
163,Toledo,3-10,N,Ohio,W
164,Toledo,3-11,N,Kent St.,L
165,Toledo,3-14,A,Michigan,L
166,Connecticut,11-07,H,Stonehill,W
167,Connecticut,11-11,H,Boston University,W
168,Connecticut,11-15,H,Buffalo,W
169,Connecticut,11-18,H,UNC Wilmington,W
170,Connecticut,11-20,H,Delaware St.,W
171,Connecticut,11-24,N,Oregon,W
172,Connecticut,11-25,N,Alabama,W
173,Connecticut,11-27,N,Iowa St.,W
174,Connecticut,12-01,H,Oklahoma St.,W
175,Connecticut,12-07,A,Florida,W
176,Connecticut,12-10,H,LIU Brooklyn,W
177,Connecticut,12-17,A,Butler,W
178,Connecticut,12-20,H,Georgetown,W
179,Connecticut,12-28,H,Villanova,W
180,Connecticut,12-31,A,Xavier,L
181,Connecticut,1-04,A,Providence,L
182,Connecticut,1-07,H,Creighton,W
183,Connecticut,1-11,A,Marquette,L
184,Connecticut,1-15,H,St. John's,L
185,Connecticut,1-18,A,Seton Hall,L
186,Connecticut,1-22,H,Butler,W
187,Connecticut,1-25,H,Xavier,L
188,Connecticut,1-31,A,DePaul,W
189,Connecticut,2-04,A,Georgetown,W
190,Connecticut,2-07,H,Marquette,W
191,Connecticut,2-11,A,Creighton,L
192,Connecticut,2-18,H,Seton Hall,W
193,Connecticut,2-22,H,Providence,W
194,Connecticut,2-25,A,St. John's,W
195,Connecticut,3-01,H,DePaul,W
196,Connecticut,3-04,A,Villanova,W
197,Connecticut,3-09,N,Providence,W
198,Connecticut,3-10,N,Marquette,L
199,Purdue,11-08,H,Milwaukee,W
200,Purdue,11-11,H,Austin Peay,W
201,Purdue,11-15,H,Marquette,W
202,Purdue,11-24,N,West Virginia,W
203,Purdue,11-25,N,Gonzaga,W
204,Purdue,11-27,N,Duke,W
205,Purdue,11-30,A,Florida St.,W
206,Purdue,12-04,H,Minnesota,W
207,Purdue,12-07,H,Hofstra,W
208,Purdue,12-10,A,Nebraska,W
209,Purdue,12-17,N,Davidson,W
210,Purdue,12-21,H,New Orleans,W
211,Purdue,12-29,H,Florida A&M,W
212,Purdue,1-02,H,Rutgers,L
213,Purdue,1-05,A,Ohio St.,W
214,Purdue,1-08,A,Penn St.,W
215,Purdue,1-13,H,Nebraska,W
216,Purdue,1-16,A,Michigan St.,W
217,Purdue,1-19,A,Minnesota,W
218,Purdue,1-22,H,Maryland,W
219,Purdue,1-26,A,Michigan,W
220,Purdue,1-29,H,Michigan St.,W
221,Purdue,2-01,H,Penn St.,W
222,Purdue,2-04,A,Indiana,L
223,Purdue,2-09,H,Iowa,W
224,Purdue,2-12,A,Northwestern,L
225,Purdue,2-16,A,Maryland,L
226,Purdue,2-19,H,Ohio St.,W
227,Purdue,2-25,H,Indiana,L
228,Purdue,3-02,A,Wisconsin,W
229,Purdue,3-05,H,Illinois,W
230,Purdue,3-10,N,Rutgers,W
231,Purdue,3-11,N,Ohio St.,W
232,Purdue,3-12,N,Penn St.,W
233,Xavier,11-07,H,Morgan St.,W
234,Xavier,11-11,H,Montana,W
235,Xavier,11-15,H,Fairfield,W
236,Xavier,11-18,H,Indiana,L
237,Xavier,11-24,N,Florida,W
238,Xavier,11-25,N,Duke,L
239,Xavier,11-27,N,Gonzaga,L
240,Xavier,11-30,H,Southeastern Louisiana,W
241,Xavier,12-03,H,West Virginia,W
242,Xavier,12-10,A,Cincinnati,W
243,Xavier,12-13,H,Southern,W
244,Xavier,12-16,A,Georgetown,W
245,Xavier,12-20,H,Seton Hall,W
246,Xavier,12-28,A,St. John's,W
247,Xavier,12-31,H,Connecticut,W
248,Xavier,1-07,A,Villanova,W
249,Xavier,1-11,H,Creighton,W
250,Xavier,1-15,H,Marquette,W
251,Xavier,1-18,A,DePaul,L
252,Xavier,1-21,H,Georgetown,W
253,Xavier,1-25,A,Connecticut,W
254,Xavier,1-28,A,Creighton,L
255,Xavier,2-01,H,Providence,W
256,Xavier,2-04,H,St. John's,W
257,Xavier,2-10,A,Butler,L
258,Xavier,2-15,A,Marquette,L
259,Xavier,2-18,H,DePaul,W
260,Xavier,2-21,H,Villanova,L
261,Xavier,2-24,A,Seton Hall,W
262,Xavier,3-01,A,Providence,W
263,Xavier,3-04,H,Butler,W
264,Xavier,3-09,N,DePaul,W
265,Xavier,3-10,N,Creighton,W
266,Xavier,3-11,N,Marquette,L
267,Marquette,11-07,H,Radford,W
268,Marquette,11-10,H,Central Michigan,W
269,Marquette,11-15,A,Purdue,L
270,Marquette,11-17,H,LIU Brooklyn,W
271,Marquette,11-21,N,Mississippi St.,L
272,Marquette,11-23,N,Georgia Tech,W
273,Marquette,11-26,H,Chicago St.,W
274,Marquette,11-29,H,Baylor,W
275,Marquette,12-03,H,Wisconsin,L
276,Marquette,12-06,H,North Carolina Central,W
277,Marquette,12-11,A,Notre Dame,W
278,Marquette,12-16,H,Creighton,W
279,Marquette,12-20,A,Providence,L
280,Marquette,12-27,H,Seton Hall,W
281,Marquette,12-31,A,Villanova,W
282,Marquette,1-03,A,St. John's,W
283,Marquette,1-07,H,Georgetown,W
284,Marquette,1-11,H,Connecticut,W
285,Marquette,1-15,A,Xavier,L
286,Marquette,1-18,H,Providence,W
287,Marquette,1-21,A,Seton Hall,W
288,Marquette,1-28,A,DePaul,W
289,Marquette,2-01,H,Villanova,W
290,Marquette,2-04,H,Butler,W
291,Marquette,2-07,A,Connecticut,L
292,Marquette,2-11,A,Georgetown,W
293,Marquette,2-15,H,Xavier,W
294,Marquette,2-21,A,Creighton,W
295,Marquette,2-25,H,DePaul,W
296,Marquette,2-28,A,Butler,W
297,Marquette,3-04,H,St. John's,W
298,Marquette,3-09,N,St. John's,W
299,Marquette,3-10,N,Connecticut,W
300,Marquette,3-11,N,Xavier,W
301,Missouri,11-07,H,Southern Indiana,W
302,Missouri,11-11,H,Penn,W
303,Missouri,11-13,H,Lindenwood,W
304,Missouri,11-15,H,SIU Edwardsville,W
305,Missouri,11-20,H,Mississippi Valley St.,W
306,Missouri,11-23,H,Coastal Carolina,W
307,Missouri,11-26,H,Houston Christian,W
308,Missouri,11-29,A,Wichita St.,W
309,Missouri,12-04,H,Southeast Missouri St.,W
310,Missouri,12-10,H,Kansas,L
311,Missouri,12-17,N,UCF,W
312,Missouri,12-22,N,Illinois,W
313,Missouri,12-28,H,Kentucky,W
314,Missouri,1-04,A,Arkansas,L
315,Missouri,1-07,H,Vanderbilt,W
316,Missouri,1-11,A,Texas A&M,L
317,Missouri,1-14,A,Florida,L
318,Missouri,1-18,H,Arkansas,W
319,Missouri,1-21,H,Alabama,L
320,Missouri,1-24,A,Mississippi,W
321,Missouri,1-28,H,Iowa St.,W
322,Missouri,2-01,H,LSU,W
323,Missouri,2-04,A,Mississippi St.,L
324,Missouri,2-07,H,South Carolina,W
325,Missouri,2-11,A,Tennessee,W
326,Missouri,2-14,A,Auburn,L
327,Missouri,2-18,H,Texas A&M,L
328,Missouri,2-21,H,Mississippi St.,W
329,Missouri,2-25,A,Georgia,W
330,Missouri,3-01,A,LSU,W
331,Missouri,3-04,H,Mississippi,W
332,Missouri,3-10,N,Tennessee,W
333,Missouri,3-11,N,Alabama,L
334,Miami FL,11-07,H,Lafayette,W
335,Miami FL,11-11,H,UNC Greensboro,W
336,Miami FL,11-15,H,Florida A&M,W
337,Miami FL,11-19,N,Providence,W
338,Miami FL,11-20,N,Maryland,L
339,Miami FL,11-23,H,St. Francis NY,W
340,Miami FL,11-27,A,UCF,W
341,Miami FL,11-30,H,Rutgers,W
342,Miami FL,12-04,A,Louisville,W
343,Miami FL,12-07,H,Cornell,W
344,Miami FL,12-10,H,North Carolina St.,W
345,Miami FL,12-17,H,St. Francis PA,W
346,Miami FL,12-20,H,Virginia,W
347,Miami FL,12-30,A,Notre Dame,W
348,Miami FL,1-04,A,Georgia Tech,L
349,Miami FL,1-11,H,Boston College,W
350,Miami FL,1-14,A,North Carolina St.,L
351,Miami FL,1-16,H,Syracuse,W
352,Miami FL,1-21,A,Duke,L
353,Miami FL,1-24,A,Florida St.,W
354,Miami FL,1-28,A,Pittsburgh,L
355,Miami FL,1-31,H,Virginia Tech,W
356,Miami FL,2-04,A,Clemson,W
357,Miami FL,2-06,H,Duke,W
358,Miami FL,2-11,H,Louisville,W
359,Miami FL,2-13,A,North Carolina,W
360,Miami FL,2-18,H,Wake Forest,W
361,Miami FL,2-21,A,Virginia Tech,W
362,Miami FL,2-25,H,Florida St.,L
363,Miami FL,3-04,H,Pittsburgh,W
364,Miami FL,3-09,N,Wake Forest,W
365,Miami FL,3-10,N,Duke,L
366,Houston,11-07,H,Northern Colorado,W
367,Houston,11-11,N,Saint Joseph's,W
368,Houston,11-14,H,Oral Roberts,W
369,Houston,11-16,H,Texas Southern,W
370,Houston,11-20,A,Oregon,W
371,Houston,11-26,H,Kent St.,W
372,Houston,11-29,H,Norfolk St.,W
373,Houston,12-03,N,Saint Mary's,W
374,Houston,12-06,H,North Florida,W
375,Houston,12-10,H,Alabama,L
376,Houston,12-13,H,North Carolina A&T,W
377,Houston,12-17,A,Virginia,W
378,Houston,12-21,H,McNeese St.,W
379,Houston,12-28,A,Tulsa,W
380,Houston,12-31,H,UCF,W
381,Houston,1-05,H,SMU,W
382,Houston,1-08,A,Cincinnati,W
383,Houston,1-11,H,South Florida,W
384,Houston,1-17,A,Tulane,W
385,Houston,1-22,H,Temple,L
386,Houston,1-25,A,UCF,W
387,Houston,1-28,H,Cincinnati,W
388,Houston,2-02,A,Wichita St.,W
389,Houston,2-05,A,Temple,W
390,Houston,2-08,H,Tulsa,W
391,Houston,2-16,A,SMU,W
392,Houston,2-19,H,Memphis,W
393,Houston,2-22,H,Tulane,W
394,Houston,2-25,A,East Carolina,W
395,Houston,3-02,H,Wichita St.,W
396,Houston,3-05,A,Memphis,W
397,Houston,3-10,N,East Carolina,W
398,Houston,3-11,N,Cincinnati,W
399,Houston,3-12,N,Memphis,L
400,West Virginia,11-07,H,Mount St. Mary's,W
401,West Virginia,11-11,A,Pittsburgh,W
402,West Virginia,11-15,H,Morehead St.,W
403,West Virginia,11-18,H,Penn,W
404,West Virginia,11-24,N,Purdue,L
405,West Virginia,11-25,N,Portland St.,W
406,West Virginia,11-27,N,Florida,W
407,West Virginia,12-03,A,Xavier,L
408,West Virginia,12-07,H,Navy,W
409,West Virginia,12-10,H,UAB,W
410,West Virginia,12-18,H,Buffalo,W
411,West Virginia,12-22,H,Stony Brook,W
412,West Virginia,12-31,A,Kansas St.,L
413,West Virginia,1-02,A,Oklahoma St.,L
414,West Virginia,1-07,H,Kansas,L
415,West Virginia,1-11,H,Baylor,L
416,West Virginia,1-14,A,Oklahoma,L
417,West Virginia,1-18,H,TCU,W
418,West Virginia,1-21,H,Texas,L
419,West Virginia,1-25,A,Texas Tech,W
420,West Virginia,1-28,H,Auburn,W
421,West Virginia,1-31,A,TCU,L
422,West Virginia,2-04,H,Oklahoma,W
423,West Virginia,2-08,H,Iowa St.,W
424,West Virginia,2-11,A,Texas,L
425,West Virginia,2-13,A,Baylor,L
426,West Virginia,2-18,H,Texas Tech,L
427,West Virginia,2-20,H,Oklahoma St.,W
428,West Virginia,2-25,A,Kansas,L
429,West Virginia,2-27,A,Iowa St.,W
430,West Virginia,3-04,H,Kansas St.,W
431,West Virginia,3-08,N,Texas Tech,W
432,West Virginia,3-09,N,Kansas,L
433,Penn St.,11-07,H,Winthrop,W
434,Penn St.,11-10,H,Loyola MD,W
435,Penn St.,11-14,H,Butler,W
436,Penn St.,11-17,N,Furman,W
437,Penn St.,11-18,N,Virginia Tech,L
438,Penn St.,11-20,N,Colorado St.,W
439,Penn St.,11-25,H,Lafayette,W
440,Penn St.,11-29,A,Clemson,L
441,Penn St.,12-07,H,Michigan St.,L
442,Penn St.,12-10,A,Illinois,W
443,Penn St.,12-18,H,Canisius,W
444,Penn St.,12-22,H,Quinnipiac,W
445,Penn St.,12-29,H,Delaware St.,W
446,Penn St.,1-01,H,Iowa,W
447,Penn St.,1-04,A,Michigan,L
448,Penn St.,1-08,H,Purdue,L
449,Penn St.,1-11,H,Indiana,W
450,Penn St.,1-17,A,Wisconsin,L
451,Penn St.,1-21,H,Nebraska,W
452,Penn St.,1-24,A,Rutgers,L
453,Penn St.,1-29,H,Michigan,W
454,Penn St.,2-01,A,Purdue,L
455,Penn St.,2-05,A,Nebraska,L
456,Penn St.,2-08,H,Wisconsin,L
457,Penn St.,2-11,A,Maryland,L
458,Penn St.,2-14,H,Illinois,W
459,Penn St.,2-18,A,Minnesota,W
460,Penn St.,2-23,A,Ohio St.,W
461,Penn St.,2-26,H,Rutgers,L
462,Penn St.,3-01,A,Northwestern,W
463,Penn St.,3-05,H,Maryland,W
464,Penn St.,3-09,N,Illinois,W
465,Penn St.,3-10,N,Northwestern,W
466,Penn St.,3-11,N,Indiana,W
467,Penn St.,3-12,N,Purdue,L
468,Alabama,11-07,H,Longwood,W
469,Alabama,11-11,H,Liberty,W
470,Alabama,11-15,A,South Alabama,W
471,Alabama,11-18,H,Jacksonville St.,W
472,Alabama,11-24,N,Michigan St.,W
473,Alabama,11-25,N,Connecticut,L
474,Alabama,11-27,N,North Carolina,W
475,Alabama,12-03,H,South Dakota St.,W
476,Alabama,12-10,A,Houston,W
477,Alabama,12-13,H,Memphis,W
478,Alabama,12-17,N,Gonzaga,L
479,Alabama,12-20,H,Jackson St.,W
480,Alabama,12-28,A,Mississippi St.,W
481,Alabama,1-03,H,Mississippi,W
482,Alabama,1-07,H,Kentucky,W
483,Alabama,1-11,A,Arkansas,W
484,Alabama,1-14,H,LSU,W
485,Alabama,1-17,A,Vanderbilt,W
486,Alabama,1-21,A,Missouri,W
487,Alabama,1-25,H,Mississippi St.,W
488,Alabama,1-28,A,Oklahoma,L
489,Alabama,1-31,H,Vanderbilt,W
490,Alabama,2-04,A,LSU,W
491,Alabama,2-08,H,Florida,W
492,Alabama,2-11,A,Auburn,W
493,Alabama,2-15,A,Tennessee,L
494,Alabama,2-18,H,Georgia,W
495,Alabama,2-22,A,South Carolina,W
496,Alabama,2-25,H,Arkansas,W
497,Alabama,3-01,H,Auburn,W
498,Alabama,3-04,A,Texas A&M,L
499,Alabama,3-10,N,Mississippi St.,W
500,Alabama,3-11,N,Missouri,W
501,Alabama,3-12,N,Texas A&M,W
502,Kentucky,11-07,H,Howard,W
503,Kentucky,11-11,H,Duquesne,W
504,Kentucky,11-15,N,Michigan St.,L
505,Kentucky,11-17,H,South Carolina St.,W
506,Kentucky,11-20,A,Gonzaga,L
507,Kentucky,11-23,H,North Florida,W
508,Kentucky,11-29,H,Bellarmine,W
509,Kentucky,12-04,N,Michigan,W
510,Kentucky,12-10,H,Yale,W
511,Kentucky,12-17,N,UCLA,L
512,Kentucky,12-21,H,Florida A&M,W
513,Kentucky,12-28,A,Missouri,L
514,Kentucky,12-31,H,Louisville,W
515,Kentucky,1-03,H,LSU,W
516,Kentucky,1-07,A,Alabama,L
517,Kentucky,1-10,H,South Carolina,L
518,Kentucky,1-14,A,Tennessee,W
519,Kentucky,1-17,H,Georgia,W
520,Kentucky,1-21,H,Texas A&M,W
521,Kentucky,1-24,A,Vanderbilt,W
522,Kentucky,1-28,H,Kansas,L
523,Kentucky,1-31,A,Mississippi,W
524,Kentucky,2-04,H,Florida,W
525,Kentucky,2-07,H,Arkansas,L
526,Kentucky,2-11,A,Georgia,L
527,Kentucky,2-15,A,Mississippi St.,W
528,Kentucky,2-18,H,Tennessee,W
529,Kentucky,2-22,A,Florida,W
530,Kentucky,2-25,H,Auburn,W
531,Kentucky,3-01,H,Vanderbilt,L
532,Kentucky,3-04,A,Arkansas,W
533,Kentucky,3-10,N,Vanderbilt,L
534,Utah St.,11-07,H,Utah Valley,W
535,Utah St.,11-11,H,Bradley,W
536,Utah St.,11-14,H,Santa Clara,W
537,Utah St.,11-17,A,San Diego,W
538,Utah St.,11-22,H,Oral Roberts,W
539,Utah St.,12-01,H,Utah Tech,W
540,Utah St.,12-04,N,San Francisco,W
541,Utah St.,12-10,N,Loyola Marymount,W
542,Utah St.,12-15,H,Westminster (UT),W
543,Utah St.,12-19,H,Weber St.,L
544,Utah St.,12-22,N,Seattle,W
545,Utah St.,12-23,N,SMU,L
546,Utah St.,12-25,N,Washington St.,W
547,Utah St.,12-31,H,Fresno St.,W
548,Utah St.,1-03,A,Air Force,W
549,Utah St.,1-07,A,Boise St.,L
550,Utah St.,1-10,H,Wyoming,W
551,Utah St.,1-13,A,Nevada,L
552,Utah St.,1-17,H,UNLV,W
553,Utah St.,1-21,H,San Jose St.,W
554,Utah St.,1-25,A,San Diego St.,L
555,Utah St.,1-28,A,Fresno St.,W
556,Utah St.,2-01,H,New Mexico,W
557,Utah St.,2-04,A,Colorado St.,W
558,Utah St.,2-08,H,San Diego St.,L
559,Utah St.,2-11,A,San Jose St.,L
560,Utah St.,2-14,H,Air Force,W
561,Utah St.,2-18,H,Nevada,W
562,Utah St.,2-21,A,Wyoming,W
563,Utah St.,3-01,A,UNLV,W
564,Utah St.,3-04,H,Boise St.,W
565,Utah St.,3-09,N,New Mexico,W
566,Utah St.,3-10,N,Boise St.,W
567,Utah St.,3-11,N,San Diego St.,L
568,Memphis,11-07,A,Vanderbilt,W
569,Memphis,11-15,A,Saint Louis,L
570,Memphis,11-20,H,VCU,W
571,Memphis,11-24,N,Seton Hall,L
572,Memphis,11-25,N,Nebraska,W
573,Memphis,11-27,N,Stanford,W
574,Memphis,11-30,H,North Alabama,W
575,Memphis,12-03,H,Mississippi,W
576,Memphis,12-06,H,Little Rock,W
577,Memphis,12-10,N,Auburn,W
578,Memphis,12-13,A,Alabama,L
579,Memphis,12-17,H,Texas A&M,W
580,Memphis,12-21,H,Alabama St.,W
581,Memphis,12-29,H,South Florida,W
582,Memphis,1-01,A,Tulane,L
583,Memphis,1-07,H,East Carolina,W
584,Memphis,1-11,A,UCF,L
585,Memphis,1-15,A,Temple,W
586,Memphis,1-19,H,Wichita St.,W
587,Memphis,1-22,A,Cincinnati,W
588,Memphis,1-26,H,SMU,W
589,Memphis,1-29,A,Tulsa,W
590,Memphis,2-04,H,Tulane,L
591,Memphis,2-08,A,South Florida,W
592,Memphis,2-12,H,Temple,W
593,Memphis,2-16,H,UCF,W
594,Memphis,2-19,A,Houston,L
595,Memphis,2-23,A,Wichita St.,W
596,Memphis,2-26,H,Cincinnati,W
597,Memphis,3-02,A,SMU,W
598,Memphis,3-05,H,Houston,L
599,Memphis,3-10,N,UCF,W
600,Memphis,3-11,N,Tulane,W
601,Memphis,3-12,N,Houston,W
602,Texas,11-07,H,UTEP,W
603,Texas,11-10,H,Houston Christian,W
604,Texas,11-16,H,Gonzaga,W
605,Texas,11-21,N,Northern Arizona,W
606,Texas,11-26,H,UT Rio Grande Valley,W
607,Texas,12-01,H,Creighton,W
608,Texas,12-06,N,Illinois,L
609,Texas,12-10,H,Arkansas Pine Bluff,W
610,Texas,12-12,H,Rice,W
611,Texas,12-18,N,Stanford,W
612,Texas,12-21,H,Louisiana Lafayette,W
613,Texas,12-27,H,Texas A&M Commerce,W
614,Texas,12-31,A,Oklahoma,W
615,Texas,1-03,H,Kansas St.,L
616,Texas,1-07,A,Oklahoma St.,W
617,Texas,1-11,H,TCU,W
618,Texas,1-14,H,Texas Tech,W
619,Texas,1-17,A,Iowa St.,L
620,Texas,1-21,A,West Virginia,W
621,Texas,1-24,H,Oklahoma St.,W
622,Texas,1-28,A,Tennessee,L
623,Texas,1-30,H,Baylor,W
624,Texas,2-04,A,Kansas St.,W
625,Texas,2-06,A,Kansas,L
626,Texas,2-11,H,West Virginia,W
627,Texas,2-13,A,Texas Tech,L
628,Texas,2-18,H,Oklahoma,W
629,Texas,2-21,H,Iowa St.,W
630,Texas,2-25,A,Baylor,L
631,Texas,3-01,A,TCU,L
632,Texas,3-04,H,Kansas,W
633,Texas,3-09,N,Oklahoma St.,W
634,Texas,3-10,N,TCU,W
635,Texas,3-11,N,Kansas,W
636,Providence,11-08,H,Rider,W
637,Providence,11-12,H,Northeastern,W
638,Providence,11-15,H,Stonehill,W
639,Providence,11-19,N,Miami FL,L
640,Providence,11-20,N,Saint Louis,L
641,Providence,11-23,H,Merrimack,W
642,Providence,11-26,H,Columbia,W
643,Providence,11-30,A,TCU,L
644,Providence,12-03,A,Rhode Island,W
645,Providence,12-07,H,Manhattan,W
646,Providence,12-10,H,Albany,W
647,Providence,12-17,A,Seton Hall,W
648,Providence,12-20,H,Marquette,W
649,Providence,12-29,A,Butler,W
650,Providence,1-01,A,DePaul,W
651,Providence,1-04,H,Connecticut,W
652,Providence,1-07,H,St. John's,W
653,Providence,1-14,A,Creighton,L
654,Providence,1-18,A,Marquette,L
655,Providence,1-21,H,DePaul,W
656,Providence,1-25,H,Butler,W
