,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
272,South Carolina State,16,3,13,.188,-17.43,-0.50,,0,0,,2,1,,1,12,,1181,1382,,645,443,1060,.418,99,326,.304,196,283,.693,212,564,210,119,53,214,329
273,South Carolina Upstate,13,6,7,.462,-12.36,-3.17,,1,1,,5,0,,1,7,,921,940,,525,336,722,.465,80,226,.354,169,262,.645,120,408,151,100,51,170,260
274,South Dakota,15,7,8,.467,-9.03,-0.73,,2,1,,5,2,,0,5,,1042,1093,,600,358,836,.428,142,348,.408,184,241,.763,149,522,187,71,26,202,251
275,South Dakota State,15,7,8,.467,-3.06,4.51,,2,1,,4,1,,1,6,,1006,1083,,605,348,817,.426,105,330,.318,205,253,.810,94,483,158,76,40,223,211
276,South Florida,14,7,7,.500,0.80,-1.99,,0,1,,5,4,,1,2,,994,955,,560,374,846,.442,100,300,.333,146,233,.627,174,515,188,99,35,175,248
277,Southeast Missouri State,15,6,9,.400,-5.40,0.37,,1,1,,3,2,,2,6,,1087,1087,,600,376,894,.421,125,371,.337,210,301,.698,140,527,206,102,49,210,317
278,Southeastern Louisiana,14,6,8,.429,-7.17,1.74,,0,1,,4,1,,1,6,,1066,1076,,560,385,859,.448,116,321,.361,180,249,.723,142,479,186,106,21,175,259
279,Southern,14,5,9,.357,-5.35,3.90,,1,0,,2,0,,2,8,,1030,1059,,565,375,865,.434,115,329,.350,165,239,.690,119,446,214,130,27,212,311
280,Southern California,15,11,4,.733,9.42,3.75,,3,1,,7,1,,2,1,,1085,1000,,605,391,850,.460,87,269,.323,214,300,.713,152,545,212,108,85,212,254
281,Southern Illinois,15,11,4,.733,3.23,-2.27,,3,1,,6,1,,4,2,,1022,908,,605,368,788,.467,125,385,.325,161,220,.732,98,484,220,119,29,206,245
282,SIU Edwardsville,15,10,5,.667,0.01,-1.32,,1,1,,5,1,,3,4,,1129,1035,,600,389,868,.448,104,306,.340,247,339,.729,178,550,185,114,71,190,242
283,Southern Indiana,15,8,7,.533,-6.46,-3.05,,1,1,,6,0,,1,7,,1155,1091,,605,404,903,.447,151,376,.402,196,290,.676,176,560,217,138,36,223,279
284,Southern Methodist,14,6,8,.429,2.25,2.39,,1,0,,4,4,,0,3,,979,981,,565,361,837,.431,90,274,.328,167,237,.705,132,509,175,79,56,173,240
285,Southern Mississippi,15,13,2,.867,8.85,-2.90,,2,0,,8,0,,3,2,,1168,919,,600,436,921,.473,107,332,.322,189,280,.675,186,577,232,142,45,178,247
286,Southern Utah,15,10,5,.667,1.66,1.84,,2,0,,6,1,,2,3,,1343,1110,,620,469,984,.477,123,376,.327,282,388,.727,182,621,215,144,54,201,287
287,St. Bonaventure,14,7,7,.500,0.56,-1.44,,1,0,,6,1,,0,4,,955,927,,565,348,805,.432,102,292,.349,157,227,.692,149,476,167,98,54,184,254
288,St. Francis (NY),13,6,7,.462,-14.67,-7.03,,0,1,,5,1,,1,6,,846,869,,520,302,768,.393,78,257,.304,164,227,.722,156,452,163,107,63,166,197
289,St. John's (NY),15,11,4,.733,7.53,-0.33,,1,3,,8,1,,0,3,,1179,1061,,605,455,999,.455,91,294,.310,178,258,.690,203,622,242,135,63,201,235
290,St. Thomas,17,11,6,.647,-2.13,-4.33,,2,2,,7,0,,2,6,,1304,1188,,680,455,954,.477,154,399,.386,240,310,.774,133,540,219,101,37,178,272
291,Stanford,14,5,9,.357,10.49,7.27,,0,4,,3,4,,0,1,,954,909,,560,339,780,.435,99,321,.308,177,246,.720,142,485,186,96,56,196,241
292,Stephen F. Austin,15,10,5,.667,-1.47,-3.38,,2,0,,6,2,,3,0,,1167,996,,605,417,859,.485,101,259,.390,232,315,.737,170,517,250,141,36,244,300
293,Stetson,13,7,6,.538,-4.23,0.41,,2,0,,3,0,,3,5,,973,926,,530,363,791,.459,127,341,.372,120,164,.732,150,454,190,77,46,136,199
294,Stonehill,16,5,11,.313,-11.53,-2.60,,1,1,,1,2,,3,8,,1125,1212,,640,391,879,.445,133,371,.358,210,274,.766,93,484,192,121,48,216,260
295,Stony Brook,14,5,9,.357,-13.50,-1.92,,1,0,,4,1,,1,7,,892,969,,560,298,726,.410,114,351,.325,182,251,.725,106,483,163,71,34,182,192
296,Syracuse,14,9,5,.643,5.57,-0.93,,2,1,,7,3,,1,1,,1058,967,,570,397,856,.464,84,248,.339,180,243,.741,154,517,207,113,83,160,188
297,Tarleton State,14,7,7,.500,-1.21,3.33,,1,1,,5,0,,0,6,,1041,944,,560,362,773,.468,68,197,.345,249,372,.669,144,443,190,156,35,183,295
298,TCU,13,12,1,.923,14.06,-2.79,,1,0,,8,1,,0,0,,1015,796,,520,368,813,.453,73,250,.292,206,292,.705,174,517,220,117,65,150,195
299,Temple,15,8,7,.533,3.42,2.75,,2,0,,5,3,,2,2,,1033,1023,,610,353,826,.427,117,350,.334,210,277,.758,142,522,199,71,61,205,259
300,Tennessee,13,11,2,.846,24.41,3.87,,1,0,,6,0,,1,1,,959,692,,525,321,767,.419,102,315,.324,215,301,.714,193,539,222,139,54,180,213
301,Tennessee State,15,9,6,.600,-7.39,-7.21,,1,1,,8,2,,0,3,,1212,1114,,601,424,901,.471,130,367,.354,234,326,.718,146,529,214,91,53,185,279
302,Tennessee Tech,15,4,11,.267,-12.44,0.06,,0,2,,4,3,,0,8,,1056,1104,,615,392,931,.421,120,365,.329,152,217,.700,168,549,211,107,31,200,227
303,Tennessee-Martin,15,9,6,.600,-9.85,-5.22,,1,1,,8,0,,1,6,,1242,1102,,605,447,975,.458,134,382,.351,214,304,.704,182,605,232,130,55,178,285
304,Texas,13,12,1,.923,21.00,1.00,,1,0,,9,0,,1,0,,1075,815,,530,408,824,.495,99,293,.338,160,225,.711,148,491,238,106,54,151,217
305,Texas A&M,13,8,5,.615,6.98,-0.09,,0,0,,6,1,,1,1,,984,892,,520,322,719,.448,86,265,.325,254,343,.741,156,466,180,108,36,167,257
306,Texas A&M-Commerce,15,5,10,.333,-9.43,-2.36,,1,0,,2,0,,2,8,,1045,1089,,610,390,888,.439,119,422,.282,146,212,.689,146,506,203,95,46,199,288
307,Texas A&M-Corpus Christi,14,8,6,.571,-2.86,-0.56,,1,0,,6,0,,1,5,,1093,1012,,560,392,897,.437,105,327,.321,204,267,.764,172,523,215,138,27,187,255
308,Texas Southern,14,4,10,.286,-6.21,6.95,,0,1,,3,2,,0,7,,951,1023,,575,367,890,.412,64,251,.255,153,256,.598,182,546,165,93,55,193,237
309,Texas State,15,7,8,.467,-3.61,-1.69,,0,2,,2,5,,3,2,,986,982,,600,357,838,.426,68,243,.280,204,291,.701,160,497,149,107,62,186,271
310,Texas Tech,13,10,3,.769,15.53,-1.86,,0,1,,8,0,,0,1,,1041,815,,520,365,724,.504,98,267,.367,213,300,.710,128,470,205,122,43,190,198
311,Texas-Rio Grande Valley,14,8,6,.571,-10.89,-2.80,,0,2,,7,0,,1,6,,1165,1120,,565,408,822,.496,89,256,.348,260,378,.688,151,538,222,75,55,235,275
312,The Citadel,14,6,8,.429,-8.42,-1.58,,1,1,,3,3,,2,4,,990,1036,,560,352,820,.429,110,336,.327,176,225,.782,113,487,178,72,33,173,254
313,Toledo,13,9,4,.692,4.34,-0.42,,0,0,,5,0,,2,2,,1105,1033,,520,403,832,.484,105,280,.375,194,257,.755,150,475,199,94,41,147,209
314,Towson,14,8,6,.571,-1.90,-3.54,,0,1,,2,2,,4,2,,971,948,,570,348,792,.439,85,256,.332,190,272,.699,176,515,196,94,49,190,222
315,Troy,15,9,6,.600,2.94,-0.06,,1,1,,4,1,,4,4,,1148,981,,600,416,916,.454,123,372,.331,193,274,.704,171,514,218,135,43,191,268
316,Tulane,13,8,5,.615,4.57,-2.58,,1,1,,6,1,,0,1,,1038,945,,520,359,786,.457,96,300,.320,224,277,.809,92,429,202,108,53,135,216
317,Tulsa,13,4,9,.308,-5.63,1.53,,0,2,,3,3,,0,4,,876,969,,520,323,771,.419,104,321,.324,126,189,.667,125,427,154,87,24,171,204
318,UAB,14,12,2,.857,12.51,-1.79,,3,0,,10,0,,0,1,,1212,969,,570,422,892,.473,102,288,.354,266,354,.751,193,588,236,120,70,188,237
319,UC Davis,13,7,6,.538,-0.75,0.25,,0,1,,3,1,,1,5,,1003,939,,525,349,767,.455,92,259,.355,213,329,.647,165,532,175,84,43,206,260
320,UC Irvine,13,8,5,.615,7.12,3.03,,1,0,,3,2,,3,3,,1011,858,,520,374,793,.472,98,242,.405,165,244,.676,144,513,198,94,40,168,248
321,UC Riverside,14,9,5,.643,0.72,1.72,,2,0,,3,1,,3,4,,1027,964,,565,381,853,.447,114,334,.341,151,211,.716,144,527,187,69,22,169,257
322,UC San Diego,14,6,8,.429,-7.78,1.47,,1,1,,3,2,,3,5,,932,1002,,570,334,813,.411,100,331,.302,164,227,.722,142,509,168,87,29,178,227
323,UC Santa Barbara,13,11,2,.846,3.84,-3.80,,2,0,,6,0,,3,2,,943,830,,525,347,718,.483,72,212,.340,177,250,.708,133,475,191,101,36,175,211
324,UCLA,15,13,2,.867,23.52,5.52,,4,0,,8,0,,4,0,,1185,915,,600,466,954,.488,93,250,.372,160,215,.744,161,527,232,132,55,145,231
325,UNC Asheville,15,9,6,.600,-4.91,-2.22,,1,1,,5,0,,3,5,,1155,1090,,610,417,853,.489,124,319,.389,197,295,.668,137,527,201,104,68,235,227
326,UNC Greensboro,15,8,7,.533,-1.53,-0.53,,2,0,,4,1,,3,4,,1058,966,,600,373,876,.426,121,352,.344,191,261,.732,159,564,229,99,39,195,255
327,UNC Wilmington,15,12,3,.800,3.43,0.81,,2,0,,6,0,,3,3,,1072,942,,600,376,823,.457,100,287,.348,220,312,.705,156,509,169,104,48,167,276
328,UT Arlington,15,5,10,.333,-5.34,3.16,,0,2,,3,3,,1,4,,999,960,,600,354,883,.401,81,294,.276,210,310,.677,216,587,177,102,56,203,273
329,Utah,15,11,4,.733,14.64,2.17,,4,0,,7,1,,3,1,,1102,915,,605,397,856,.464,105,291,.361,203,291,.698,158,626,221,72,79,199,240
330,Utah State,14,12,2,.857,16.51,4.82,,1,0,,7,1,,1,0,,1173,983,,565,402,813,.494,154,357,.431,215,291,.739,116,513,258,69,52,172,249
331,Utah Tech,15,9,6,.600,0.40,0.57,,1,1,,6,0,,2,6,,1156,1048,,600,389,859,.453,127,343,.370,251,356,.705,166,546,215,117,35,210,274
332,Utah Valley,15,11,4,.733,6.19,2.03,,2,0,,7,0,,3,3,,1158,1009,,615,402,902,.446,113,353,.320,241,327,.737,157,599,248,115,97,195,270
333,UTEP,14,8,6,.571,-0.71,2.12,,1,2,,8,2,,0,4,,984,941,,590,352,778,.452,65,244,.266,215,358,.601,153,525,185,128,42,232,254
334,UTSA,14,6,8,.429,-10.18,-1.02,,0,3,,6,3,,0,5,,964,1040,,566,319,792,.403,116,329,.353,210,288,.729,148,497,169,56,40,197,255
335,Valparaiso,15,6,9,.400,-10.60,-2.67,,0,4,,5,2,,0,6,,1025,1100,,610,388,899,.432,87,300,.290,162,229,.707,133,527,188,89,33,196,257
336,Vanderbilt,13,7,6,.538,6.71,2.79,,0,0,,5,3,,1,1,,908,857,,525,329,763,.431,109,327,.333,141,207,.681,147,487,166,67,73,164,217
337,Vermont,15,7,8,.467,-2.15,1.28,,1,0,,2,1,,4,4,,1025,1035,,612,379,837,.453,121,351,.345,146,214,.682,105,484,188,79,31,181,248
338,Villanova,14,7,7,.500,8.90,5.76,,1,2,,5,1,,1,3,,991,947,,565,331,757,.437,127,377,.337,202,240,.842,105,451,168,71,23,142,217
339,Virginia,12,10,2,.833,16.39,4.55,,2,1,,6,1,,2,1,,842,700,,480,280,611,.458,84,229,.367,198,281,.705,102,397,190,82,58,117,171
340,Virginia Commonwealth,14,10,4,.714,4.67,-1.33,,1,0,,9,1,,0,2,,972,888,,560,317,720,.440,84,264,.318,254,360,.706,123,462,170,134,70,219,228
341,VMI,15,5,10,.333,-14.05,-2.47,,0,2,,5,1,,0,7,,1111,1119,,605,402,917,.438,157,417,.376,150,197,.761,159,555,191,87,20,198,236
342,Virginia Tech,14,11,3,.786,12.46,1.03,,1,2,,8,0,,0,3,,1055,895,,565,399,832,.480,110,317,.347,147,200,.735,130,510,203,70,52,137,211
343,Wagner,13,8,5,.615,-11.64,-8.18,,1,1,,4,1,,4,4,,846,820,,525,310,790,.392,99,307,.322,127,200,.635,175,479,167,97,23,146,278
344,Wake Forest,14,10,4,.714,7.71,3.13,,2,1,,8,0,,1,2,,1059,995,,570,368,806,.457,119,334,.356,204,270,.756,127,499,177,93,35,188,223
345,Washington,15,9,6,.600,6.45,5.18,,1,3,,7,4,,0,2,,1032,1013,,605,365,851,.429,91,300,.303,211,280,.754,133,500,165,108,91,201,243
346,Washington State,15,6,9,.400,10.54,6.87,,1,3,,4,2,,1,3,,1040,985,,605,367,834,.440,128,352,.364,178,246,.724,166,525,174,73,40,204,250
347,Weber State,15,7,8,.467,-2.78,0.61,,2,0,,4,1,,2,5,,1021,1025,,600,349,782,.446,106,313,.339,217,268,.810,98,457,171,83,26,202,255
348,West Virginia,14,10,4,.714,16.19,4.19,,0,2,,7,0,,1,3,,1112,944,,565,390,816,.478,102,279,.366,230,327,.703,159,501,202,103,37,181,274
349,Western Carolina,15,8,7,.533,-9.89,-4.97,,1,1,,4,3,,2,4,,1155,1036,,610,392,919,.427,148,416,.356,223,310,.719,175,592,208,92,37,183,257
350,Western Illinois,14,8,6,.571,-8.27,-4.46,,1,2,,6,1,,2,5,,1060,1005,,560,376,813,.462,95,300,.317,213,296,.720,122,492,203,90,55,167,200
351,Western Kentucky,13,8,5,.615,-3.69,-4.60,,0,2,,4,1,,2,3,,971,877,,520,356,768,.464,111,285,.389,148,222,.667,114,464,199,82,76,148,199
352,Western Michigan,13,4,9,.308,-10.79,-0.89,,0,0,,3,2,,1,6,,889,887,,520,339,767,.442,106,315,.337,105,154,.682,166,505,169,61,30,176,193
353,Wichita State,14,7,7,.500,5.46,1.74,,0,2,,5,3,,1,2,,907,855,,565,335,792,.423,93,318,.292,144,210,.686,134,514,144,78,58,169,207
354,William & Mary,14,5,9,.357,-7.52,1.23,,0,1,,5,2,,0,7,,963,958,,560,344,794,.433,104,286,.364,171,255,.671,166,488,183,102,30,165,226
355,Winthrop,15,6,9,.400,-7.98,-0.44,,1,1,,5,1,,0,7,,1098,1127,,600,375,814,.461,123,354,.347,225,303,.743,135,500,173,85,55,225,248
356,Wisconsin,12,10,2,.833,11.60,3.94,,2,0,,5,1,,2,0,,827,735,,495,295,685,.431,107,281,.381,130,187,.695,95,400,159,90,22,117,187
357,Wofford,15,8,7,.533,-2.93,-1.77,,0,2,,7,2,,1,5,,1130,1019,,600,412,885,.466,117,365,.321,189,249,.759,152,522,190,87,27,170,195
358,Wright State,15,8,7,.533,-4.84,-4.68,,1,3,,3,3,,3,3,,1173,1080,,610,475,950,.500,85,239,.356,138,196,.704,138,528,240,106,43,196,222
359,Wyoming,14,5,9,.357,1.74,2.28,,0,2,,4,3,,0,1,,992,966,,565,343,762,.450,125,368,.340,181,262,.691,117,468,168,70,29,167,206
360,Xavier,15,12,3,.800,16.88,7.01,,4,0,,8,1,,3,0,,1257,1109,,600,458,901,.508,111,275,.404,230,317,.726,146,564,315,113,64,210,254
361,Yale,14,10,4,.714,8.39,-3.78,,0,1,,4,0,,4,4,,1055,797,,565,405,848,.478,110,331,.332,135,194,.696,162,565,214,89,61,165,239
362,Youngstown State,15,10,5,.667,2.39,-3.84,,2,2,,5,2,,4,3,,1261,1100,,610,462,937,.493,118,313,.377,219,279,.785,172,551,216,112,43,195,237
