,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
180,Mississippi State,13,11,2,.846,12.52,-1.10,,0,1,,6,1,,1,0,,886,709,,520,320,758,.422,88,283,.311,158,244,.648,179,522,201,131,56,165,178
181,Mississippi Valley State,15,1,14,.067,-20.38,3.02,,0,1,,1,0,,0,12,,800,1151,,600,286,772,.370,64,194,.330,164,259,.633,151,476,124,95,32,260,259
182,Missouri,13,12,1,.923,13.91,-0.17,,1,0,,9,1,,1,0,,1154,971,,525,426,833,.511,130,350,.371,172,229,.751,137,428,258,162,44,160,239
183,Missouri State,14,7,7,.500,4.76,3.00,,3,1,,4,2,,2,3,,915,857,,560,342,776,.441,116,345,.336,115,195,.590,140,482,165,98,55,171,216
184,Monmouth,14,1,13,.071,-19.62,2.38,,0,1,,0,5,,1,8,,831,1139,,560,304,777,.391,63,227,.278,160,257,.623,155,441,161,112,30,236,279
185,Montana,14,7,7,.500,-0.29,0.71,,1,1,,5,2,,1,5,,968,969,,560,337,745,.452,105,299,.351,189,244,.775,106,436,163,68,39,162,277
186,Montana State,15,8,7,.533,0.70,1.01,,1,1,,5,1,,3,3,,1149,1026,,600,410,865,.474,118,343,.344,211,292,.723,139,534,216,101,45,192,280
187,Morehead State,15,8,7,.533,-11.70,-0.06,,1,1,,6,1,,2,6,,1064,1023,,600,362,855,.423,106,340,.312,234,315,.743,156,564,201,91,53,195,250
188,Morgan State,13,5,8,.385,-7.62,1.78,,0,0,,3,0,,1,7,,1019,921,,530,393,841,.467,88,235,.374,145,212,.684,166,461,214,160,53,211,296
189,Mount St. Mary's,15,6,9,.400,-6.56,-3.99,,2,2,,2,3,,4,6,,961,975,,600,351,842,.417,102,291,.351,157,217,.724,157,520,206,95,40,207,244
190,Murray State,14,8,6,.571,-2.86,-2.94,,3,1,,4,1,,2,4,,999,961,,570,357,795,.449,88,279,.315,197,276,.714,135,517,176,75,40,159,211
191,Navy,14,8,6,.571,-3.73,-3.66,,1,1,,5,1,,3,5,,1016,978,,570,382,815,.469,130,322,.404,122,171,.713,143,488,218,85,31,177,222
192,NC State,15,11,4,.733,12.19,0.93,,1,3,,8,1,,0,2,,1193,1024,,600,432,953,.453,136,388,.351,193,271,.712,175,571,222,134,65,166,255
