School,G,W,L,W-L%,SRS,SOS,W.1,L.1,W.2,L.2,W.3,L.3,Tm.,Opp.,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,3PAr,AST%,BLK%,FT/FGA,FTr,ORB%,ORtg,Pace,STL%,TOV%,TRB%,TS%,eFG%
Furman,26,20,6,0.769,5.26,-3.48,11.0,2.0,11,2,7,2,2143,1851,1050,766,1575,0.486,257,735,0.35,354,469,0.755,260,928,467,185,83,306,440,0.467,61.0,8.6,0.225,0.298,29.9,116.1,70.3,10.0,14.5,52.4,0.596,0.568
Gardner-Webb,24,13,11,0.542,-2.48,-4.52,8.0,4.0,7,3,5,8,1705,1523,970,640,1363,0.47,156,461,0.338,269,430,0.626,234,842,322,175,116,300,456,0.338,50.3,15.2,0.197,0.315,29.0,104.0,67.6,10.7,16.1,52.4,0.544,0.527
George Mason,25,13,12,0.52,1.9,0.58,5.0,7.0,11,2,1,7,1741,1708,1005,620,1361,0.456,194,534,0.363,307,477,0.644,236,909,358,115,85,354,423,0.392,57.7,9.2,0.226,0.35,28.4,101.5,68.2,6.7,18.2,52.4,0.548,0.527
George Washington,24,12,12,0.5,-1.64,-0.68,6.0,5.0,10,4,2,5,1836,1831,975,647,1376,0.47,186,562,0.331,356,483,0.737,214,831,308,136,76,311,389,0.408,47.6,8.5,0.259,0.351,27.1,107.9,69.8,8.0,16.2,50.2,0.572,0.538
Georgetown,25,6,19,0.24,0.15,6.47,1.0,13.0,5,9,0,9,1769,1927,1010,655,1508,0.434,140,448,0.313,319,454,0.703,276,904,293,146,118,303,366,0.297,44.7,12.5,0.212,0.301,30.0,101.3,69.2,8.4,15.0,49.4,0.513,0.481
Georgia,24,14,10,0.583,3.97,3.18,4.0,7.0,11,2,1,7,1677,1658,965,565,1352,0.418,168,516,0.326,379,520,0.729,279,899,282,159,69,324,376,0.382,49.9,7.5,0.28,0.385,32.8,102.1,68.1,9.7,16.8,51.8,0.524,0.48
Georgia Southern,25,12,13,0.48,-4.31,-1.99,5.0,7.0,8,4,3,9,1704,1662,1005,645,1467,0.44,150,499,0.301,264,389,0.679,256,890,249,175,79,284,417,0.34,38.6,9.0,0.18,0.265,28.8,101.2,67.0,10.4,14.7,50.7,0.516,0.491
Georgia State,24,10,14,0.417,-4.64,-0.64,3.0,9.0,10,6,0,8,1596,1598,965,574,1397,0.411,136,453,0.3,312,434,0.719,277,851,266,138,88,321,405,0.324,46.3,9.9,0.223,0.311,32.9,97.4,67.9,8.4,16.7,51.9,0.498,0.46
Georgia Tech,24,9,15,0.375,0.07,5.38,2.0,12.0,8,6,1,7,1613,1705,965,607,1469,0.413,166,531,0.313,233,340,0.685,262,853,319,141,102,274,390,0.361,52.6,11.1,0.159,0.231,29.4,98.5,67.8,8.6,14.4,48.9,0.495,0.47
Gonzaga,24,19,5,0.792,17.31,7.87,8.0,2.0,10,1,5,2,2057,1762,965,777,1495,0.52,186,482,0.386,317,460,0.689,243,887,387,188,75,274,413,0.322,49.8,8.4,0.212,0.308,30.5,117.4,72.6,10.7,13.8,53.6,0.6,0.582
Grambling,22,14,8,0.636,-4.56,-6.04,8.0,3.0,7,1,7,6,1521,1412,880,546,1201,0.455,123,349,0.352,306,479,0.639,239,804,284,160,92,338,424,0.291,52.0,13.0,0.255,0.399,32.1,100.0,69.1,10.5,19.1,52.2,0.532,0.506
Grand Canyon,24,16,8,0.667,4.59,1.09,7.0,4.0,12,2,3,4,1761,1576,970,604,1339,0.451,201,566,0.355,352,477,0.738,261,886,289,121,71,297,425,0.423,47.8,7.5,0.263,0.356,32.8,110.0,66.0,7.6,15.9,52.5,0.562,0.526
Green Bay,24,2,22,0.083,-20.27,-2.71,2.0,12.0,2,6,1,14,1396,1836,960,485,1204,0.403,140,488,0.287,286,409,0.699,170,654,252,119,55,355,409,0.405,52.0,6.0,0.238,0.34,21.7,88.2,65.9,7.5,20.2,43.4,0.499,0.461
Hampton,25,6,19,0.24,-14.39,-3.85,3.0,9.0,5,5,1,10,1705,1929,1000,584,1490,0.392,182,555,0.328,355,519,0.684,260,845,277,113,80,274,461,0.372,47.4,8.9,0.238,0.348,26.8,98.0,69.6,6.5,13.6,46.6,0.491,0.453
Hartford,24,5,19,0.208,-22.54,-7.76,,,5,9,0,9,1544,1702,960,574,1332,0.431,179,539,0.332,217,331,0.656,216,767,317,155,91,335,334,0.405,55.2,10.7,0.163,0.248,26.7,96.4,66.8,9.7,18.4,47.7,0.518,0.498
Harvard,23,12,11,0.522,-0.48,-1.15,3.0,6.0,5,5,6,5,1548,1512,930,566,1298,0.436,151,496,0.304,265,399,0.664,239,838,305,171,93,320,333,0.382,53.9,11.1,0.204,0.307,30.3,98.3,67.7,10.9,17.7,52.9,0.52,0.494
Hawaii,24,17,7,0.708,3.09,-2.04,8.0,4.0,11,3,3,3,1631,1489,970,572,1309,0.437,152,472,0.322,335,450,0.744,236,837,259,119,94,291,387,0.361,45.3,9.4,0.256,0.344,30.1,102.9,65.4,7.5,16.0,52.2,0.536,0.495
High Point,25,11,14,0.44,-11.04,-4.69,3.0,10.0,8,4,1,10,1876,1967,1001,659,1480,0.445,187,578,0.324,371,597,0.621,290,957,310,156,116,369,471,0.391,47.0,11.9,0.251,0.403,31.1,102.0,73.5,8.5,17.3,49.8,0.532,0.508
Hofstra,26,18,8,0.692,3.55,-0.82,11.0,2.0,8,1,8,5,1922,1765,1045,732,1524,0.48,224,612,0.366,234,315,0.743,185,852,367,159,105,283,365,0.402,50.1,10.6,0.154,0.207,22.3,108.3,67.9,9.0,14.5,47.2,0.574,0.554
Holy Cross,25,8,17,0.32,-12.77,-5.19,5.0,8.0,5,8,3,8,1658,1778,1005,628,1427,0.44,172,473,0.364,230,368,0.625,191,809,302,165,71,310,410,0.331,48.1,7.3,0.161,0.258,21.9,96.2,68.6,9.6,16.2,45.9,0.518,0.5
Houston,25,23,2,0.92,24.76,4.2,11.0,1.0,13,2,8,0,1890,1376,1000,709,1501,0.472,199,552,0.361,273,387,0.705,323,974,373,200,124,240,396,0.368,52.6,17.7,0.182,0.258,37.9,117.9,64.1,12.5,12.5,55.3,0.561,0.539
Houston Christian,24,7,17,0.292,-16.38,-4.61,4.0,7.0,6,7,1,10,1880,2006,965,651,1403,0.464,195,529,0.369,383,524,0.731,253,823,353,143,65,385,430,0.377,54.2,6.8,0.273,0.373,30.7,105.4,74.0,8.0,18.9,50.2,0.569,0.533
Howard,24,14,10,0.583,-5.87,-3.58,6.0,1.0,10,2,3,6,1787,1746,960,631,1363,0.463,183,497,0.368,342,470,0.728,246,810,351,189,74,395,410,0.365,55.6,8.9,0.251,0.345,31.3,103.1,72.3,10.9,19.9,51.1,0.563,0.53
Idaho,25,9,16,0.36,-6.96,-4.0,3.0,9.0,5,7,4,9,1898,1818,1016,672,1379,0.487,184,519,0.355,370,490,0.755,174,770,314,128,44,290,427,0.376,46.7,4.5,0.268,0.355,22.4,110.5,67.7,7.5,15.2,48.5,0.589,0.554
Idaho State,23,8,15,0.348,-6.11,-2.75,6.0,5.0,5,5,4,9,1608,1638,950,563,1281,0.44,188,553,0.34,294,400,0.735,183,721,276,142,59,276,412,0.432,49.0,7.0,0.23,0.312,23.7,102.3,66.2,9.0,15.8,47.4,0.547,0.513
Illinois,23,16,7,0.696,16.93,5.85,7.0,5.0,11,2,3,3,1729,1474,925,620,1363,0.455,186,586,0.317,303,450,0.673,271,893,309,162,135,309,386,0.43,49.8,14.8,0.222,0.33,33.7,107.1,69.8,10.0,16.4,54.3,0.548,0.523
Illinois State,26,10,16,0.385,-5.48,-2.37,5.0,10.0,7,6,3,6,1727,1808,1060,590,1368,0.431,189,554,0.341,358,449,0.797,231,859,277,149,91,385,486,0.405,46.9,10.1,0.262,0.328,28.8,99.7,65.4,8.6,19.6,51.5,0.546,0.5
Illinois-Chicago,26,10,16,0.385,-7.39,-2.67,2.0,13.0,6,6,2,10,1740,1824,1050,596,1442,0.413,207,638,0.324,341,516,0.661,213,834,332,177,123,340,479,0.442,55.7,12.7,0.236,0.358,22.5,95.6,69.3,9.7,16.8,45.3,0.516,0.485
Incarnate Word,24,11,13,0.458,-14.34,-7.39,5.0,7.0,6,4,3,10,1698,1749,970,603,1363,0.442,145,424,0.342,347,467,0.743,219,774,297,202,65,334,410,0.311,49.3,7.4,0.255,0.343,26.9,100.1,70.0,11.9,17.4,47.9,0.536,0.496
Indiana,24,17,7,0.708,17.04,7.21,8.0,5.0,13,1,3,5,1851,1615,960,699,1406,0.497,152,398,0.382,301,426,0.707,234,887,382,140,131,290,414,0.283,54.6,14.7,0.214,0.303,30.2,111.4,69.3,8.4,15.3,53.1,0.575,0.551
Indiana State,26,17,9,0.654,5.17,-3.55,10.0,5.0,10,3,5,5,2050,1795,1045,734,1531,0.479,250,725,0.345,332,447,0.743,193,900,414,180,49,316,444,0.474,56.4,5.0,0.217,0.292,22.9,109.6,71.6,9.6,15.3,51.3,0.588,0.561
Iona,23,16,7,0.696,7.43,-1.23,9.0,3.0,8,1,3,4,1734,1535,925,649,1439,0.451,148,452,0.327,288,397,0.725,256,823,340,173,144,242,396,0.314,52.4,16.4,0.2,0.276,30.4,107.1,70.0,10.7,12.9,49.4,0.533,0.502
Iowa,23,15,8,0.652,15.88,7.93,7.0,5.0,12,2,2,4,1874,1691,930,654,1428,0.458,186,529,0.352,380,509,0.747,270,858,374,148,87,239,333,0.37,57.2,8.9,0.266,0.356,31.9,114.2,70.6,9.0,12.5,51.2,0.561,0.523
Iowa State,23,16,7,0.696,17.59,8.5,7.0,4.0,12,0,2,6,1627,1418,930,617,1333,0.463,155,443,0.35,238,356,0.669,259,773,348,213,70,296,443,0.332,56.4,11.6,0.179,0.267,33.7,105.4,66.4,13.8,16.5,52.4,0.542,0.521
IUPUI,26,4,22,0.154,-19.51,-5.51,1.0,14.0,3,8,0,11,1669,1969,1045,628,1399,0.449,120,418,0.287,293,426,0.688,235,819,295,150,66,407,455,0.299,47.0,7.3,0.209,0.305,28.0,94.3,67.7,8.5,20.3,48.5,0.521,0.492
Jackson State,23,6,17,0.261,-11.93,-2.31,6.0,5.0,5,1,2,14,1526,1761,923,555,1371,0.405,144,486,0.296,272,407,0.668,282,790,286,173,55,366,425,0.354,51.5,7.1,0.198,0.297,33.5,92.9,71.2,10.5,19.0,50.6,0.488,0.457
Jacksonville,23,12,11,0.522,-6.22,-2.42,5.0,7.0,7,2,5,9,1487,1447,920,557,1206,0.462,157,460,0.341,216,286,0.755,175,775,313,120,58,272,316,0.381,56.2,9.0,0.179,0.237,25.7,103.4,62.5,8.3,16.9,52.3,0.554,0.527
Jacksonville State,25,10,15,0.4,-8.32,-2.36,3.0,9.0,8,3,1,11,1719,1748,1005,602,1381,0.436,219,596,0.367,296,434,0.682,260,883,316,144,62,328,409,0.432,52.5,8.5,0.214,0.314,30.6,103.7,65.9,8.7,17.1,52.4,0.542,0.515
James Madison,25,17,8,0.68,6.27,-2.5,8.0,4.0,8,2,7,5,2048,1661,1020,723,1523,0.475,201,565,0.356,401,572,0.701,294,945,337,251,56,339,437,0.371,46.6,6.3,0.263,0.376,33.3,111.0,72.3,13.6,15.9,52.9,0.571,0.541
Kansas,23,18,5,0.783,19.14,11.51,7.0,4.0,12,1,4,3,1738,1563,930,634,1376,0.461,174,489,0.356,296,409,0.724,239,850,387,200,96,290,390,0.355,61.0,11.5,0.215,0.297,30.0,106.8,70.0,12.3,15.6,51.7,0.553,0.524
Kansas City,25,10,15,0.4,-5.37,-1.5,6.0,6.0,6,6,2,8,1651,1684,1015,580,1455,0.399,147,521,0.282,344,481,0.715,346,939,248,164,98,345,458,0.358,42.8,12.2,0.236,0.331,37.7,98.7,65.9,9.8,17.0,52.7,0.49,0.449
Kansas State,24,19,5,0.792,17.55,8.67,7.0,4.0,13,1,3,4,1846,1633,980,638,1399,0.456,171,484,0.353,399,531,0.751,257,864,412,187,67,336,418,0.346,64.6,7.5,0.285,0.38,31.8,106.8,70.5,10.8,16.9,51.6,0.559,0.517
Kennesaw State,25,18,7,0.72,-0.32,-2.36,10.0,2.0,10,0,7,6,1902,1731,1015,668,1443,0.463,211,559,0.377,355,537,0.661,245,887,370,219,67,322,460,0.387,55.4,8.0,0.246,0.372,28.2,106.6,70.3,12.3,15.9,51.3,0.56,0.536
Kent State,24,19,5,0.792,7.82,-0.91,9.0,2.0,12,0,6,5,1802,1539,960,647,1453,0.445,191,576,0.332,317,436,0.727,248,845,295,222,90,271,455,0.396,45.6,11.6,0.218,0.3,29.1,107.3,70.0,13.2,14.0,49.6,0.543,0.511
Kentucky,24,16,8,0.667,13.81,6.43,7.0,4.0,12,3,3,3,1802,1625,970,669,1456,0.459,163,445,0.366,301,436,0.69,319,918,380,161,97,276,369,0.306,56.8,10.8,0.207,0.299,37.7,111.1,66.9,9.9,14.2,55.5,0.542,0.515
La Salle,24,11,13,0.458,-3.26,0.04,5.0,6.0,6,6,5,5,1654,1733,975,597,1439,0.415,173,515,0.336,287,410,0.7,271,855,293,175,78,313,420,0.358,49.1,8.4,0.199,0.285,30.1,98.7,68.7,10.4,16.1,49.1,0.506,0.475
Lafayette,25,7,18,0.28,-6.75,-3.44,6.0,7.0,3,6,4,12,1516,1616,1019,548,1366,0.401,224,687,0.326,196,308,0.636,194,778,379,150,77,290,386,0.503,69.2,9.9,0.143,0.225,22.3,94.6,62.9,9.4,16.1,46.6,0.501,0.483
Lamar,24,7,17,0.292,-16.81,-5.48,3.0,8.0,5,7,1,9,1620,1792,970,590,1381,0.427,129,426,0.303,311,450,0.691,298,888,316,156,80,351,367,0.308,53.6,10.3,0.225,0.326,34.5,98.1,68.1,9.4,18.0,50.8,0.508,0.474
Lehigh,24,14,10,0.583,-8.05,-4.69,9.0,4.0,8,3,6,7,1688,1665,960,609,1378,0.442,178,492,0.362,292,398,0.734,173,816,309,157,56,296,399,0.357,50.7,6.2,0.212,0.289,21.2,99.9,70.4,9.3,15.9,48.6,0.539,0.507
Liberty,25,19,6,0.76,8.78,-2.04,10.0,2.0,13,1,4,4,1864,1470,1000,669,1410,0.474,276,723,0.382,250,342,0.731,205,851,435,159,54,266,371,0.513,65.0,6.5,0.177,0.243,25.8,114.1,65.3,9.7,14.5,52.8,0.593,0.572
Lindenwood,25,9,16,0.36,-13.91,-5.14,4.0,8.0,7,3,2,11,1711,1795,1010,630,1471,0.428,189,529,0.357,262,358,0.732,227,856,302,161,76,332,384,0.36,47.9,9.0,0.178,0.243,25.3,98.0,69.2,9.2,16.8,47.8,0.521,0.493
Lipscomb,25,15,10,0.6,-1.97,-3.79,7.0,5.0,12,1,3,9,1860,1704,1005,696,1473,0.473,195,568,0.343,273,373,0.732,229,910,347,133,73,318,352,0.386,49.9,7.9,0.185,0.253,28.0,106.6,69.5,7.6,16.2,52.6,0.564,0.539
Little Rock,25,7,18,0.28,-12.59,-5.98,3.0,9.0,6,4,1,14,1867,1979,1000,665,1518,0.438,157,467,0.336,380,522,0.728,276,882,356,163,50,339,496,0.308,53.5,5.5,0.25,0.344,30.1,102.6,72.8,9.0,16.1,49.4,0.529,0.49
Long Beach State,24,14,10,0.583,0.91,0.63,8.0,4.0,7,3,5,6,1849,1769,985,709,1575,0.45,105,368,0.285,326,490,0.665,335,1026,357,180,85,332,408,0.234,50.4,9.5,0.207,0.311,36.0,102.6,73.2,10.0,15.5,54.7,0.511,0.483
Long Island University,23,3,20,0.13,-24.74,-4.38,1.0,10.0,2,7,1,12,1533,1842,920,565,1335,0.423,119,347,0.343,284,438,0.648,220,792,327,151,76,375,392,0.26,57.9,8.2,0.213,0.328,25.9,90.4,73.7,8.9,19.6,47.5,0.497,0.468
Longwood,26,17,9,0.654,-0.65,-6.53,9.0,4.0,11,2,6,7,1922,1697,1040,683,1487,0.459,202,560,0.361,354,495,0.715,288,915,334,165,57,318,420,0.377,48.9,7.3,0.238,0.333,32.9,109.8,67.3,9.4,15.6,53.2,0.558,0.527
Louisiana,24,20,4,0.833,4.1,-1.42,10.0,2.0,11,0,7,4,1926,1690,965,695,1408,0.494,182,457,0.398,354,518,0.683,269,884,377,176,80,299,394,0.325,54.2,8.2,0.251,0.368,34.8,114.1,70.0,10.4,15.3,54.9,0.582,0.558
Louisiana State,24,12,12,0.5,4.74,6.94,1.0,10.0,9,5,0,6,1597,1650,960,558,1350,0.413,172,522,0.33,309,437,0.707,256,827,299,174,70,306,391,0.387,53.6,8.7,0.229,0.324,30.3,99.6,66.8,10.9,16.4,49.9,0.513,0.477
Louisiana Tech,23,13,10,0.565,1.55,0.45,6.0,6.0,8,3,4,7,1716,1577,935,612,1344,0.455,205,579,0.354,287,391,0.734,234,792,313,186,57,310,406,0.431,51.1,8.1,0.214,0.291,30.4,106.9,68.7,11.6,16.9,51.2,0.561,0.532
Louisiana-Monroe,25,11,14,0.44,-7.09,-0.32,7.0,5.0,7,5,4,7,1737,1730,1010,617,1448,0.426,189,522,0.362,314,447,0.702,270,872,342,189,90,330,378,0.36,55.4,10.3,0.217,0.309,30.5,101.3,67.9,11.0,16.6,49.7,0.523,0.491
Louisville,24,3,21,0.125,-6.73,5.57,1.0,12.0,3,11,0,7,1515,1810,960,523,1276,0.41,156,472,0.331,313,433,0.723,223,782,225,117,67,383,393,0.37,43.0,8.0,0.245,0.339,27.7,92.4,68.3,7.1,20.5,49.0,0.511,0.471
Loyola (IL),23,8,15,0.348,-4.68,0.37,2.0,9.0,6,5,1,6,1554,1670,935,565,1205,0.469,168,486,0.346,256,372,0.688,177,721,317,121,69,361,458,0.403,56.1,8.7,0.212,0.309,25.4,99.7,66.7,7.8,20.7,49.0,0.562,0.539
Loyola (MD),26,8,18,0.308,-13.26,-5.1,3.0,10.0,5,6,2,11,1686,1808,1040,630,1411,0.446,188,543,0.346,238,387,0.615,238,794,357,206,67,373,409,0.385,56.7,7.6,0.169,0.274,27.7,97.3,66.6,11.9,19.0,48.4,0.529,0.513
Loyola Marymount,25,16,9,0.64,6.4,3.86,6.0,5.0,11,2,3,6,1895,1784,1010,682,1481,0.46,234,640,0.366,297,448,0.663,258,920,310,136,74,321,484,0.432,45.5,7.7,0.201,0.302,30.1,107.9,69.5,7.7,15.9,53.3,0.559,0.54
Maine,24,10,14,0.417,-6.71,-3.62,4.0,7.0,6,4,4,9,1677,1664,970,639,1373,0.465,173,484,0.357,226,303,0.746,180,741,347,228,49,292,362,0.353,54.3,5.9,0.165,0.221,23.2,103.1,67.1,14.0,16.1,47.5,0.553,0.528
Manhattan,22,8,14,0.364,-9.82,-4.44,6.0,7.0,4,7,3,6,1499,1565,905,537,1224,0.439,159,461,0.345,264,398,0.663,190,683,276,172,79,312,364,0.377,51.4,9.7,0.216,0.325,25.7,98.0,67.6,11.2,18.1,45.9,0.53,0.504
Marist,22,8,14,0.364,-9.55,-5.82,4.0,9.0,4,8,3,6,1376,1458,885,494,1216,0.406,163,531,0.307,225,320,0.703,183,730,235,141,79,263,322,0.437,47.6,10.6,0.185,0.263,24.3,95.0,65.5,9.7,16.1,48.8,0.503,0.473
Marquette,25,19,6,0.76,17.48,7.12,11.0,3.0,13,1,5,4,2022,1763,1015,753,1512,0.498,219,625,0.35,297,417,0.712,218,789,441,238,89,274,402,0.413,58.6,10.1,0.196,0.276,26.3,114.3,69.7,13.5,13.8,47.3,0.591,0.57
Marshall,25,19,6,0.76,8.46,-2.67,8.0,4.0,13,2,6,4,2037,1744,1015,786,1690,0.465,205,613,0.334,260,395,0.658,334,1002,448,233,135,293,407,0.363,57.0,13.2,0.154,0.234,34.2,111.2,72.2,12.7,13.5,50.7,0.542,0.526
Maryland,24,16,8,0.667,15.29,7.2,7.0,6.0,12,1,2,6,1695,1501,960,599,1342,0.446,155,514,0.302,342,463,0.739,243,833,269,136,86,262,387,0.383,44.9,9.5,0.255,0.345,30.5,107.5,65.7,8.6,14.4,51.4,0.543,0.504
Maryland-Baltimore County,26,16,10,0.615,-4.52,-6.12,6.0,5.0,12,2,4,8,1957,1890,1040,718,1570,0.457,223,631,0.353,298,404,0.738,246,898,386,146,62,270,363,0.402,53.8,6.7,0.19,0.257,27.2,109.7,68.6,8.2,13.3,50.4,0.555,0.528
Maryland-Eastern Shore,22,14,8,0.636,-6.99,-2.88,6.0,1.0,9,0,5,8,1541,1449,885,572,1305,0.438,168,508,0.331,229,323,0.709,225,703,313,237,38,312,353,0.389,54.7,5.3,0.175,0.248,30.0,99.2,70.2,15.3,17.6,49.5,0.528,0.503
Massachusetts,24,13,11,0.542,0.07,0.49,4.0,8.0,7,4,2,6,1718,1728,960,612,1453,0.421,151,439,0.344,343,489,0.701,306,909,348,164,91,333,428,0.302,56.9,11.0,0.236,0.337,33.6,100.5,71.2,9.6,16.5,51.9,0.51,0.473
Massachusetts-Lowell,25,19,6,0.76,-0.27,-8.86,7.0,4.0,13,0,7,6,1947,1646,1005,726,1506,0.482,175,475,0.368,320,443,0.722,317,1010,373,173,127,366,425,0.315,51.4,12.7,0.212,0.294,37.4,109.9,70.5,9.8,17.6,56.7,0.567,0.54
McNeese State,24,5,19,0.208,-12.77,-2.29,2.0,9.0,3,7,2,12,1618,1803,965,600,1405,0.427,198,605,0.327,220,353,0.623,286,811,277,198,47,358,476,0.431,46.2,6.3,0.157,0.251,32.4,98.8,67.9,12.1,18.5,48.9,0.514,0.498
Memphis,24,18,6,0.75,12.58,4.87,8.0,3.0,10,1,5,4,1944,1759,975,707,1478,0.478,138,416,0.332,392,528,0.742,262,880,395,217,114,322,454,0.281,55.9,13.9,0.265,0.357,31.8,108.5,73.5,12.1,15.7,50.9,0.562,0.525
Mercer,26,12,14,0.462,-5.48,-3.77,5.0,8.0,6,6,4,7,1814,1763,1055,682,1504,0.453,154,455,0.338,296,433,0.684,264,895,354,153,54,289,456,0.303,51.9,5.7,0.197,0.288,30.0,104.4,65.9,8.8,14.5,51.0,0.531,0.505
Merrimack,25,9,16,0.36,-13.61,-6.22,7.0,4.0,5,6,4,8,1484,1579,1000,503,1238,0.406,169,557,0.303,309,443,0.698,159,678,287,266,99,371,350,0.45,57.1,11.4,0.25,0.358,20.0,89.5,66.3,16.0,20.4,42.0,0.512,0.475
Miami (FL),23,18,5,0.783,13.49,4.9,10.0,4.0,13,0,5,4,1801,1617,925,655,1360,0.482,177,492,0.36,314,411,0.764,238,800,342,171,83,265,339,0.362,52.2,9.3,0.231,0.302,31.9,113.7,68.5,10.8,14.6,51.4,0.579,0.547
Miami (OH),24,8,16,0.333,-8.04,-1.23,2.0,9.0,7,8,1,7,1786,1811,960,626,1388,0.451,195,579,0.337,339,436,0.778,231,778,329,152,68,334,429,0.417,52.6,7.9,0.244,0.314,28.7,105.6,70.5,9.0,17.3,48.9,0.56,0.521
Michigan,24,14,10,0.583,11.74,7.2,8.0,5.0,10,3,2,4,1780,1671,970,643,1424,0.452,189,536,0.353,305,439,0.695,211,867,314,117,106,234,365,0.376,48.8,11.3,0.214,0.308,25.1,107.6,68.2,7.1,12.5,49.9,0.545,0.518
Michigan State,24,15,9,0.625,13.29,10.74,7.0,6.0,10,2,3,5,1635,1574,970,606,1374,0.441,166,445,0.373,257,347,0.741,216,878,352,117,73,267,402,0.324,58.1,8.4,0.187,0.253,27.1,102.6,65.7,7.3,14.8,52.5,0.531,0.501
Middle Tennessee,24,15,9,0.625,3.12,0.71,8.0,5.0,9,2,3,7,1703,1600,970,636,1372,0.464,165,494,0.334,266,395,0.673,258,804,269,191,119,333,440,0.36,42.3,14.3,0.194,0.288,32.7,104.0,67.5,11.7,17.6,51.9,0.546,0.524
Milwaukee,23,16,7,0.696,-3.69,-4.21,10.0,4.0,10,3,6,5,1792,1621,930,633,1377,0.46,187,521,0.359,339,460,0.737,267,899,319,170,135,351,417,0.378,50.4,16.2,0.246,0.334,33.3,106.4,72.4,10.1,18.0,52.2,0.562,0.528
Minnesota,22,7,15,0.318,-1.21,6.97,1.0,11.0,5,8,1,6,1344,1524,890,494,1192,0.414,132,440,0.3,224,368,0.609,200,748,298,108,87,284,317,0.369,60.3,9.5,0.188,0.309,25.9,92.8,65.1,7.5,17.2,47.7,0.492,0.47
Mississippi,24,10,14,0.417,6.41,6.95,2.0,9.0,6,7,2,6,1625,1638,965,600,1412,0.425,143,482,0.297,282,405,0.696,293,877,313,162,111,298,395,0.341,52.2,11.9,0.2,0.287,34.0,101.0,66.7,10.1,15.7,51.5,0.506,0.476
Mississippi State,24,16,8,0.667,12.38,5.42,4.0,7.0,10,3,2,4,1571,1404,965,575,1369,0.42,137,491,0.279,284,455,0.624,309,904,349,229,88,300,347,0.359,60.7,12.1,0.207,0.332,35.1,99.6,65.4,14.5,15.9,52.7,0.496,0.47
Mississippi Valley State,24,3,21,0.125,-18.45,-2.09,2.0,9.0,2,3,1,17,1414,1812,960,494,1262,0.391,107,322,0.332,319,483,0.66,243,753,218,188,54,383,427,0.255,44.1,6.9,0.253,0.383,28.8,86.2,68.3,11.5,20.4,46.7,0.474,0.434
Missouri,24,18,6,0.75,12.14,4.97,6.0,5.0,14,2,2,4,1967,1795,965,698,1453,0.48,225,627,0.359,346,457,0.757,227,751,409,255,70,279,445,0.432,58.6,8.9,0.238,0.315,27.9,114.0,71.6,14.8,14.3,45.5,0.589,0.558
Missouri State,25,13,12,0.52,1.03,0.36,9.0,6.0,9,3,3,7,1637,1586,1015,602,1380,0.436,197,592,0.333,236,380,0.621,277,868,286,165,104,316,391,0.429,47.5,12.9,0.171,0.275,32.9,102.1,63.2,10.3,16.8,52.4,0.525,0.508
Monmouth,25,5,20,0.2,-15.7,0.02,4.0,8.0,2,8,3,12,1476,1869,1000,547,1386,0.395,98,368,0.266,284,446,0.637,276,813,275,211,69,375,482,0.266,50.3,9.4,0.205,0.322,30.0,86.9,67.9,12.4,19.0,47.1,0.462,0.43
Montana,24,12,12,0.5,-1.27,-1.18,6.0,6.0,8,4,3,8,1640,1630,965,580,1278,0.454,186,516,0.36,294,379,0.776,179,745,295,109,58,267,441,0.404,50.9,7.1,0.23,0.297,24.3,105.9,64.2,7.0,15.5,50.1,0.562,0.527
Montana State,25,17,8,0.68,2.65,-1.22,10.0,2.0,9,1,8,4,1871,1655,1000,652,1370,0.476,166,494,0.336,401,536,0.748,212,846,331,165,76,295,454,0.361,50.8,8.8,0.293,0.391,27.0,109.2,68.6,9.6,15.4,52.2,0.576,0.536
Morehead State,25,16,9,0.64,-8.2,-4.15,9.0,3.0,11,2,5,7,1770,1686,1005,608,1375,0.442,180,521,0.345,374,509,0.735,247,899,348,149,89,324,398,0.379,57.2,9.3,0.272,0.37,29.7,104.1,67.7,8.8,16.7,53.3,0.547,0.508
Morgan State,23,12,11,0.522,-9.1,-4.31,4.0,3.0,8,1,2,9,1779,1641,935,666,1452,0.459,168,442,0.38,279,409,0.682,291,826,371,233,114,364,490,0.304,55.7,13.0,0.192,0.282,34.2,103.6,73.5,13.6,18.1,48.9,0.54,0.517
Mount St. Mary's,24,8,16,0.333,-8.47,-3.86,4.0,9.0,3,7,5,9,1493,1577,960,551,1324,0.416,163,457,0.357,228,307,0.743,237,806,311,142,65,340,390,0.345,56.4,7.6,0.172,0.232,29.0,94.5,65.8,9.0,18.8,49.4,0.508,0.478
Murray State,25,13,12,0.52,-3.39,-0.39,8.0,7.0,9,2,2,9,1770,1805,1010,634,1429,0.444,148,468,0.316,354,482,0.734,245,893,298,131,72,276,378,0.328,47.0,8.3,0.248,0.337,28.5,104.5,67.1,7.7,14.3,50.7,0.534,0.495
Navy,25,14,11,0.56,-3.32,-5.37,7.0,6.0,7,4,7,7,1761,1673,1010,667,1436,0.464,207,537,0.385,220,318,0.692,245,859,375,166,64,303,396,0.374,56.2,7.9,0.153,0.221,30.1,106.7,65.4,10.1,16.0,52.0,0.555,0.537
