,Team,Conf,G,Rec,AdjOE,AdjDE,Barthag,EFG%,EFGD%,TOR,TORD,ORB,DRB,FTR,FTRD,2P%,2P%D,3P%,3P%D,Adj T.,WAB
0,Virginia,ACC,33,31–2,115.2,85.0,.9706,52.9,43.7,14.1,21,27.4,25.7,24.8,26.2,50,42.4,39,30.3,60.4,11.3
1,Villanova,BE,34,30–4,127.7,95.4,.9663,59.7,49.2,14.6,18.5,28.8,26.7,28.6,25.5,59.7,49.3,39.8,32.8,69.5,10.6
2,Duke,ACC,33,26–7,123.2,93.9,.9576,56,46,17.7,16.9,39.1,29.2,34.9,22,55.6,44.8,37.8,32.1,71.4,6.6
3,Purdue,B10,34,28–6,123.6,94.4,.9567,58.1,46.8,15.6,17.7,27.7,28.2,36.1,23.8,54.9,44.9,42,33.7,68.9,7.6
4,Cincinnati,Amer,34,30–4,111.1,86.5,.9469,51.6,42.8,17.3,22.3,38.1,28.7,36.8,27.4,50.5,40.7,35.7,30.9,66.5,6
5,Michigan St.,B10,33,29–4,119.4,93.7,.9419,57.8,42.6,19.2,14.5,36.1,26.8,36.3,29.2,55.5,38.4,41.3,33.3,68.2,8
6,Kansas,B12,34,27–7,121.7,95.7,.9406,58.1,48.5,16.6,18.5,29.1,31.7,26.2,24.8,56.5,48.1,40.3,32.7,69.8,8.2
7,North Carolina,ACC,35,25–10,121.2,96.8,.9299,52.3,50.1,16.8,16.2,38.4,26,28.6,25.8,51.1,45,36.4,38.3,72.5,7.1
8,West Virginia,B12,34,24–10,119.1,95.3,.9281,50.3,49.6,16.5,23.3,36.6,30,31.2,44.1,48.5,45.6,35.3,37.4,71.2,4.6
9,Xavier,BE,33,28–5,121.4,97.3,.9269,55.7,50,17,15.7,30,22.9,40.2,24.8,55.9,50,36.9,33.4,71.6,8.8
10,Gonzaga,WCC,34,30–4,118.3,95.2,.9239,57.7,46.9,16,17.4,33,22.7,30.9,29.4,58.8,43.3,37.4,35.5,70.3,4.9
11,Ohio St.,B10,32,24–8,116.1,93.6,.9228,54.4,48.3,17.3,18,30.3,24.9,31.5,29,55.1,46,35.3,34.6,67.8,4.5
12,Texas Tech,B12,33,24–9,112.9,91.1,.9222,52.7,46.7,18.1,22,33.3,28.4,40.3,38.1,51.5,45.1,36.6,32.8,67.6,4.7
13,Tennessee,SEC,33,25–8,114.3,92.3,.9215,50.7,46.8,18,20.6,33.6,31.5,36.5,38.3,47,46.1,38.4,31.9,67.3,6.4
