,Team,Conf,G,Rec,AdjOE,AdjDE,Barthag,EFG%,EFGD%,TOR,TORD,ORB,DRB,FTR,FTRD,2P%,2P%D,3P%,3P%D,Adj T.,WAB
312,Maryland Eastern Shore,MEAC,31,9–22,97.8,112.8,.1618,49.2,53,23,18.8,31.4,29.7,37.3,49.5,49.5,53,32.4,35.3,68.3,-15.4
313,UMass Lowell,AE,28,10–18,99.4,114.8,.1610,53.6,54.5,21.3,19.2,25.1,32.9,33.2,38.4,53.2,53.9,36.2,37.1,73.7,-13.1
314,Southern Miss,CUSA,27,7–20,94.8,109.6,.1596,49.4,51.6,20.3,17.7,23.3,29.4,36.1,38.9,45.2,50.2,35.9,35.5,64.1,-15.8
315,Hartford,AE,32,9–23,98.9,114.3,.1596,49.1,53.3,16.3,18.5,18.9,35.8,33.2,41.1,45.6,54,35.4,34.7,70.2,-17.5
316,Northern Colorado,BSky,29,8–21,101.7,118.1,.1524,50.7,55.9,19.9,17.7,29.2,29.8,43.4,48.4,48.8,54.4,36.4,38.8,69.6,-15.9
317,Abilene Christian,Slnd,27,9–18,96.0,111.4,.1524,50.5,54.6,19.2,19.2,24.5,27.6,40.3,46.5,48.4,54.2,36.3,36.9,68.3,-14.3
318,New Orleans,Slnd,27,7–20,95.1,110.5,.1516,45.1,52.9,19.7,21.4,34.8,33.5,43.2,43,43.8,51.5,32.5,37,72.7,-16.3
319,Alcorn St.,SWAC,28,13–15,96.3,111.9,.1514,45.6,51,21.1,17.3,34.8,31.9,38.4,39.7,45.3,48.6,30.8,37,66.5,-11.3
320,Howard,MEAC,30,10–20,93.4,108.5,.1512,43.6,49.2,20.3,18.9,32.6,35.8,48.5,36.6,43.4,48.6,29.5,33.5,71.5,-16
321,VMI,SC,27,6–21,95.3,110.7,.1504,47.1,53,18.5,18.7,26.3,34,27,41.4,45.7,51.2,32.5,37.4,69.3,-15.9
322,Southeastern Louisiana,Slnd,31,10–21,96.5,112.5,.1451,51.1,52.1,21.5,19.1,29.4,33.6,37,41.9,49.1,49.5,36.5,37.5,69,-15.7
323,McNeese St.,Slnd,26,7–19,96.7,113.2,.1392,46.7,52.3,17.7,16.1,28.1,33,36.2,37.7,44.9,50.8,33.2,37.3,69.3,-14
324,Coppin St.,MEAC,29,7–22,95.1,111.6,.1376,44.2,52.8,17.7,18.1,30.7,34.8,37.2,43.1,40.6,51.8,33.4,36.7,71.1,-16.1
325,Central Arkansas,Slnd,28,7–21,99.6,116.9,.1366,49.9,53.8,19.7,15.8,31.3,29.8,41.9,38.7,47.4,51.5,37.2,38.7,72.9,-15.8
326,Northwestern St.,Slnd,24,5–19,100.4,118.0,.1351,50.2,55.1,19.5,18.6,27.3,38.6,35.2,36.1,49.5,54.8,34.3,37.1,74.2,-14.3
327,Savannah St.,MEAC,29,14–15,87.3,102.6,.1344,45.3,49.1,21.9,22.1,26,30.6,39.3,41.4,44.6,48.1,31,34.1,67.2,-11.1
328,Lamar,Slnd,26,7–19,95.6,112.6,.1315,47.4,52,20.5,19.4,33.4,31.9,42.6,46.6,46.7,51.4,32.6,35.6,72.8,-15.8
329,American,Pat,31,12–19,90.8,107.0,.1313,49,51.6,22.1,19.2,23.5,30.2,31.7,40.1,47.7,53.7,34.1,31.1,62.2,-13.8
330,Nicholls St.,Slnd,31,8–23,91.4,107.8,.1311,47.1,50.8,22,18.2,25,34.5,40.4,39.7,47.7,49.3,30.9,35.9,69.8,-16.6
