,Team,Conf,G,Rec,AdjOE,AdjDE,Barthag,EFG%,EFGD%,TOR,TORD,ORB,DRB,FTR,FTRD,2P%,2P%D,3P%,3P%D,Adj T.,WAB
12,Auburn,SEC,34,25–9,119.4,95.9,.9254,54.2,51.8,17.5,25.3,32.7,32.9,31,36.6,51.3,50.4,38.1,35.6,69.3,6.1
13,Iowa St.,B12,34,23–11,118.2,96.1,.9148,54.9,48.5,16.2,18.8,28.5,30,30.3,23.6,55,47.1,36.5,33.8,69.1,4.3
14,Wisconsin,B10,33,23–10,108.9,88.8,.9126,51.5,44.8,14.4,17.2,24,26.5,27.5,25.9,49.8,43.7,36.6,31.2,64.8,6.2
15,Kansas,B12,34,25–9,112.5,92.2,.9079,52.3,47.8,18.7,18.5,29.7,28.3,32.9,27.7,52.2,45.9,35,33.6,71.5,8.3
16,LSU,SEC,32,26–6,118.3,97.1,.9064,51.7,50.2,18.2,20.7,37.3,30.4,37.7,34.2,53.4,49.7,32.3,34.1,71.3,7.3
17,Louisville,ACC,33,20–13,112.9,92.7,.9061,50.9,46.4,17.8,16.3,29.2,25.8,35.1,31.6,50.6,45.7,34.2,31.7,68.6,2.3
18,Kansas St.,B12,33,25–8,106.5,87.5,.9053,49.5,48.1,17.4,22.9,28.1,25.6,30.7,30.5,49,49.1,33.6,31.2,64.7,6.6
19,Florida St.,ACC,34,27–7,111.3,92.1,.8986,50.7,47.3,19.2,20.3,33.1,26.9,36.3,36.1,51,46.2,33.6,32.6,69.9,7.7
20,Mississippi St.,SEC,33,23–10,116.4,96.6,.8948,54.6,50.1,19.3,19.7,34.9,29.8,32.3,31.7,53.3,48.5,37.8,35.3,68.8,4.6
21,Florida,SEC,34,19–15,109.8,91.4,.8922,49.9,48.4,18,22.6,31.1,31.7,30.4,33.6,49.8,48.6,33.5,32,64.3,0.6
22,Maryland,B10,32,22–10,112.5,93.8,.8893,51.9,46,19.8,14.3,33.9,24.7,32.9,26.6,51.3,44.7,35.3,32,67.6,4.2
23,VCU,A10,32,25–7,104.0,86.9,.8867,50.6,43,20.1,23.5,31,30.6,36,37.2,53.7,43.8,30.7,27.6,69.6,1.4
24,Cincinnati,Amer,34,28–6,112.1,93.9,.8847,49,48.1,16.1,20.9,37.6,29.4,38.1,30.5,47.3,44.7,35,35.1,64.9,5.9
25,Texas,B12,32,16–16,113.1,95.1,.8807,50.7,49.6,16.5,19.1,28.9,30.1,29.8,30.2,50.4,46.5,34,36.6,66,-0.5
26,Buffalo,MAC,33,30–3,113.2,95.2,.8803,53.4,47.2,15.6,20.4,31.6,26.7,32.2,31.5,55.8,48.8,33.6,29.7,75.2,5.7
27,Clemson,ACC,32,19–13,107.6,90.6,.8775,51.2,47.4,19.8,19.8,27.6,24.1,32.7,30.8,52.2,44.2,32.9,34.8,67.4,0.1
28,UCF,Amer,31,23–8,111.1,93.9,.8742,52.7,45.5,17.5,18.3,29.6,29.5,46.4,29.6,52.5,44.6,35.4,31.3,66.3,2.2
29,Wofford,SC,30,26–4,115.8,97.9,.8737,57.8,50.2,16.2,19.3,32.3,24.6,27.7,31.8,54.3,50.9,41.6,32.7,67.2,4.2
30,Nevada,MWC,33,29–4,112.9,95.5,.8723,54.1,47.6,14.4,19.2,26.5,24.7,40.7,27.6,55.1,46,35.1,33.4,70.8,4.1
31,Oklahoma,B12,32,19–13,108.9,92.8,.8630,50.2,47.1,17.4,17.5,26.2,27.9,31.4,24.1,49.6,45,34.2,33.3,70.5,2.5
32,Saint Mary's,WCC,33,22–11,114.2,97.3,.8629,54,48.6,16.3,16.4,31.3,23.2,29.7,29.4,52.5,49.1,37.8,31.8,64.1,-0.6
33,Marquette,BE,33,24–9,112.2,95.7,.8624,54.1,45.9,19.5,16.6,29.1,26.2,35.9,35.7,50.5,44.8,39.3,31.9,70.4,2.8
34,Nebraska,B10,33,17–16,112.2,95.8,.8605,49.1,47.6,14.5,19.7,28.1,32.4,32.8,29.6,48.3,46.4,33.5,33.3,68.1,-0.1
35,Syracuse,ACC,33,20–13,109.4,93.4,.8597,49.5,47.5,18.4,23.2,30.1,33.3,36.8,34.8,49.5,46.5,33,32.3,67.4,0.5
36,Mississippi,SEC,32,20–12,113.1,96.6,.8597,53,50.6,18.2,21,30.4,29.5,31.7,33.2,52.6,47.8,35.8,37.2,69.7,1
37,Villanova,BE,34,25–9,115.1,98.7,.8547,53.4,49.9,17,18.1,30.8,27.3,35.3,28.6,53.9,49.7,35.3,33.5,65.1,3.7
38,TCU,B12,33,20–13,110.7,94.9,.8543,52.3,48.4,19.5,18.8,31.3,28.9,31.6,28.6,52.1,50,35.2,30.5,70.1,1.1
39,North Carolina St.,ACC,33,22–11,112.1,96.5,.8483,52.1,48.8,17.6,21.9,35.4,28.7,28.8,39.8,51.6,50.5,35.3,30.4,72.8,1.9
40,Utah St.,MWC,33,27–6,111.2,95.9,.8459,54.3,46.2,17.9,17.2,31.7,22.2,36.7,34.1,54.7,42.1,35.7,34.8,69.5,2.2
41,Penn St.,B10,32,14–18,108.4,93.5,.8458,47.5,49.9,18.1,19.6,31.9,26.3,32.3,34.1,47.2,48.4,32,35.4,68.8,-2.8
42,Iowa,B10,33,22–11,116.4,100.5,.8440,52.6,51.6,17.2,18.5,29.9,29,42.3,28.8,51.5,53.4,36.1,32.6,70.9,3.2
43,Ohio St.,B10,33,19–14,108.3,94.1,.8350,50.5,48.2,18.7,18.4,27.7,26.1,34,31.8,49.9,47.4,34.3,33,67.2,0.9
44,Oregon,P12,35,23–12,106.4,92.9,.8269,51.7,46.8,17.8,21,29.7,28.1,30.3,35.3,51.9,49,34.3,29.4,65.5,-1
45,Baylor,B12,32,19–13,112.0,98.1,.8217,50.9,48.6,19.9,18.5,38.1,28.8,32.6,36.5,50.9,47.1,34,34.1,66.7,0.9
46,Washington,P12,34,26–8,106.0,93.4,.8101,52.1,47.3,19.8,24,29.6,34.4,35.1,34.5,52.3,46,34.6,33.1,67.4,3.3
47,Creighton,BE,31,17–14,113.0,99.6,.8098,56.6,53,18.4,19,24.6,27.6,29.5,28.6,55.6,53,38.5,35.2,69.9,-2.2
48,Minnesota,B10,34,21–13,109.5,96.6,.8097,48.3,49.1,17.6,16.6,31.9,28.1,42,28.3,48.4,48.3,32.1,33.9,69,2.7
49,Indiana,B10,32,17–15,108.2,95.4,.8091,51.2,48.5,18.2,18.2,28.2,28.3,34.8,28.6,53.3,48,31.4,32.9,68.3,-0
50,Alabama,SEC,33,18–15,108.6,96.0,.8052,50.3,49.1,19.5,17,31.3,27.4,38.5,30.2,50,48.9,33.9,33.1,70.1,-0.1
51,New Mexico St.,WAC,32,28–4,111.6,98.8,.8013,54,48.7,17.7,19.3,37,22.7,34.1,32.4,56.4,47.9,34.2,33.3,66.9,1.6
52,Lipscomb,ASun,30,23–7,108.7,96.8,.7919,54.9,47.9,17.9,20.2,26.3,23.3,37.1,29,54.2,47.9,37.3,31.9,74.3,-0.3
53,Murray St.,OVC,29,25–4,110.5,98.5,.7896,55.2,46.4,17.2,19.5,32.4,30,33.2,28.4,57.2,48.4,34.4,28.5,70.1,1.3
54,Missouri,SEC,32,15–17,106.8,95.3,.7885,50.5,49.4,21,18.1,31.9,25.7,29.8,38.1,47.6,50.6,36.3,31.9,66,-3.1
55,Dayton,A10,32,21–11,110.7,98.7,.7881,56.1,47.8,18.9,17,27.2,27.4,32.5,23.6,59.2,47.7,33.4,31.9,66,-2.1
56,Memphis,Amer,34,21–13,108.8,97.2,.7857,51.1,48.5,19.8,21.1,34.1,30.7,38,38.5,52.4,48.8,32.5,32,75.7,-1.3
57,Temple,Amer,32,23–9,109.2,97.6,.7855,50.1,50.3,15.7,20.8,26.6,29.6,33,33.7,50.4,51.1,33.1,32.7,70.1,2
58,Belmont,OVC,30,25–5,113.4,101.3,.7850,57.8,48.9,15.4,16.3,25.6,24.3,28.1,27.7,59.5,47.2,37.1,34.7,72.5,1.4
59,Toledo,MAC,31,24–7,109.2,97.8,.7795,53.4,46.8,17.5,15.5,28.6,25.2,26.3,27,50.5,46.6,38.2,31.5,68.9,0.1
60,Arkansas,SEC,32,17–15,108.2,96.9,.7791,51,49.7,18.3,22.9,28.5,35.2,38.5,41.3,50.8,48.7,34.2,34.1,72,-2.2
61,San Francisco,WCC,30,20–10,111.2,99.8,.7774,53.5,48.9,15.1,17.2,28.9,25,30.9,30.6,53.8,49.3,35.4,32,67.8,-2.5
62,Arizona St.,P12,32,22–10,108.9,97.9,.7728,50.8,48.6,18.5,18.9,32.5,26.4,43.6,38.6,50.6,47.2,34.1,33.6,71.8,0.2
63,Seton Hall,BE,33,20–13,107.8,97.0,.7713,49.9,49.3,17.5,20,29.3,29.4,34.8,32.6,50.8,48.7,32.4,33.6,70.3,-0.3
64,Furman,SC,29,22–7,106.8,96.3,.7664,55.7,47.7,18.8,20.1,29.2,29.6,25.1,24.3,56.9,48.2,36.2,31.3,67.9,-0.3
65,South Carolina,SEC,31,15–16,107.5,97.0,.7654,48.3,49.5,19.2,20.3,31.8,31.1,36.2,39.6,44.9,48.2,36.5,34.2,71.8,-2.1
66,Miami FL,ACC,32,14–18,109.4,98.9,.7620,50.8,52,16.9,19.8,25.9,29.8,30.8,22.7,51.4,51.7,33.3,34.9,68.2,-5
67,Butler,BE,32,16–16,110.4,100.0,.7557,51.9,52.7,16.2,19.1,25.8,27.3,25.1,35.9,51.5,52,35,35.8,67.2,-4.2
68,Illinois,B10,33,12–21,109.1,99.0,.7530,49.6,52.2,18.4,21.8,29.1,31.9,29.5,42.4,48.2,53.6,34.5,33,71.8,-5.6
69,Providence,BE,33,18–15,104.5,94.9,.7504,48.2,49.4,18.9,20.2,31.7,28.2,38.8,32.7,47.3,48.6,33.3,33.7,69.1,-3.3
70,Colorado,P12,33,21–12,105.7,96.3,.7435,51.3,48.4,19.3,17.6,31.2,23.7,37.5,31.7,52.8,48.8,32.4,31.7,69.3,-3.4
71,Wichita St.,Amer,33,19–14,105.9,96.5,.7435,46.7,48.4,17.1,18.1,32.8,27.6,29.1,39.9,46.9,47,31,33.8,69.2,-2.8
72,St. John's,BE,33,21–12,109.1,99.8,.7358,52.3,50.8,14.1,21,21.4,29.7,29.4,39,51.2,50.5,36.2,34.1,72.1,-1.1
73,Vermont,AE,32,26–6,107.2,98.1,.7347,52.4,49,16.6,19.4,27.5,21.8,36.3,26.2,52,46.5,35.3,35.3,66.6,-0.8
74,Northwestern,B10,32,13–19,101.8,93.2,.7345,46.6,46.7,16.1,17.9,24.2,26.3,30.2,34,46.4,48,31.3,29.3,67.2,-5.7
75,Xavier,BE,33,18–15,109.9,100.6,.7343,53,50.8,19.9,16.4,32,27.6,33,24.7,54.9,49.2,33.3,35.4,66.4,-2.8
76,Liberty,BSth,31,25–6,108.7,99.7,.7300,56.1,48.7,17.2,20.8,25.7,26.5,26,32.4,56.9,48.4,36.6,32.9,63.2,-0.4
77,Fresno St.,MWC,31,22–9,107.2,98.6,.7244,54.5,48.5,18.2,19.5,27.4,25.4,30.2,35,51.9,50.2,38.2,30.7,69.1,-1.8
78,UC Irvine,BW,34,29–5,105.5,97.0,.7234,51.4,43.7,17.1,16.7,33.6,26.4,28.6,33.8,50.3,40.7,36,33.3,66.6,0.9
79,Oklahoma St.,B12,32,12–20,108.3,99.9,.7182,50.1,50.3,18,17.6,26.4,29.4,30.6,31.5,46,48.3,37.2,35.4,67.4,-4.1
80,West Virginia,B12,34,14–20,108.5,100.1,.7176,47.5,52,21.7,18.6,36.7,28.6,39.7,39.6,47.5,50.9,31.7,35.9,71.7,-3.7
81,Rutgers,B10,31,14–17,104.1,96.2,.7116,47,49.2,19.1,17.4,33.4,27,31.7,32.4,47.2,47,31.2,35.3,68.9,-3.5
82,Yale,Ivy,28,21–7,110.1,102.0,.7074,56.1,47.2,18.1,15.2,26.3,24.4,30.5,30.6,56.1,47.5,37.4,31.2,72.1,-0.7
83,Arizona,P12,32,17–15,104.5,96.8,.7062,49,50.9,16.7,20.3,28.4,25.9,33.3,35,48.1,51.9,33.6,32.9,68.2,-4.1
84,South Dakota St.,Sum,31,23–8,111.4,103.2,.7061,58.8,50,16.3,15.6,23.5,22.5,32.4,23.3,56.5,48.7,41.5,34.3,72.4,-3.3
85,USC,P12,33,16–17,108.4,100.5,.7046,52.8,49.1,16.5,18.1,27,29.9,27.6,30,50.3,48.4,38.2,33.4,71.1,-6.9
86,East Tennessee St.,SC,31,22–9,107.4,99.6,.7029,54.4,52.1,20.1,20.7,36.9,23.6,30.1,30,54.8,47.9,35.7,38.8,68.4,-1.3
87,SMU,Amer,32,15–17,112.3,104.2,.7027,51.2,50,16.6,17.5,33.4,31.6,27.8,29.5,51.3,48.2,34.1,35.1,66.3,-6.3
88,Texas A&M,SEC,32,14–18,106.4,98.8,.7017,49.3,49.3,20,18.5,32.7,32.5,34.2,27,51,49.1,30.8,33.1,68.9,-4.4
89,Davidson,A10,32,23–9,106.4,98.9,.7000,52.8,47.8,16.6,16.6,23.2,24.8,28.7,29.7,52.7,47.1,35.3,32.5,66,-0.7
90,Notre Dame,ACC,33,14–19,107.5,100.0,.6969,46.2,49,14,16.4,29,31.1,30.1,21.8,45.4,48.6,31.5,33.1,66.5,-5.6
91,Connecticut,Amer,33,16–17,108.1,100.6,.6962,51,49.6,18.5,20,32.3,30.2,32.7,39.2,50.7,49.2,34.4,33.5,70.3,-5.6
92,San Diego,WCC,34,20–14,105.3,98.1,.6920,52.6,49.5,18.5,17.5,23.7,22,33,37.6,53,49.4,34.6,33.1,68.2,-3.5
93,UCLA,P12,33,17–16,108.1,100.7,.6919,52,49.6,19,15.1,30.8,27.1,38.2,27.6,51.4,47.9,35.5,34.7,73.9,-5.1
94,Oregon St.,P12,31,18–13,110.3,103.0,.6863,52.2,50.2,18.3,17.6,30.8,29,36.8,33.5,54.5,46.7,32.1,37.3,67.1,-3.8
95,BYU,WCC,32,19–13,110.4,103.2,.6856,52.8,50.7,15.3,17.6,23.7,27,40,35.4,54.7,48.3,33,36.6,72.6,-2.9
96,Northeastern,CAA,33,23–10,110.0,102.8,.6855,57.2,51.8,16.7,16.7,22.7,24.3,34.3,28,56.4,52.5,38.8,33.6,67.5,-2.6
97,UNC Greensboro,SC,32,26–6,104.9,98.2,.6813,51.1,50.9,17.2,22.5,31.8,29.9,30.8,32.9,51.1,49.7,34,35.1,68.8,2.1
98,Utah,P12,31,17–14,114.5,107.3,.6789,55,52.3,19.2,14.7,31,27.1,35.5,32.5,54.6,51.7,37,35.6,67.5,-4.1
99,Georgetown,BE,32,19–13,108.1,101.3,.6789,51.2,50.1,18.1,16.1,29.2,26,38.6,30.1,49.6,49.2,35.9,34.3,73.7,-2.3
100,Northern Kentucky,Horz,32,24–8,108.4,101.6,.6775,55,48.9,17.6,18.5,30.7,26.5,35.5,35.2,55.3,49.5,36.4,31.9,69.4,-2
101,Penn,Ivy,30,18–12,103.9,97.5,.6754,52.6,49.1,18.4,19,24.8,26.3,28.1,25.5,52.9,48.7,34.7,33.3,68.5,-4.9
102,Hofstra,CAA,33,26–7,114.7,107.7,.6728,56.2,52.2,13.9,18.4,27,29.3,38,25.1,54.7,51.5,39.1,35.6,68.8,-1.7
103,Loyola Chicago,MVC,32,19–13,104.1,97.8,.6715,55.2,50.9,18.8,20.5,20.2,21.8,32.7,24.1,55.2,48.3,36.8,36.6,64,-7
104,Southern Miss,CUSA,28,17–11,105.8,99.5,.6700,53.2,48.4,15.8,19.6,23,28.2,23.6,30.1,49.9,47,39.3,33.3,65.9,-4.5
105,Georgia Southern,SB,31,19–12,107.3,101.0,.6674,54.3,51.4,18.6,20,27.4,28.7,35,31.3,56.8,51.7,32.4,34,74.7,-4.6
106,South Florida,Amer,31,18–13,101.6,95.7,.6669,48.7,49,22.9,22.2,37.1,26.6,50.2,44.9,48.5,48.9,32.7,32.7,68.5,-4.3
107,Georgia St.,SB,32,23–9,107.6,101.3,.6668,54.4,50.1,16.6,21.1,23.3,33.6,35.7,31.3,51.8,50.5,38.4,33,71.2,-1.1
108,Pittsburgh,ACC,33,14–19,103.3,97.4,.6631,47.9,47.7,19.6,21.3,32.1,32.8,42.3,32.9,46.9,45.8,33.1,33.6,68.6,-6.3
109,Saint Louis,A10,35,23–12,101.1,95.4,.6614,46.8,46.9,19,19.4,36.1,25.3,39.7,32.9,47.1,46.9,30.8,31.3,67.5,-3
110,Grand Canyon,WAC,32,19–13,106.7,100.8,.6603,51.5,50.1,17.2,19.4,29.4,25.3,34.5,29.9,52.6,48.4,33.2,35.5,69.2,-5.4
111,DePaul,BE,30,15–15,110.0,104.0,.6580,52.4,52.5,19.3,17.7,32.8,24.7,35.4,31.3,52.7,50.8,34.5,36.5,70.6,-5.1
112,Drake,MVC,31,22–9,107.2,101.3,.6570,53.9,48.7,19.2,16.7,24.6,26,33.4,29.2,53.7,50.7,36,30.1,70.5,-2.7
113,Akron,MAC,31,15–16,99.0,93.6,.6560,48.2,45.5,17.3,19.1,25.1,29.9,27.7,30.6,48.8,46.1,31.7,29.6,67.4,-7.9
114,Tulsa,Amer,32,18–14,104.7,99.1,.6516,51.2,48.1,18,17.6,23,29.4,43.4,30.3,51.3,47.3,34,32.8,70.1,-3.4
115,Wright St.,Horz,32,19–13,106.0,100.5,.6485,51,53,17.4,20.2,30.7,25.6,35.6,28.4,50.6,52.2,34.4,36.3,66.5,-6.4
116,Bowling Green,MAC,32,20–12,106.8,101.5,.6427,50.5,50.8,16.6,17.8,30.7,24.8,34.9,31.1,48.8,50,35.8,34.6,71.4,-4
117,Old Dominion,CUSA,34,26–8,100.4,95.5,.6424,47.7,45.6,17.9,18.6,32.3,24.8,29.5,32.4,44.6,43.4,35.3,32.5,65.8,-1.6
118,St. Bonaventure,A10,34,18–16,100.7,95.8,.6415,48.3,47.2,18.7,19.8,29.2,28.7,28.2,31.5,47.9,46.2,32.8,32.3,65.5,-8
119,Boise St.,MWC,32,12–20,107.6,102.4,.6395,53.9,51.8,17.3,18.5,23.5,24.4,31.8,33.6,54.7,52,35.2,34.3,66.9,-11.7
120,San Diego St.,MWC,33,20–13,103.4,98.4,.6377,49.9,48.2,18.3,18.8,28.9,28.4,35.2,33.3,47.9,47.2,35.6,33,67.9,-3.9
121,Harvard,Ivy,28,17–11,104.1,99.2,.6360,53.2,50.6,22.5,18,28.2,22.3,31.5,33.8,51.6,49.7,36.9,34.8,68.6,-3.3
122,Georgia Tech,ACC,32,14–18,99.5,94.7,.6360,49.2,45.7,21,18.7,25.3,31.6,34.3,34.8,50.7,46.3,30.7,29.7,68.4,-4.8
123,Georgia,SEC,32,11–21,105.0,100.1,.6336,50.1,48.5,22.5,15.5,32.7,31,41.3,29.9,51.1,47.8,32.2,33.2,70.1,-7.4
124,Utah Valley,WAC,31,22–9,107.5,102.6,.6290,56,49.3,19.8,16.7,27.2,26.2,40.5,30.1,54.7,47.4,38.7,35.1,69.7,-2.1
125,Austin Peay,OVC,31,20–11,109.6,104.7,.6287,52.9,52.5,16.6,20.8,32.3,30,34.7,34.2,51.1,53.5,37.5,34,70.3,-4.7
126,Boston College,ACC,31,14–17,106.3,101.7,.6245,48.5,48.4,17.5,16.6,28.6,31.5,35,29.4,49.1,48.8,31.7,32,68.7,-5.3
127,Jacksonville St.,OVC,31,22–9,103.1,98.7,.6238,50.5,48.7,18.8,20.4,33,25.6,30.2,30.1,52.3,47.7,31,33.3,69,-3
128,Western Kentucky,CUSA,34,20–14,104.2,99.8,.6220,49.9,48.9,19.6,18.5,29.6,28.1,37.9,25.6,50.2,47,32.7,34.5,69.1,-5.3
129,Texas St.,SB,31,22–9,101.1,97.3,.6105,50,48.2,19.6,21,32.9,24.6,34.5,38.8,50.7,48.8,32.5,31.5,66.4,-3.1
130,College of Charleston,CAA,32,23–9,106.5,102.6,.6049,54.2,52.1,15.6,19.1,25.6,25.9,33.5,26.4,56.3,53.7,33.7,33.3,66.7,-2.9
131,Ball St.,MAC,32,15–17,102.4,98.8,.6022,51.8,47.3,20.2,17.9,27.5,28.6,37.6,30.4,53.5,46.8,32.2,32.1,71.5,-8.4
132,Rhode Island,A10,33,18–15,102.9,99.3,.6019,47.4,48.7,17.8,20.2,31.3,27.9,36.8,35.7,50,48.8,28,32.3,68.8,-6.5
133,Montana,BSky,32,24–8,106.7,103.2,.5960,56.7,50,17.4,19.3,27.7,25,32,37,56.2,49,38.3,34.6,67.8,-3
134,Loyola Marymount,WCC,29,18–11,102.6,99.3,.5926,49.7,49.9,19.7,21.2,29.6,26.9,39.2,35.9,50.8,50.6,31.3,32.6,64.2,-3.8
135,Central Michigan,MAC,31,20–11,108.9,105.4,.5920,51.1,49.8,16.2,18.7,31.4,32.9,40.3,29,48.6,53.6,36.9,28.8,72.1,-3.8
136,Stanford,P12,31,15–16,101.5,98.3,.5896,51.2,47.9,20.8,17.2,29.9,28.3,36.1,32.9,53.2,46.4,31.7,34.5,71.1,-5.7
137,Radford,BSth,30,19–11,107.6,104.5,.5833,52.8,51.9,16.4,18.1,29.7,24.9,27,30.7,50.1,51.7,38,34.7,65.7,-4.2
138,Kent St.,MAC,30,20–10,108.8,105.7,.5820,49.5,52.3,16.4,19.1,33.2,30.7,32.4,36.2,49.2,53.1,33.4,34,68.8,-2.5
139,Louisiana Monroe,SB,32,17–15,111.0,108.0,.5785,53.8,52.9,16.2,17.4,26.7,28.7,36.4,29.1,49.3,52.6,39.6,35.6,67.6,-7.2
140,Colgate,Pat,33,23–10,108.4,105.5,.5776,55.9,50.6,19.3,18,30.3,26.9,28.9,28.6,53.9,50.4,39.1,33.9,67.9,-4.1
141,Samford,SC,32,16–16,105.5,103.0,.5695,54.1,49.6,19.3,18.1,28.1,31.2,33.9,28.3,53,47.3,37.3,35.1,70.5,-8.6
142,Brown,Ivy,28,17–11,97.9,95.8,.5628,50,47.7,20.2,21.3,24.7,26.9,36.8,31.5,50.2,50.3,33.2,29.5,72.2,-5.5
143,UTSA,CUSA,28,14–14,104.5,102.4,.5581,49.5,49.5,16.4,18.1,26.1,28.4,26.2,35.6,48,50,34.3,32.5,73.2,-7.6
144,Miami OH,MAC,30,13–17,104.2,102.4,.5506,48.6,51.1,18.7,16.7,30,25.3,34.7,33.9,48.7,51.3,32.3,33.9,67.5,-8.5
145,Northern Illinois,MAC,32,15–17,107.4,105.5,.5501,52.6,51.9,17.2,17.9,27.2,26.7,26.5,39.1,51.6,50,36.5,36.1,67.2,-8.7
146,Louisiana Tech,CUSA,31,18–13,103.8,102.2,.5462,49.8,49.3,17,19.2,29.4,28.8,35.9,30.2,49.3,49.1,33.7,33,66.9,-6.8
147,Coastal Carolina,SB,29,13–16,104.8,103.1,.5449,51.2,50.8,20.3,18.2,32.2,28.5,41.2,43.3,49.1,52.8,36.5,32.3,70.7,-9.7
148,Pepperdine,WCC,33,15–18,106.5,105.0,.5401,52,53.9,18,20.9,24.9,29.5,35.7,35.7,48.4,54.9,37.9,34.8,71.8,-9.5
149,North Texas,CUSA,30,18–12,99.0,97.8,.5364,49.2,47.4,20.1,19.8,30.7,24.4,27.7,37.7,50.5,46.4,31.7,32.8,66.8,-6.9
150,Abilene Christian,Slnd,29,23–6,102.2,101.0,.5352,52.4,49.6,17.4,23.4,27.7,27.8,34.5,38.4,49.8,49.2,38.3,33.5,67.1,-2.5
151,UAB,CUSA,32,18–14,105.4,104.2,.5324,50.6,49.1,16.9,18,30.5,26.5,31.7,31.3,51.6,48.2,32.4,33.5,66.2,-7.2
152,Vanderbilt,SEC,32,9–23,101.4,100.3,.5316,48.6,49.5,20.5,16.4,29,29.3,40.6,33.3,50,48,31.1,34.9,68.8,-9.1
153,Seattle,WAC,30,16–14,101.2,100.4,.5224,49.2,46.4,17.4,16.1,28.8,26.8,34.3,39.2,46.1,44.6,36.9,33.5,68.8,-8.7
154,UT Arlington,SB,32,16–16,99.6,99.0,.5193,47,48,20.3,18.1,31,28,34.5,38,47.9,50,30.5,29.9,67.8,-7.3
155,Bucknell,Pat,33,21–12,104.3,103.9,.5122,53,49.2,17.3,16.6,25.8,27.6,33.9,32.4,53.3,48.8,35.1,33.3,71.9,-5.2
156,Wake Forest,ACC,31,11–20,103.8,103.6,.5046,44.8,53.3,19.4,16.1,33.9,27.3,37.6,35.2,44.1,54.7,30.8,34.1,68.8,-7.4
157,Richmond,A10,33,13–20,107.6,107.6,.5004,54.1,53.1,15.3,18.5,19.1,29.9,30.7,28.7,55.5,54,34.7,34.4,67.1,-13.2
158,Lehigh,Pat,31,20–11,107.9,108.0,.4985,56.4,50.2,18.5,15.6,23.5,27.5,34.9,30.5,51.9,49.9,42.4,33.8,72.8,-5.2
159,Florida Atlantic,CUSA,29,14–15,98.7,98.8,.4980,47.9,48,20.7,18.1,29,25.2,28.6,32.1,47.3,47.9,32.5,32.1,68.7,-8.8
160,Duquesne,A10,32,19–13,103.4,103.7,.4941,49.9,49.9,19.8,21.6,31.9,35.1,35,31.9,51.1,49.5,32.2,33.8,70.9,-6.5
161,George Mason,A10,33,18–15,102.8,103.0,.4936,50.1,50.2,18.9,18.2,29,27.2,34.2,30.6,50.5,51.6,33,32,69.2,-6.6
162,Louisiana Lafayette,SB,30,17–13,106.1,106.4,.4918,50.9,53.2,17.4,20,29.1,31.9,35.1,36.9,50.5,52.3,34.2,36.6,73.3,-6.2
163,Saint Joseph's,A10,33,14–19,105.1,105.4,.4917,48,51.7,13.5,15.7,22,24.4,31.7,27.1,47.8,49.9,32.2,36,69.7,-10.3
164,UNLV,MWC,31,17–14,104.8,105.3,.4847,49.5,51,18.6,17.6,35.5,27.7,34.9,31.6,48.8,49.7,33.7,35.7,69,-7.3
