,Team,Conf,G,Rec,AdjOE,AdjDE,Barthag,EFG%,EFGD%,TOR,TORD,ORB,DRB,FTR,FTRD,2P%,2P%D,3P%,3P%D,Adj T.,WAB
0,Virginia,ACC,32,29–3,122.6,88.7,.9762,55.7,43.5,14.7,17.8,30,25.9,30.3,27.9,52.2,45.5,40.9,27.2,60.9,11.1
1,Gonzaga,WCC,33,30–3,124.1,91.6,.9705,59.6,44.2,14.5,18.9,30.6,27.1,36,25.1,62.3,43.1,36.5,30.9,72,7.1
2,Duke,ACC,34,29–5,119.3,88.3,.9694,53.4,44.6,17.7,19.8,36.1,29.7,34.6,24,58.3,44.9,30.2,29.3,73.9,11.2
3,Michigan,B10,34,28–6,115.3,86.2,.9656,52.1,44.1,13.5,18.3,24.5,25.5,27,24.9,51.8,44.5,35,28.9,65.8,9.2
4,North Carolina,ACC,33,27–6,119.2,91.2,.9559,52.9,48.3,17.1,18.5,34.6,23.2,30.9,28.9,51.9,47.5,36.5,32.9,76.3,10
5,Michigan St.,B10,34,28–6,120.0,91.9,.9553,55.8,43.7,18.7,14.9,34.1,26.8,35,27.7,54.8,41.3,38.4,31.8,69.2,10.6
6,Texas Tech,B12,32,26–6,112.1,86.3,.9527,53.7,42.8,18.2,23,28.6,28.6,33.5,37.6,52.9,41.3,36.8,30.1,67.7,7
7,Tennessee,SEC,33,28–5,122.9,95.0,.9505,55.3,47.4,15.9,18.2,31.6,30.3,33.4,34.4,55.7,44.6,36.2,34.4,68.9,9.8
8,Kentucky,SEC,33,27–6,116.9,91.7,.9423,53.3,47,18.5,18.4,36.6,25.8,42.5,27.1,52.7,43.6,36.4,35,67.2,8.8
9,Purdue,B10,32,23–9,121.0,95.6,.9377,52.7,49.5,15.9,19.5,35,26.6,29.4,32.7,51.2,47.9,36.4,34.4,67,6.1
10,Houston,Amer,34,31–3,114.1,90.9,.9315,52.1,42.4,16.8,18.2,34.7,26.2,31.9,37.6,50.8,43.1,35.9,27.6,67.4,7.9
11,Virginia Tech,ACC,32,24–8,118.0,94.3,.9300,56.4,48.9,17.5,21.7,29.8,27.4,31.4,26.4,54.2,48,39.4,33.2,65,5
