,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
140,Lafayette,15,2,13,.133,-8.21,-1.01,,0,2,,0,4,,1,9,,916,1024,,63.1,95.4,.213,.525,.511,45.5,70.9,8.9,8.7,.493,16.5,22.4,.140
141,Lamar,14,4,10,.286,-18.86,-3.05,,0,1,,3,4,,0,5,,954,1062,,69.6,97.1,.282,.329,.496,49.6,58.2,10.8,10.0,.469,17.0,33.9,.186
142,Lehigh,13,5,8,.385,-14.64,-3.19,,0,2,,4,2,,1,6,,921,950,,72.0,98.4,.254,.383,.533,49.2,52.7,9.4,6.8,.508,16.7,21.9,.179
143,Liberty,15,11,4,.733,9.07,1.49,,2,0,,8,1,,1,2,,1143,896,,66.0,115.5,.248,.538,.610,52.0,69.2,10.9,7.4,.591,15.2,24.9,.183
144,Lindenwood,15,6,9,.400,-13.05,-2.14,,1,1,,5,0,,1,7,,1045,1067,,71.0,96.6,.247,.358,.509,49.3,48.5,10.1,7.5,.482,16.8,26.8,.174
145,Lipscomb,15,8,7,.533,-5.94,-2.69,,0,2,,6,1,,2,6,,1139,1062,,69.9,107.8,.247,.380,.559,52.5,47.6,8.0,8.6,.538,15.6,29.8,.173
146,Little Rock,15,5,10,.333,-14.17,-4.09,,1,1,,5,0,,0,10,,1101,1192,,73.6,99.7,.367,.334,.518,48.5,51.6,9.6,5.9,.479,16.8,30.1,.259
147,Long Beach State,14,6,8,.429,-0.79,1.96,,0,2,,3,3,,1,4,,1056,1015,,73.7,101.4,.287,.230,.516,53.4,50.0,11.0,8.1,.496,15.9,33.8,.182
148,Long Island University,14,2,12,.143,-23.77,1.40,,0,2,,2,4,,0,6,,951,1155,,75.5,89.9,.345,.282,.495,46.1,54.7,8.9,8.6,.469,19.8,26.1,.215
149,Longwood,15,10,5,.667,2.11,-4.81,,2,0,,6,1,,4,4,,1182,1008,,69.4,113.5,.326,.372,.569,53.1,50.6,10.0,7.6,.536,14.8,34.2,.242
150,Louisiana,14,10,4,.714,-0.92,-1.74,,0,2,,5,0,,3,4,,1143,1014,,71.9,112.6,.312,.345,.578,53.9,54.4,9.6,9.9,.553,15.3,33.7,.222
151,Louisiana State,13,12,1,.923,7.28,-1.33,,1,0,,9,0,,0,0,,936,824,,68.4,105.3,.322,.371,.550,51.7,53.0,12.4,8.9,.523,16.2,30.0,.222
152,Louisiana Tech,14,8,6,.571,-0.20,-1.66,,1,2,,5,1,,2,5,,1088,955,,71.8,107.3,.293,.436,.564,53.3,53.3,12.7,7.2,.537,17.6,32.8,.212
153,Louisiana-Monroe,15,6,9,.400,-12.68,-2.10,,2,0,,4,2,,2,5,,1074,1045,,69.5,103.0,.338,.352,.529,50.8,58.7,12.3,11.0,.496,17.3,34.2,.235
154,Louisville,14,2,12,.143,-9.33,3.53,,0,3,,2,6,,0,3,,861,1041,,69.1,88.9,.376,.344,.507,47.7,40.4,7.9,7.8,.458,21.4,24.8,.277
155,Loyola (IL),13,6,7,.462,-3.40,-2.63,,0,1,,4,2,,1,1,,898,908,,66.7,101.6,.284,.411,.571,51.5,53.9,8.8,8.3,.548,21.4,28.9,.199
156,Loyola (MD),15,5,10,.333,-14.83,-4.21,,0,2,,3,3,,1,6,,991,1055,,67.8,97.3,.272,.396,.533,48.0,59.6,11.6,7.2,.514,19.3,27.3,.175
157,Loyola Marymount,16,11,5,.688,6.03,2.03,,1,1,,7,1,,2,3,,1230,1120,,70.1,108.0,.284,.445,.552,53.2,46.2,8.6,6.5,.533,15.2,30.3,.188
158,Maine,13,6,7,.462,-7.36,-2.45,,0,0,,3,1,,3,5,,917,890,,67.9,102.9,.205,.351,.547,49.1,52.0,14.1,6.9,.527,16.5,25.9,.147
159,Manhattan,13,4,9,.308,-14.85,-6.43,,2,2,,2,4,,1,4,,905,959,,69.9,97.6,.285,.395,.530,45.7,49.5,10.9,10.9,.509,17.9,25.0,.186
160,Marist,12,4,8,.333,-11.79,-8.04,,0,3,,2,4,,1,4,,754,799,,66.6,93.4,.251,.459,.491,49.1,49.3,10.3,13.4,.467,16.6,25.5,.165
161,Marquette,15,11,4,.733,16.42,4.88,,3,1,,8,1,,2,2,,1222,1049,,70.2,113.1,.275,.413,.585,47.9,58.5,12.5,10.3,.567,13.9,25.8,.189
162,Marshall,15,12,3,.800,9.59,-3.12,,1,1,,9,1,,3,2,,1232,1028,,73.5,111.7,.194,.350,.536,53.9,58.7,12.4,14.7,.525,13.6,37.9,.121
163,Maryland,14,10,4,.714,12.33,2.76,,1,2,,7,1,,1,2,,1019,885,,68.4,106.4,.362,.409,.547,51.4,43.3,7.6,10.6,.513,15.2,29.3,.255
164,Maryland-Baltimore County,15,9,6,.600,-4.72,-5.22,,0,1,,6,2,,3,4,,1134,1100,,69.5,108.7,.252,.435,.546,50.8,54.8,8.1,6.5,.515,13.5,28.7,.193
165,Maryland-Eastern Shore,14,7,7,.500,-8.66,1.71,,0,0,,5,0,,2,7,,955,951,,69.5,97.3,.234,.386,.514,48.5,52.7,14.8,5.4,.486,17.1,28.6,.170
166,Massachusetts,13,9,4,.692,1.55,-0.99,,0,1,,3,2,,2,1,,904,871,,70.7,98.4,.345,.286,.500,52.4,56.3,10.2,11.1,.465,17.2,34.1,.233
167,Massachusetts-Lowell,15,13,2,.867,1.85,-8.38,,1,0,,7,0,,6,2,,1197,947,,72.2,109.6,.291,.293,.577,56.8,51.6,11.2,13.4,.558,18.3,37.2,.197
168,McNeese State,14,4,10,.286,-12.97,1.95,,1,0,,2,3,,2,7,,900,1038,,68.3,94.0,.240,.431,.500,49.4,45.7,13.0,5.8,.490,20.4,32.9,.134
169,Memphis,15,11,4,.733,12.05,4.39,,1,1,,7,0,,1,3,,1180,1065,,73.9,106.5,.350,.274,.549,50.4,56.4,13.1,15.3,.515,16.0,32.6,.252
170,Mercer,15,7,8,.467,-4.12,-2.43,,0,2,,4,2,,1,5,,1123,1053,,67.1,110.6,.308,.313,.575,52.3,59.3,8.5,5.1,.549,15.5,30.7,.219
171,Merrimack,16,3,13,.188,-15.64,-0.64,,1,1,,2,3,,1,8,,904,1039,,67.0,84.2,.332,.489,.491,39.9,55.3,15.6,10.4,.449,21.0,17.2,.237
172,Miami (FL),14,13,1,.929,11.79,1.72,,4,0,,9,0,,3,0,,1090,949,,68.5,113.7,.282,.359,.573,51.4,52.3,11.7,11.3,.543,14.3,33.3,.213
173,Miami (OH),13,6,7,.462,-10.12,-0.62,,0,0,,5,4,,1,2,,994,971,,71.6,106.8,.305,.443,.567,49.3,55.1,10.5,10.3,.525,17.5,29.2,.248
174,Michigan,13,8,5,.615,10.52,3.60,,2,0,,5,2,,1,0,,992,902,,70.2,107.7,.350,.366,.545,49.3,48.2,7.8,12.7,.516,12.1,24.5,.238
175,Michigan State,13,9,4,.692,10.70,6.23,,1,1,,5,1,,2,1,,923,865,,66.5,104.8,.259,.333,.537,52.6,62.6,7.2,9.4,.508,14.4,28.0,.191
176,Middle Tennessee,14,9,5,.643,1.96,-0.21,,2,1,,5,1,,1,4,,996,920,,68.0,103.8,.304,.359,.533,54.3,43.9,11.9,14.7,.509,16.7,35.0,.202
177,Milwaukee,14,9,5,.643,-4.23,-2.87,,3,1,,7,1,,2,4,,1098,954,,71.9,109.1,.327,.369,.578,53.3,50.8,10.7,16.3,.546,18.1,33.5,.243
178,Minnesota,12,6,6,.500,-2.42,0.91,,0,2,,5,3,,0,2,,761,801,,65.1,96.5,.347,.387,.508,48.3,62.8,7.5,11.0,.490,17.7,28.5,.204
179,Mississippi,13,8,5,.615,9.71,4.02,,0,1,,6,3,,0,1,,899,825,,66.9,103.1,.309,.325,.520,53.3,49.7,12.2,12.2,.492,16.8,36.8,.210
180,Mississippi State,13,11,2,.846,12.52,-1.10,,0,1,,6,1,,1,0,,886,709,,65.9,103.4,.322,.373,.507,54.6,62.8,15.3,14.1,.480,15.9,37.0,.208
181,Mississippi Valley State,15,1,14,.067,-20.38,3.02,,0,1,,1,0,,0,12,,800,1151,,67.0,79.5,.335,.251,.447,46.0,43.4,9.4,6.8,.412,22.5,28.3,.212
182,Missouri,13,12,1,.923,13.91,-0.17,,1,0,,9,1,,1,0,,1154,971,,73.7,119.3,.275,.420,.613,47.9,60.6,16.8,10.2,.589,14.5,31.3,.206
183,Missouri State,14,7,7,.500,4.76,3.00,,3,1,,4,2,,2,3,,915,857,,64.4,101.4,.251,.445,.527,51.6,48.2,10.9,11.5,.515,16.4,30.0,.148
184,Monmouth,14,1,13,.071,-19.62,2.38,,0,1,,0,5,,1,8,,831,1139,,69.8,85.1,.331,.292,.462,46.2,53.0,11.5,6.8,.432,20.8,30.0,.206
185,Montana,14,7,7,.500,-0.29,0.71,,1,1,,5,2,,1,5,,968,969,,65.5,105.6,.328,.401,.562,50.2,48.4,7.4,8.5,.523,15.8,24.6,.254
186,Montana State,15,8,7,.533,0.70,1.01,,1,1,,5,1,,3,3,,1149,1026,,70.6,108.5,.338,.397,.572,53.0,52.7,9.5,8.7,.542,16.1,28.4,.244
187,Morehead State,15,8,7,.533,-11.70,-0.06,,1,1,,6,1,,2,6,,1064,1023,,69.8,101.6,.368,.398,.530,53.2,55.5,8.7,8.9,.485,16.3,29.3,.274
188,Morgan State,13,5,8,.385,-7.62,1.78,,0,0,,3,0,,1,7,,1019,921,,74.5,103.2,.252,.279,.541,48.7,54.5,16.2,11.4,.520,18.3,34.5,.172
189,Mount St. Mary's,15,6,9,.400,-6.56,-3.99,,2,2,,2,3,,4,6,,961,975,,66.5,96.3,.258,.346,.508,49.7,58.7,9.5,7.4,.477,18.0,30.1,.186
190,Murray State,14,8,6,.571,-2.86,-2.94,,3,1,,4,1,,2,4,,999,961,,67.1,104.5,.347,.351,.539,51.2,49.3,7.8,7.7,.504,14.7,28.1,.248
191,Navy,14,8,6,.571,-3.73,-3.66,,1,1,,5,1,,3,5,,1016,978,,65.4,108.9,.210,.395,.567,51.9,57.1,9.1,6.7,.548,16.5,31.6,.150
192,NC State,15,11,4,.733,12.19,0.93,,1,3,,8,1,,0,2,,1193,1024,,71.7,111.0,.284,.407,.551,52.7,51.4,12.5,11.3,.525,13.3,31.6,.203
193,Nebraska,14,8,6,.571,9.08,5.79,,1,2,,6,1,,1,3,,953,907,,67.5,100.0,.268,.375,.520,52.8,53.8,8.8,7.3,.498,16.9,32.0,.176
194,Nevada,15,12,3,.800,9.60,4.03,,2,0,,7,0,,3,2,,1098,976,,67.5,107.5,.442,.419,.564,49.9,60.2,8.1,10.1,.507,14.0,23.0,.350
195,Nevada-Las Vegas,14,11,3,.786,10.76,2.92,,0,2,,6,2,,1,1,,1077,903,,71.6,106.5,.336,.395,.542,49.2,53.3,14.7,12.7,.511,15.2,31.4,.237
196,New Hampshire,13,6,7,.462,-9.23,-6.04,,1,0,,4,2,,2,5,,872,832,,65.8,100.9,.242,.412,.500,50.9,52.1,8.3,6.7,.469,13.5,29.3,.176
197,New Mexico,14,14,0,1.000,14.58,0.58,,2,0,,10,0,,3,0,,1178,957,,73.8,114.0,.443,.283,.581,54.4,55.4,10.1,12.8,.541,13.7,30.5,.325
198,New Mexico State,14,7,7,.500,4.97,5.06,,0,2,,4,2,,1,3,,1081,949,,71.8,107.6,.316,.387,.552,53.1,48.6,10.7,8.3,.525,14.9,30.5,.218
199,New Orleans,12,3,9,.250,-18.13,-0.43,,0,1,,3,3,,0,6,,824,991,,73.8,92.1,.340,.287,.524,45.8,59.5,8.9,4.7,.490,21.9,25.8,.236
200,Niagara,13,8,5,.615,-6.30,-3.39,,3,1,,5,0,,1,5,,840,837,,64.3,100.6,.280,.347,.534,50.3,50.8,7.3,6.9,.505,16.4,27.3,.200
201,Nicholls State,13,6,7,.462,-4.10,8.68,,1,0,,5,0,,0,6,,1012,953,,76.9,101.3,.278,.362,.534,48.5,52.4,13.8,8.2,.514,17.2,29.4,.180
202,NJIT,14,3,11,.214,-12.02,-4.48,,0,1,,2,4,,1,7,,895,965,,66.6,96.0,.347,.365,.501,47.1,55.6,9.2,8.3,.471,15.8,25.2,.226
203,Norfolk State,14,9,5,.643,-5.04,0.97,,0,0,,4,0,,2,5,,1042,980,,68.4,108.9,.289,.375,.557,51.5,50.5,9.7,11.9,.530,15.2,32.9,.205
204,North Alabama,15,9,6,.600,-9.44,-4.10,,1,1,,4,1,,4,5,,1127,1056,,70.5,106.6,.319,.336,.555,51.8,46.4,8.7,8.5,.531,15.3,27.6,.215
205,North Carolina,14,9,5,.643,15.25,8.97,,1,2,,6,0,,0,3,,1133,1045,,70.7,109.6,.430,.345,.556,53.0,47.3,8.0,10.0,.511,13.8,29.6,.318
206,North Carolina A&T,15,6,9,.400,-8.48,3.19,,1,1,,4,0,,1,6,,1076,1098,,70.3,101.1,.269,.437,.532,47.8,47.3,10.6,7.7,.506,15.5,24.9,.188
207,North Carolina Central,13,6,7,.462,-0.46,2.94,,0,0,,6,0,,0,7,,1021,893,,71.0,109.5,.284,.331,.580,51.3,54.7,11.7,6.6,.559,16.7,29.0,.198
208,North Dakota,15,6,9,.400,-10.20,-1.04,,0,2,,4,4,,2,5,,1036,1073,,67.2,102.0,.287,.402,.541,50.6,49.9,7.0,7.2,.521,17.8,29.4,.187
209,North Dakota State,15,4,11,.267,-8.29,1.71,,1,2,,2,2,,2,7,,1060,1124,,70.6,100.1,.310,.431,.529,50.8,43.1,5.7,6.3,.501,15.9,24.8,.211
210,North Florida,14,6,8,.429,-8.39,0.61,,1,1,,5,0,,1,8,,1048,1076,,72.0,103.0,.311,.475,.544,47.9,52.6,7.4,7.2,.517,16.6,25.8,.214
211,North Texas,14,11,3,.786,9.70,1.45,,2,1,,5,1,,2,1,,864,729,,59.6,103.5,.331,.425,.502,54.4,49.2,11.0,8.7,.463,15.0,37.4,.235
212,Northeastern,13,5,8,.385,-7.49,-3.18,,1,1,,3,2,,1,5,,851,907,,68.1,95.3,.257,.390,.494,51.5,53.5,8.4,10.0,.475,17.9,31.9,.160
213,Northern Arizona,15,4,11,.267,-8.02,2.98,,0,2,,3,2,,1,8,,1082,1138,,70.1,101.2,.255,.395,.514,49.6,59.7,8.5,5.2,.488,14.9,28.8,.177
214,Northern Colorado,14,5,9,.357,-6.02,2.83,,0,2,,1,3,,2,6,,1011,1127,,69.4,102.1,.347,.445,.551,46.7,48.1,6.0,3.4,.508,16.5,22.5,.269
215,Northern Illinois,13,4,9,.308,-10.24,-0.15,,0,0,,1,2,,2,6,,900,991,,72.5,95.4,.287,.368,.527,47.8,43.1,8.8,7.5,.501,19.4,25.9,.195
216,Northern Iowa,14,6,8,.429,-0.80,-0.41,,2,2,,4,4,,1,2,,975,924,,68.4,101.8,.327,.390,.544,50.1,44.8,10.4,5.5,.519,16.8,25.6,.218
217,Northern Kentucky,15,9,6,.600,-2.51,0.34,,4,0,,8,1,,1,2,,995,952,,64.1,100.2,.304,.376,.512,49.4,55.1,14.2,7.9,.488,16.3,32.2,.194
218,Northwestern,13,10,3,.769,12.39,2.08,,1,1,,7,2,,2,0,,875,741,,67.5,99.8,.299,.438,.493,52.4,60.1,12.3,16.9,.451,14.4,31.3,.224
219,Northwestern State,14,8,6,.571,-3.78,0.07,,0,1,,3,2,,4,4,,981,1020,,68.7,101.1,.227,.406,.486,45.4,42.0,12.8,6.3,.462,13.3,32.4,.154
220,Notre Dame,14,8,6,.571,3.15,1.44,,0,3,,8,3,,0,1,,982,958,,64.5,108.7,.232,.420,.573,48.5,47.2,6.6,8.7,.543,13.6,20.3,.185
221,Oakland,15,4,11,.267,-8.47,1.03,,2,2,,4,2,,0,6,,1097,1165,,70.1,102.7,.283,.419,.528,44.2,47.3,9.4,6.7,.496,13.1,23.2,.205
222,Ohio,13,8,5,.615,0.93,-1.24,,0,0,,6,0,,2,4,,1007,912,,69.1,111.1,.245,.367,.552,52.9,50.3,9.8,7.5,.529,14.1,34.0,.175
223,Ohio State,13,10,3,.769,20.61,4.07,,2,0,,7,0,,1,1,,1053,838,,68.4,117.3,.288,.330,.580,56.4,47.8,6.9,10.6,.554,14.3,37.2,.210
224,Oklahoma,13,9,4,.692,13.38,5.76,,0,1,,5,2,,0,1,,897,798,,64.5,106.9,.292,.356,.595,52.0,55.3,8.8,7.7,.573,17.9,22.1,.208
225,Oklahoma State,14,9,5,.643,14.69,5.62,,1,1,,6,1,,1,2,,994,867,,68.2,103.2,.317,.381,.548,54.4,53.7,9.3,15.0,.516,18.7,33.6,.230
226,Old Dominion,14,9,5,.643,1.80,-0.36,,1,1,,8,1,,0,2,,949,907,,65.6,103.3,.363,.250,.501,53.2,44.8,9.6,12.2,.475,13.6,34.4,.227
227,Omaha,15,5,10,.333,-7.60,3.40,,1,2,,3,3,,0,7,,1033,1155,,69.4,99.2,.290,.308,.538,46.7,51.3,9.2,10.5,.497,17.6,24.4,.230
228,Oral Roberts,15,12,3,.800,10.74,3.20,,3,0,,8,0,,4,3,,1275,1088,,74.2,114.7,.241,.458,.580,49.8,51.7,9.8,15.9,.554,12.4,25.7,.184
229,Oregon,14,8,6,.571,13.19,8.12,,2,1,,7,3,,0,1,,982,911,,66.7,105.1,.348,.396,.539,55.1,52.5,8.4,14.8,.513,16.9,35.2,.230
230,Oregon State,14,7,7,.500,-0.48,0.98,,1,2,,7,1,,0,3,,917,919,,66.5,98.5,.382,.353,.545,49.4,52.7,7.6,11.5,.499,18.1,23.5,.289
231,Pacific,17,8,9,.471,-2.33,-2.20,,1,1,,4,7,,4,2,,1260,1244,,69.6,105.0,.333,.392,.552,47.1,45.4,8.2,8.3,.523,15.7,25.6,.234
232,Penn State,14,11,3,.786,11.70,1.70,,2,1,,8,1,,1,1,,1064,924,,66.8,111.8,.206,.476,.581,48.5,56.4,7.8,6.7,.558,11.8,18.3,.161
233,Pennsylvania,15,8,7,.533,-0.53,0.19,,1,0,,5,3,,3,4,,1113,1091,,67.2,107.7,.275,.411,.560,52.3,58.1,8.1,9.8,.530,16.4,30.4,.206
234,Pepperdine,15,7,8,.467,4.19,4.42,,0,1,,6,2,,0,5,,1178,1144,,74.3,104.0,.265,.376,.563,50.8,52.6,7.7,11.0,.542,17.4,25.9,.184
235,Pittsburgh,14,10,4,.714,9.05,1.19,,3,0,,7,1,,3,1,,1061,951,,70.0,108.3,.329,.439,.559,54.1,56.1,8.2,11.0,.527,16.5,33.3,.239
236,Portland,17,8,9,.471,3.05,1.38,,0,2,,6,4,,1,4,,1319,1246,,72.4,107.1,.406,.448,.576,49.4,61.4,7.3,7.0,.543,16.1,24.2,.289
237,Portland State,14,6,8,.429,-2.73,3.85,,0,1,,3,1,,2,5,,1102,1025,,73.6,107.0,.351,.391,.551,48.6,53.4,11.3,8.6,.511,15.5,30.2,.264
238,Prairie View,14,5,9,.357,-6.45,1.55,,1,0,,4,0,,1,8,,973,1027,,71.3,97.5,.293,.321,.493,50.1,44.7,11.1,8.9,.457,15.4,31.9,.208
239,Presbyterian,15,5,10,.333,-12.18,-3.72,,1,1,,5,1,,0,7,,970,1026,,65.4,98.2,.354,.357,.504,50.9,48.6,8.2,9.1,.478,16.7,32.6,.222
240,Princeton,14,10,4,.714,3.55,-4.62,,1,0,,5,2,,3,1,,1061,911,,69.9,108.4,.272,.412,.573,56.4,52.8,8.0,8.2,.552,16.7,29.4,.189
241,Providence,15,12,3,.800,11.59,-0.88,,4,0,,8,0,,4,1,,1203,1016,,70.0,112.6,.414,.302,.566,57.1,53.6,11.3,12.3,.526,15.8,38.4,.302
242,Purdue,14,13,1,.929,18.64,3.21,,2,1,,7,1,,2,0,,1068,852,,65.4,115.7,.417,.405,.562,58.5,59.8,7.2,12.2,.517,13.2,39.0,.313
243,Purdue-Fort Wayne,15,10,5,.667,2.24,-0.53,,2,2,,6,1,,3,3,,1151,970,,71.8,105.8,.267,.484,.553,53.1,53.8,11.0,6.8,.533,16.7,28.3,.182
244,Queens (NC),15,11,4,.733,-2.65,-4.56,,1,1,,5,0,,4,4,,1206,1085,,71.7,112.2,.356,.436,.565,55.0,53.3,8.9,6.1,.533,16.3,35.7,.254
245,Quinnipiac,15,10,5,.667,-1.44,-5.80,,1,3,,3,2,,5,2,,1101,1022,,70.0,104.9,.330,.373,.531,54.1,51.4,9.7,7.2,.511,15.8,33.9,.208
246,Radford,15,7,8,.467,-1.42,-2.34,,1,1,,5,0,,1,8,,1090,982,,68.0,106.9,.312,.338,.550,50.5,48.4,11.2,10.8,.528,15.5,29.7,.207
247,Rhode Island,13,4,9,.308,-3.11,-0.34,,0,1,,3,4,,0,3,,853,889,,67.9,95.7,.355,.304,.491,52.7,55.1,8.4,9.6,.443,18.0,34.6,.261
248,Rice,14,11,3,.786,-0.62,-2.35,,2,1,,8,0,,3,3,,1156,1017,,73.3,110.6,.341,.437,.596,53.8,62.3,8.3,4.9,.566,16.9,26.7,.251
249,Richmond,14,7,7,.500,4.48,-0.45,,0,1,,6,1,,0,4,,974,905,,66.3,103.1,.281,.458,.552,50.4,53.8,8.9,7.8,.528,16.1,22.9,.195
250,Rider,13,6,7,.462,-4.74,-4.15,,3,1,,3,1,,3,4,,918,888,,66.9,105.6,.289,.272,.516,52.7,44.8,7.8,8.0,.476,14.2,34.5,.220
251,Robert Morris,15,7,8,.467,-3.53,-0.53,,2,2,,4,2,,3,3,,1029,978,,68.5,100.2,.251,.345,.528,49.7,51.7,9.6,9.6,.511,17.0,27.4,.161
252,Rutgers,14,10,4,.714,19.52,2.23,,2,1,,9,1,,1,2,,1015,773,,68.7,105.6,.310,.299,.525,54.0,59.5,14.8,12.3,.489,15.0,34.6,.225
253,Sacramento State,14,8,6,.571,-1.77,1.23,,1,0,,5,0,,3,3,,947,947,,64.9,101.6,.295,.377,.540,53.5,55.0,7.8,6.6,.514,19.1,32.5,.204
254,Sacred Heart,16,7,9,.438,-12.54,-7.54,,1,1,,3,3,,4,6,,1134,1168,,72.7,97.5,.262,.401,.509,48.3,53.4,11.3,8.8,.481,16.4,26.6,.183
255,Saint Francis (PA),15,5,10,.333,-12.49,-1.80,,2,0,,5,3,,0,7,,1103,1145,,70.3,104.6,.296,.360,.551,49.2,53.0,6.9,4.0,.525,15.9,26.1,.208
256,Saint Joseph's,13,6,7,.462,-2.32,-1.47,,0,1,,5,3,,1,1,,932,943,,69.9,101.5,.372,.460,.534,48.0,52.2,9.5,8.3,.501,16.8,27.8,.255
257,Saint Louis,14,9,5,.643,6.85,4.46,,1,0,,7,2,,1,2,,1075,1001,,71.0,108.1,.304,.339,.537,54.4,60.7,6.3,9.9,.499,14.2,33.8,.231
258,Saint Mary's (CA),16,12,4,.750,18.79,7.10,,2,0,,8,2,,1,0,,1113,926,,64.2,107.5,.306,.368,.542,56.0,49.3,11.6,9.4,.523,14.9,33.4,.195
259,Saint Peter's,14,7,7,.500,-10.76,-5.15,,2,3,,6,1,,1,6,,890,916,,65.7,96.8,.268,.365,.474,53.6,48.9,9.0,12.2,.444,16.1,36.7,.181
260,Sam Houston State,14,11,3,.786,10.19,2.79,,1,1,,4,0,,5,3,,1105,774,,69.1,114.3,.214,.380,.561,57.2,51.2,14.9,7.4,.546,15.5,39.2,.144
261,Samford,15,8,7,.533,-0.94,-4.03,,2,0,,6,2,,2,5,,1181,1054,,71.3,108.5,.425,.426,.558,53.3,47.0,10.6,8.2,.512,16.9,33.6,.318
262,San Diego,16,8,8,.500,0.99,2.99,,1,1,,6,3,,2,3,,1249,1226,,70.1,109.6,.340,.355,.554,50.2,50.5,10.1,5.9,.513,14.1,30.8,.260
263,San Diego State,14,11,3,.786,16.61,8.31,,2,0,,8,0,,2,0,,1053,907,,70.4,105.9,.354,.368,.556,53.0,51.5,12.5,9.5,.522,16.5,30.1,.257
264,San Francisco,17,11,6,.647,5.80,-0.08,,0,2,,7,2,,2,2,,1269,1158,,71.4,104.6,.313,.499,.552,52.8,53.3,10.2,5.6,.520,17.5,29.9,.229
265,San Jose State,15,11,4,.733,3.44,0.44,,2,0,,6,1,,3,2,,1047,983,,64.2,107.8,.302,.398,.551,58.0,53.3,5.0,11.4,.529,16.4,35.0,.202
266,Santa Clara,17,13,4,.765,9.34,5.22,,1,1,,10,2,,0,1,,1247,1168,,70.4,103.4,.308,.390,.534,54.5,54.6,8.3,10.5,.499,16.3,31.8,.227
267,Seattle,14,10,4,.714,1.90,0.24,,1,0,,6,0,,3,2,,1072,965,,72.1,105.3,.335,.462,.527,54.0,50.8,8.3,8.2,.495,14.9,32.8,.231
268,Seton Hall,15,8,7,.533,10.84,6.41,,1,3,,6,2,,1,3,,1049,960,,69.1,101.2,.473,.359,.535,52.4,52.5,11.3,13.2,.497,18.9,33.0,.318
269,Siena,14,9,5,.643,-0.75,-2.82,,3,0,,3,1,,4,3,,1004,975,,67.7,104.9,.349,.333,.564,52.2,49.6,8.0,11.3,.526,18.3,30.0,.265
270,South Alabama,14,6,8,.429,-0.75,2.76,,0,2,,3,1,,1,6,,974,949,,68.9,100.9,.194,.380,.524,46.2,42.3,8.4,8.9,.508,13.3,20.9,.129
271,South Carolina,13,7,6,.538,-6.44,-2.21,,0,0,,6,0,,1,2,,843,898,,65.3,98.4,.254,.402,.487,52.8,47.8,6.7,8.6,.469,16.0,35.8,.153
272,South Carolina State,16,3,13,.188,-17.43,-0.50,,0,0,,2,1,,1,12,,1181,1382,,73.6,99.6,.267,.308,.494,47.1,47.4,10.0,9.3,.465,15.2,32.2,.185
273,South Carolina Upstate,13,6,7,.462,-12.36,-3.17,,1,1,,5,0,,1,7,,921,940,,68.4,102.6,.363,.313,.544,46.2,44.9,11.1,10.9,.521,16.7,28.2,.234
274,South Dakota,15,7,8,.467,-9.03,-0.73,,2,1,,5,2,,0,5,,1042,1093,,67.2,103.4,.288,.416,.548,50.3,52.2,7.0,4.6,.513,17.5,29.4,.220
275,South Dakota State,15,7,8,.467,-3.06,4.51,,2,1,,4,1,,1,6,,1006,1083,,70.4,94.5,.310,.404,.537,47.7,45.4,7.1,7.6,.490,19.2,19.1,.251
276,South Florida,14,7,7,.500,0.80,-1.99,,0,1,,5,4,,1,2,,994,955,,68.8,103.2,.275,.355,.520,51.8,50.3,10.3,7.7,.501,15.5,33.7,.173
277,Southeast Missouri State,15,6,9,.400,-5.40,0.37,,1,1,,3,2,,2,6,,1087,1087,,73.8,98.3,.337,.415,.524,49.1,54.8,9.2,9.7,.490,16.8,25.9,.235
278,Southeastern Louisiana,14,6,8,.429,-7.17,1.74,,0,1,,4,1,,1,6,,1066,1076,,71.9,105.9,.290,.374,.545,48.2,48.3,10.5,5.0,.516,15.2,28.0,.210
279,Southern,14,5,9,.357,-5.35,3.90,,1,0,,2,0,,2,8,,1030,1059,,75.8,96.2,.276,.380,.526,45.3,57.1,12.1,6.1,.500,17.8,22.6,.191
280,Southern California,15,11,4,.733,9.42,3.75,,3,1,,7,1,,2,1,,1085,1000,,69.1,103.7,.353,.316,.547,50.2,54.2,10.3,15.2,.511,17.6,30.2,.252
281,Southern Illinois,15,11,4,.733,3.23,-2.27,,3,1,,6,1,,4,2,,1022,908,,66.3,101.9,.279,.489,.573,50.2,59.8,11.9,5.4,.546,18.8,22.1,.204
282,SIU Edwardsville,15,10,5,.667,0.01,-1.32,,1,1,,5,1,,3,4,,1129,1035,,69.8,107.8,.391,.353,.549,51.5,47.6,10.9,12.8,.508,15.6,34.1,.285
283,Southern Indiana,15,8,7,.533,-6.46,-3.05,,1,1,,6,0,,1,7,,1155,1091,,71.9,106.3,.321,.416,.555,52.8,53.7,12.7,7.5,.531,17.6,32.5,.217
284,Southern Methodist,14,6,8,.429,2.25,2.39,,1,0,,4,4,,0,3,,979,981,,69.8,99.3,.283,.327,.515,49.7,48.5,8.0,10.2,.485,15.4,26.7,.200
