,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
32,Bucknell,15,7,8,.467,-6.87,-6.37,,0,2,,4,2,,1,6,,1053,999,,66.5,104.7,.273,.379,.566,52.7,57.1,7.4,10.2,.543,17.6,27.7,.194
33,Buffalo,13,6,7,.462,-2.38,5.35,,0,0,,5,1,,0,3,,1025,1005,,77.0,102.4,.325,.347,.552,50.3,50.7,11.6,9.1,.522,17.4,27.7,.231
34,Butler,15,9,6,.600,11.59,5.32,,1,3,,6,2,,2,2,,1059,965,,68.4,103.3,.249,.347,.558,47.9,51.0,10.4,11.8,.534,15.6,21.6,.180
35,Cal Poly,14,7,7,.500,-4.86,0.23,,1,1,,6,2,,1,5,,876,889,,65.8,95.1,.317,.348,.519,51.8,42.2,9.1,7.5,.479,18.9,27.7,.237
36,Cal State Bakersfield,13,4,9,.308,-8.50,-0.95,,0,2,,2,3,,1,5,,791,800,,63.7,94.6,.269,.238,.482,51.8,48.1,9.0,12.6,.444,17.1,33.0,.198
37,Cal State Fullerton,14,7,7,.500,-2.58,1.09,,1,1,,6,1,,1,4,,954,925,,65.4,100.6,.335,.381,.514,51.4,47.3,8.8,7.3,.485,15.9,31.7,.223
38,Cal State Northridge,13,3,10,.231,-8.53,-1.72,,0,2,,3,2,,0,6,,878,859,,66.4,101.7,.297,.328,.510,51.6,43.6,9.0,9.1,.476,14.7,30.9,.212
39,California,15,2,13,.133,-0.81,6.13,,1,3,,2,8,,0,3,,892,996,,64.5,92.2,.357,.312,.504,49.2,45.0,7.0,10.4,.456,19.5,26.4,.266
40,California Baptist,15,8,7,.533,-0.31,-1.45,,0,2,,6,2,,2,3,,999,962,,65.3,100.3,.315,.438,.505,52.9,57.4,6.5,10.7,.480,15.4,30.7,.201
41,Campbell,14,5,9,.357,-7.39,-2.64,,0,2,,3,3,,1,5,,958,959,,66.1,102.6,.370,.385,.557,50.1,53.0,11.3,9.2,.525,17.8,25.3,.260
42,Canisius,13,2,11,.154,-7.52,1.73,,0,4,,2,4,,0,7,,926,991,,69.9,100.0,.216,.429,.501,49.4,58.2,8.0,6.2,.477,15.4,33.0,.150
43,Central Arkansas,15,5,10,.333,-12.81,-1.31,,0,2,,4,2,,0,7,,1099,1209,,73.8,97.6,.222,.419,.504,50.0,45.0,8.1,8.5,.477,16.9,30.6,.161
44,Central Connecticut State,16,3,13,.188,-12.06,-4.81,,1,1,,2,4,,1,8,,1033,1149,,67.5,95.7,.176,.383,.501,47.6,50.0,10.7,11.8,.480,16.2,25.7,.125
45,Central Florida,14,10,4,.714,13.47,4.40,,1,1,,7,2,,1,1,,973,846,,63.7,105.4,.272,.400,.533,52.9,53.7,10.6,11.9,.501,17.5,37.2,.200
46,Central Michigan,13,5,8,.385,-5.36,0.00,,0,0,,3,2,,1,5,,897,910,,71.2,96.9,.307,.368,.514,50.4,48.0,8.3,11.4,.480,18.6,31.5,.219
47,Charleston Southern,13,5,8,.385,-9.62,-1.44,,1,1,,4,2,,1,6,,990,990,,68.9,110.5,.272,.412,.544,52.9,47.6,6.7,8.7,.513,14.8,35.4,.202
48,Charlotte,14,11,3,.786,6.26,-2.81,,2,1,,7,0,,2,2,,975,848,,62.7,109.2,.261,.392,.584,51.5,56.4,10.6,10.3,.559,15.7,25.0,.194
49,Chattanooga,15,9,6,.600,1.03,-1.22,,1,1,,5,2,,4,4,,1194,1020,,68.5,115.3,.320,.541,.592,54.4,62.5,8.8,12.1,.568,15.8,31.6,.227
