,Team,Conf,G,Rec,AdjOE,AdjDE,Barthag,EFG%,EFGD%,TOR,TORD,ORB,DRB,FTR,FTRD,2P%,2P%D,3P%,3P%D,Adj T.,WAB
55,Michigan,B10,31,15–16,109.3,96.7,.8022,49.4,50.9,15.6,19.4,25.5,31.2,26.6,26.7,47,50.8,35.3,34,60.3,-2.5
56,Boise St.,MWC,31,23–8,109.5,97.1,.7996,53.5,47.4,16.1,19.4,27.6,25.9,32.9,31.5,49.8,47.8,39.1,31.2,63.7,0.5
57,Stephen F. Austin,Slnd,30,26–4,111.6,98.9,.7993,56.2,48.8,20.3,24.4,37.7,29.9,42.4,49,55.6,48.2,38.1,33.6,66.5,1.5
58,Texas A&M,SEC,31,20–11,106.6,94.7,.7962,50.1,46.2,19.2,19.5,34,28.2,38.2,37.8,49.2,46.7,34.9,30.3,64.1,-0.4
59,Dayton,A10,33,25–8,106.5,94.8,.7923,52.8,47.3,17.8,21.1,24.2,28,48.6,31.1,52.9,47.1,35.1,31.8,64,0.9
60,Illinois St.,MVC,32,20–12,106.8,95.1,.7913,48.8,47.4,19.9,20.6,36.9,29.3,34.1,41.7,47,46,35,33.4,65.3,-2.6
61,Richmond,A10,32,19–13,106.8,95.3,.7885,52.2,46.5,15.9,21.6,23,33,31.6,33.4,52.7,46.6,34.3,30.8,61.6,-3.4
62,Rhode Island,A10,30,21–9,102.0,91.3,.7801,49.2,44.5,21.1,22.4,32.4,28.9,47.9,44.2,51,45.5,29.6,27.7,65.5,-1
63,Buffalo,MAC,32,23–9,108.8,97.6,.7786,48.6,48.5,16.4,19.8,34.7,30.4,42.3,33.8,47.6,47.9,34,33,69.2,-1
64,George Washington,A10,33,21–12,106.4,95.4,.7767,49.1,45.4,19.3,18.3,36.1,30.7,39.5,28.3,47.7,44.1,35,32,62.4,-2.2
65,Valparaiso,Horz,30,25–5,105.0,94.3,.7757,51.4,44.9,19.1,18.6,35,27.6,36.7,32.7,48.5,42.1,38.1,33,63.2,0.4
66,Old Dominion,CUSA,31,24–7,105.1,94.6,.7703,49.1,46.1,17.7,21.3,36,26.8,31.4,39.6,48.7,45.9,33.2,31,60.5,-1
67,Temple,Amer,33,23–10,101.8,91.6,.7696,43.9,44.5,15.2,19.4,31.9,29,35.2,34.2,43,43.6,30.4,30.9,65.9,-0.3
68,Clemson,ACC,31,16–15,103.7,93.4,.7692,46,45.6,18.6,17.7,34.1,31.4,34.4,31.2,46.5,43.9,29.9,32.8,62.2,-3.1
69,Green Bay,Horz,30,22–8,103.0,92.9,.7659,49.6,46.2,18.5,20.9,33.6,29.4,40,39,51.9,44.1,28.8,34,65.3,-0.9
70,Georgia St.,SB,32,23–9,109.1,98.5,.7642,51.9,45,16.5,22.8,30.5,34.5,38.4,39.4,53.4,42.2,31.9,32.6,63.5,-2.6
71,Pittsburgh,ACC,32,18–14,113.1,102.2,.7626,49,50.5,15.4,17.8,34.6,31.8,34.6,37.5,48.3,49.4,34,35.3,60.8,-1.6
72,Arizona St.,P12,32,17–15,107.5,97.3,.7579,50.9,50.1,20.7,19.3,31.9,25.8,43.3,34.9,50,48.4,34.8,36.3,66.2,-3.8
73,Seton Hall,BE,31,16–15,108.0,97.8,.7574,48.2,47.7,18.7,18,34.7,33.2,38.1,38,46,49,35,30,66.3,-2.4
74,Murray St.,OVC,30,25–5,113.2,102.8,.7529,54.4,47.2,16.9,18.8,35.8,32.4,40.2,36.5,52.9,45.1,38.1,34,66.8,0.3
75,Memphis,Amer,32,18–14,104.3,94.7,.7522,48.4,44.4,20.2,19.2,37,31.6,31.6,38.7,48.1,43.8,32.8,30.4,66.7,-5.2
76,Alabama,SEC,31,17–14,108.2,98.4,.7477,50.4,47.8,19.1,19.1,30,31.5,44.1,40,51.9,47.2,32.1,32.4,62.7,-1.8
77,Georgia Tech,ACC,31,12–19,102.3,93.4,.7398,44.4,49.2,19.6,18,38.7,25.8,31.1,33.8,46.1,49.9,26.7,31.9,64.2,-6.2
78,Tulsa,Amer,31,22–9,101.1,92.3,.7394,47.4,45.1,17.7,19.6,30.1,27.7,42.4,30.4,46.3,43,33,32.3,64.3,-0.2
79,Penn St.,B10,34,18–16,103.8,94.8,.7392,48,45.3,18.2,17.8,29.7,31,34.7,41.5,46.8,43.6,33.4,32.6,65.9,-3.6
80,Central Michigan,MAC,28,20–8,113.9,104.7,.7244,54.8,51.1,15.2,19.8,29,31,37.5,36.3,53.8,51.5,37.2,33.6,64.3,-2.3
81,Boston College,ACC,32,13–19,107.5,99.2,.7165,50.8,49.4,18.8,18.8,26,30.9,35,40.8,52.1,49,32.4,33.5,63.9,-6
82,Marquette,BE,32,13–19,104.0,95.9,.7162,49.8,49.2,19.3,21,29,36.4,35.8,30.3,48.8,46.4,34.4,36,64.3,-4.9
83,Connecticut,Amer,34,20–14,104.9,96.9,.7147,50,44.8,18.6,17.7,30.5,30.6,33.1,32.9,48.3,42.4,35.4,33,62.5,-3.2
84,Kansas St.,B12,32,15–17,104.7,96.7,.7126,47.8,49.7,20.9,20.2,34,31.4,46,41,46.9,49.5,33.5,33.5,62.7,-2.8
85,UTEP,CUSA,32,22–10,105.0,97.1,.7120,52.4,46.6,19,18.8,29.2,29.8,43.6,31.8,51.6,44.9,36.2,33.5,65,-3.5
86,Oregon St.,P12,30,16–14,98.6,91.1,.7117,46.6,44.7,19.1,23.7,28.5,32.8,36.8,44.3,46,44.4,32,30,60.9,-4
87,Creighton,BE,33,14–19,108.5,100.5,.7087,49.4,50.5,18.4,17.1,31.3,28.1,36.3,33.4,47.6,46.9,34.6,38,63.1,-5.9
88,UC Irvine,BW,31,19–12,105.0,97.3,.7073,50.7,44.7,18,17.3,29.8,30.7,31,36.1,47.7,42.3,38.3,33.6,64.1,-4.3
89,Toledo,MAC,33,20–13,111.3,103.1,.7067,52.3,49.7,18.1,16.2,33.3,29.4,41.2,31,51.2,51,36.6,31.7,67.2,-4.7
90,Louisiana Tech,CUSA,32,24–8,105.4,97.7,.7052,50.2,46.6,15.7,23.2,29.1,35.6,34.4,31.3,51.3,45.1,32,33.5,67.6,-1.4
91,Colorado,P12,32,15–17,105.4,97.7,.7041,48.4,48.4,19.9,17,33.5,28.6,41.4,33.8,47.4,46.1,34,34.9,65,-5.6
92,Sam Houston St.,Slnd,29,21–8,100.9,93.6,.7023,47.5,44.8,20,20.7,35.9,27.7,46.3,41,47.5,43.6,31.7,31.8,64.9,-3.2
93,Harvard,Ivy,27,20–7,100.9,93.9,.6958,47.3,46.1,18.7,19.9,32.3,27.8,39,33.1,45.8,44.1,34.1,33.4,61.8,-1.1
94,Wake Forest,ACC,32,13–19,104.6,97.6,.6890,47.8,50.9,19.3,17.1,31.8,26.4,41.5,35.2,46.5,51.1,33.6,33.8,68.7,-5.8
95,Yale,Ivy,30,20–10,104.2,97.3,.6864,49.9,47.6,20.4,19,34.2,27.8,40.9,33.1,47.3,48.1,36.5,31,62.6,-2.7
96,UNLV,MWC,32,17–15,105.7,98.9,.6839,50.2,45.3,17.3,16.2,26.7,32.4,32.7,29.9,48,42,36.1,35.1,65.7,-5.3
97,UC Santa Barbara,BW,30,17–13,107.4,100.4,.6834,49.4,47.2,17.1,18.2,30.7,30.1,32.3,39.7,46.5,44.9,36.8,34.6,62.6,-5
98,Bowling Green,MAC,30,20–10,103.6,97.1,.6773,49.8,46.7,18.6,20.1,31.3,29.5,32.7,33.5,49,45.6,34.1,32.4,63.8,-3.9
99,Akron,MAC,34,20–14,103.7,97.3,.6754,49.4,45.5,18.8,18.8,33.3,31.5,31.3,41,46.7,43.8,34.9,33,64.1,-6.7
100,Florida St.,ACC,33,17–16,103.7,97.3,.6751,50.1,47.3,21.9,18,31.8,31.9,46.9,37.9,51.4,46.5,31.3,32.5,66.6,-3.4
101,La Salle,A10,33,17–16,99.3,93.3,.6712,46.7,45.8,19.9,20.1,29.6,30.8,36.4,34.4,46.1,45.1,32.1,31.6,64.9,-6.1
102,New Mexico St.,WAC,31,21–10,104.4,98.1,.6712,51,45.9,21.9,20.5,39.5,30.7,44.8,32.5,49.7,46.4,36.3,29.5,64.2,-4.3
103,Nebraska,B10,31,13–18,98.3,92.6,.6651,46.2,46.8,19.4,20.6,26.7,30.3,36.5,38.5,48,44.7,28.4,33.4,63.7,-5.4
104,San Diego,WCC,30,14–16,101.7,95.9,.6633,48,47.9,18.4,21.3,30,31.6,38.4,42,46,46.9,34.5,33.7,63.6,-6.3
105,Tennessee,SEC,32,16–16,107.3,101.2,.6630,48.2,51.9,19.7,22.6,37,33.3,32.3,43.5,47.4,49.1,33.1,37.1,60.8,-3.4
106,Iona,MAAC,34,26–8,112.2,105.9,.6614,55.3,48.2,17.3,16.9,28.4,33.2,37.1,28.1,51.9,46,40,35.2,70.2,-1.8
107,Washington,P12,31,16–15,106.5,100.6,.6575,49.3,47.1,17.5,16.8,31.4,33.2,33.9,31.7,48.9,46,33.4,33,66.1,-4.6
108,Northeastern,CAA,34,23–11,106.6,100.9,.6537,54.6,49.6,21.4,15.6,29.6,25.6,42.2,24.7,52.9,48.7,38.8,34.4,63.7,-4.2
109,Hawaii,BW,33,20–13,103.6,98.1,.6524,49.3,47.6,18.7,23.4,32.2,34.4,36.7,42,49.3,45.2,32.8,34.8,69.7,-6
110,Wofford,SC,32,26–6,102.5,97.2,.6479,51.6,46.9,17.3,20.1,29.3,27.7,38,36.5,49.5,47.3,37.1,30.8,61.5,0.5
111,Pepperdine,WCC,30,17–13,99.9,94.8,.6476,47.4,45.3,19.5,18.7,29.3,32.9,37.2,34.1,47.2,47.6,31.8,26.6,64,-3.7
112,William & Mary,CAA,30,18–12,111.3,105.7,.6445,56.9,50.4,17.7,17.6,23.5,29.6,36,32.2,55.6,48.9,39.1,35.1,64.5,-5.2
113,Portland,WCC,30,15–15,108.2,102.8,.6430,50.1,49.5,18.2,17.2,34.7,30.8,36,35.8,46.7,48.9,38.3,33.7,64.6,-6.1
114,Wyoming,MWC,32,23–9,102.7,97.6,.6420,52.1,46.7,18.7,18.1,22.1,26.9,41,26.7,54.6,44,32.3,34.4,59.1,-1.3
115,Hofstra,CAA,33,20–13,108.7,103.4,.6407,52.5,49.2,16.1,19.8,32.7,28.3,39.9,37.8,50.7,48.3,36.7,34,69.3,-8
116,South Dakota St.,Sum,31,21–10,104.9,100.0,.6336,52.1,46.6,17.3,18.3,28.8,27.8,41.2,39.9,49.3,44.5,37.7,34.3,66.1,-4.4
117,UC Davis,BW,29,23–6,109.9,105.1,.6268,57.8,47.9,21.2,17.9,28.6,33.5,40.1,33.7,52.2,46,44.4,34.2,63.2,-0.7
118,California,P12,33,18–15,101.4,97.0,.6258,48.9,46.8,16.6,14.3,26,25.1,30.3,38.8,47,45.6,35.9,33.4,66.1,-3.4
119,North Carolina Central,MEAC,29,22–7,100.9,96.6,.6218,52.9,41.6,19.9,20.2,30.9,30.6,37.5,40.7,53,41.1,35.2,28.4,60,-2.2
120,Massachusetts,A10,32,17–15,104.4,100.2,.6164,47.3,48.7,20.5,17.5,34,31.3,42.4,35.2,48.4,47.1,29.6,35,67.8,-4.8
121,San Francisco,WCC,31,13–18,104.6,100.5,.6113,50.7,49.2,17.9,18.9,30.5,30.8,41,38.7,50.7,46.9,33.7,35.5,66.1,-9
122,Northwestern,B10,32,15–17,104.7,100.7,.6109,50.4,48.4,18.1,15.5,27.6,30.9,28.6,32.8,48.3,43.8,35.9,37.7,60.6,-4.2
123,Utah St.,MWC,30,17–13,104.8,100.9,.6070,52.4,45.8,16.3,17,21.7,34,36.4,29.1,48.5,46.3,39.4,29.9,64.1,-5.9
124,Kent St.,MAC,31,20–11,103.9,100.2,.6050,49.8,46.1,17.9,18.2,33.3,31.8,38.2,39.2,46.8,45.3,36.6,32,62,-4.4
125,New Mexico,MWC,31,15–16,99.7,96.1,.6041,47.9,46.7,20.2,18.6,33.3,26.1,38.4,32.8,48.6,46.4,30.8,31.4,62.8,-8
126,Cleveland St.,Horz,30,16–14,104.5,100.8,.6003,50.9,48.6,18.9,21,32.3,31,31.4,44.6,48.3,45.6,37.1,36,61,-6.6
127,St. Bonaventure,A10,31,18–13,102.6,99.0,.6002,47.1,48.4,18.9,19.7,35,29,37.9,33.9,47.1,45.3,31.4,36.2,65,-5.2
128,Long Beach St.,BW,31,14–17,102.3,98.8,.5994,47.6,49.2,20.2,21,31.5,34,34.4,36.9,46.3,49,33.2,33,65.7,-5.5
129,Evansville,MVC,30,18–12,103.3,100.0,.5913,51.1,49.4,19.8,19.9,26.1,28.6,46.1,31.8,51,48.2,34.3,34.5,65.7,-4.5
130,DePaul,BE,32,12–20,107.5,104.2,.5888,50.7,50.8,19.8,18.8,27.4,35.5,36.5,48.7,49.2,52.7,35.2,31.2,67.7,-7.4
131,Eastern Washington,BSky,31,23–8,110.8,107.5,.5868,55.4,52,15.9,17.7,29.3,30.6,35.6,35.1,52.3,49,39.6,38.4,68.6,-2.3
132,Louisiana Lafayette,SB,30,17–13,103.2,100.2,.5846,49.7,47.6,20.4,18.3,34.9,27.4,38.6,37.4,48.8,47.5,34.4,31.9,70.4,-7.9
133,Auburn,SEC,34,14–20,104.3,101.4,.5799,46.9,52.5,18.9,21.3,27.6,34.1,48.8,41.9,43.4,53.8,35,33.3,68,-7
134,Eastern Michigan,MAC,30,17–13,99.3,96.6,.5796,47,46.1,17.8,21.4,30.2,33.3,42.2,42.6,46.8,43.8,31.5,33.2,66.2,-6.1
135,Vermont,AE,30,17–13,99.9,97.3,.5753,51.6,43.2,20.1,20.8,26.8,29,41.4,41.2,50.7,41.1,35.8,32.3,64.1,-8.7
136,Albany,AE,32,24–8,104.7,102.1,.5718,50.1,49.6,19,20.3,32.5,25.5,39.9,30.4,48.1,45.9,36,36.5,61.5,-3
137,Eastern Kentucky,OVC,28,17–11,103.1,100.6,.5705,53.2,52.8,18.3,27.2,22.4,34.6,34.6,36.3,55.1,49.2,34,38.6,63.9,-5.3
138,Loyola Chicago,MVC,30,17–13,103.2,100.9,.5636,53,49.5,21,20.1,28.7,32.4,32.1,31,49.9,51.2,39.4,31.1,60.9,-4.5
139,Western Michigan,MAC,31,18–13,107.3,105.2,.5570,51.8,51.4,18,18.9,30.2,30.8,42.8,37.4,50.3,50.8,36.4,34.8,65.1,-5.7
140,Stony Brook,AE,32,21–11,100.1,98.1,.5570,46.1,45.8,18.8,17.6,37,25.1,32.5,32.6,45.3,42.8,31.9,34.2,64.3,-4.5
141,Cal Poly,BW,27,11–16,101.4,99.6,.5507,44.1,49.3,14.8,17.3,31.9,28.2,31.5,31.3,42.5,47.3,31.6,35.6,59.3,-8.8
142,Texas Tech,B12,32,13–19,99.7,98.2,.5427,45.7,49.2,21.8,20.1,34.6,32.6,46.1,36.5,44.5,48.2,32.3,33.9,62.4,-6.4
143,UAB,CUSA,33,18–15,101.8,100.4,.5408,47.8,47.2,20.4,19.8,34,33.1,37.2,34.1,46.9,47,33.2,31.8,65.4,-7.2
144,Coastal Carolina,BSth,29,20–9,104.2,102.8,.5388,49.9,47.1,17.8,17,35.2,27.6,39.6,35.6,48.2,45.1,35.4,33.5,63.9,-4.8
145,Columbia,Ivy,27,12–15,105.8,104.5,.5373,51.6,47.9,19.4,16.2,32,29.2,28.2,38.2,49.7,47.2,35.9,33.1,60.5,-9.5
146,UNC Wilmington,CAA,30,17–13,100.3,99.0,.5361,47.6,47.8,18.3,20.6,31.3,32,37.6,47.3,46.5,47.1,34,32.9,67.8,-6.5
147,Mississippi St.,SEC,31,12–19,98.9,97.8,.5313,47.5,48,23.3,18.9,32.3,31.1,46.4,36.5,47.9,47,31.1,33.2,64.2,-9.1
148,Georgia Southern,SB,28,19–9,98.7,97.7,.5296,47.3,46.2,18.3,22,32.6,32.2,36.2,32.7,47.5,45.9,31.4,31.2,63.8,-4.3
149,Morehead St.,OVC,32,15–17,101.7,100.8,.5264,49.3,49.1,20.1,21.2,34.7,28.2,34.7,55.2,48.4,48.4,34,33.7,65.7,-10.3
150,Manhattan,MAAC,32,19–13,100.5,99.6,.5257,49.7,48,21,24.1,31,33.7,47.9,51.9,48.9,47.9,34,32.2,67.9,-7.4
151,Belmont,OVC,31,21–10,107.3,106.5,.5236,56.5,51.3,20.3,18.7,29.2,29.5,33,27.7,56.3,51.2,37.9,34.3,67.5,-4.4
152,Mercer,SC,31,16–15,103.6,102.8,.5220,49.3,49.3,17.5,19.6,33.6,32.5,40.8,32.2,48.5,46.8,34,35.4,60.5,-9.2
153,USC,P12,32,12–20,98.8,98.2,.5176,46.8,48,20,19.1,31.5,34.3,33.8,31.2,45.8,47.2,32.9,32.9,68.6,-8.9
154,Montana,BSky,30,18–12,104.2,103.6,.5163,53.8,50.8,18.1,20.1,27.9,28.9,34.1,44.3,53,48.8,36.5,35.9,62.4,-6.8
155,Oakland,Horz,30,14–16,108.9,108.5,.5115,52.3,53,18.7,15.9,30.2,30.9,38.6,34.8,51.3,52.5,35.9,35.9,66.5,-7
156,Middle Tennessee,CUSA,34,18–16,99.7,99.3,.5106,48,49.8,20.3,20.6,31.4,25.7,36.4,42.8,44.4,48.1,36.2,35.6,61.6,-8.5
157,North Florida,ASun,31,20–11,105.1,104.7,.5094,53.6,47.9,18,18.2,28.9,32,39.4,33.4,51.1,48.1,38,31.5,67.4,-4.9
158,Saint Joseph's,A10,31,13–18,98.0,97.8,.5060,45.3,48.3,19.2,19,31.5,30.4,35.2,31.3,45.5,46.3,29.9,34.8,64,-9.4
159,Charlotte,CUSA,32,14–18,106.6,106.4,.5056,51.7,50.6,19.6,18.4,33.7,31.3,36.9,33.1,49.8,48.3,37.6,36.5,67.5,-9.9
160,Virginia Tech,ACC,33,11–22,104.6,104.5,.5040,51.5,50.8,18.1,18.9,26,36.6,31.9,33.8,47.7,49.6,38.9,35.1,64.3,-9
161,Western Kentucky,CUSA,30,18–12,102.0,101.8,.5033,49.6,48.6,18.9,18.9,30.4,29.2,38.7,34.1,47.2,48.1,35.6,33.1,66.9,-5.3
162,Quinnipiac,MAAC,30,15–15,101.9,101.8,.5032,44,45.2,20.4,14,42.1,26.5,35.5,33.4,43.1,41.9,30.7,35.1,66.7,-10.6
163,Rider,MAAC,32,21–11,99.1,99.2,.4976,49.3,47.5,19,21.7,31.4,30,36,37.5,49.4,46.4,32.7,32.7,64.6,-5.2
164,USC Upstate,ASun,30,19–11,102.6,102.7,.4959,49.7,47.1,16.4,20.6,35,33.4,30.7,31.1,49,47.5,33.8,31.1,63.6,-6.6
