,Team,Conf,G,Rec,AdjOE,AdjDE,Barthag,EFG%,EFGD%,TOR,TORD,ORB,DRB,FTR,FTRD,2P%,2P%D,3P%,3P%D,Adj T.,WAB
0,Kentucky,SEC,34,34–0,119.0,83.5,.9834,51.8,39.7,16.4,21.8,40.4,31.6,43.8,31.6,51.5,39.1,35,27.4,63.5,13
1,Wisconsin,B10,34,31–3,126.4,92.1,.9743,54.6,46.7,12.4,16.7,31.9,23.7,35.6,21.1,55.1,44,35.7,36,59.3,11.3
2,Virginia,ACC,32,29–3,113.2,83.3,.9714,51.2,41.7,16.1,18.1,34,24.3,34.2,27.9,50.1,39.5,36.1,30.3,58.3,9.9
3,Duke,ACC,33,29–4,124.6,93.1,.9663,56.9,47.4,16.8,18.7,37.4,30.1,40.2,24.9,56.3,47.1,38.6,32,66.8,10.6
4,Arizona,P12,34,31–3,115.5,86.5,.9654,53.6,44.3,16.7,21.1,34.1,22.3,47.1,36.3,53.4,42,36,32.8,66.9,8.9
5,Villanova,BE,34,32–2,120.7,91.4,.9608,55.3,45.5,16.6,21.7,32.7,31.1,42.4,30.3,53.1,45.2,38.9,30.8,64.8,11.2
6,Gonzaga,WCC,33,31–2,120.4,92.9,.9518,58.4,43.6,16.3,17.6,33.9,28.6,39.1,31.6,57.1,41.4,40.8,32.3,65.1,7.9
7,Utah,P12,31,23–8,115.1,88.9,.9515,55.6,42.7,17.8,18.3,31.3,28.1,42.8,34.5,52.8,40.9,40.2,31.6,61.5,3.7
8,North Carolina,ACC,35,24–11,118.4,91.7,.9496,51.4,45.3,18.2,17.8,39.9,30.5,34.7,37.6,51.3,45.7,34.5,29.8,70.2,6.4
9,Oklahoma,B12,32,22–10,110.0,87.3,.9348,49.4,43.7,17.7,20.2,30.9,31.5,32.7,28.9,48.4,42.4,34.3,30.9,68.1,4.2
10,Baylor,B12,32,23–9,115.8,92.8,.9274,49.8,45.8,19.6,19.6,41.8,31.7,38.8,32.4,46,46.5,38.2,29.8,62.2,4.8
11,Notre Dame,ACC,34,29–5,124.4,99.8,.9260,58.6,48.1,14.4,17.4,28.1,31.6,37.1,23.3,58.4,47.4,39.2,32.9,64.1,8.4
12,Louisville,ACC,32,24–8,107.9,86.6,.9258,47.8,43.4,17.8,21.8,35.1,30.9,38.8,34.7,48.9,43.3,30.4,29.3,66,5.7
13,Kansas,B12,34,26–8,113.3,91.0,.9252,49.3,44.4,19.1,17.5,34.9,31.8,43,33.6,46.5,43.5,37.5,30.9,67.3,8.7
14,Wichita St.,MVC,31,27–4,114.1,91.7,.9251,50.7,45.2,15.2,21.6,34.8,27,35.4,36.8,48.9,42.5,35.9,34.4,62.2,4.4
15,Michigan St.,B10,34,23–11,114.8,92.6,.9223,53.8,45.7,17.9,17,34.6,26,31.9,37.7,51.6,44.1,38.6,32.3,64.1,3
16,Northern Iowa,MVC,33,30–3,114.0,92.2,.9206,56.2,45.1,18,19.3,26.9,26.9,40.2,26.7,53.9,43.8,39.7,31.6,58.5,5.6
17,Ohio St.,B10,33,23–10,114.2,92.8,.9152,54.5,46.6,17,22.1,34.1,31.4,34.8,27.4,53.9,45.8,37.2,31.8,66.6,2.4
18,Iowa St.,B12,33,25–8,118.1,96.7,.9086,54.7,47.9,15.8,18.5,28.5,29.2,37.4,24.3,54.7,45.4,36.6,35.2,69.9,6.8
19,Iowa,B10,32,21–11,113.1,92.6,.9085,47.8,45.1,17.4,19.3,35.8,30.5,39.6,29.2,46.9,43.1,33.2,32.4,64.6,2
20,Texas,B12,33,20–13,110.6,91.4,.8999,49.4,42.2,20,14.2,38,29,36.9,34.2,48.6,37.8,33.9,34.8,62.9,0.8
21,Butler,BE,32,22–10,108.5,89.7,.8998,49.1,46.9,17.4,19.3,35.5,24.9,40.5,33.3,47.2,47.3,35.8,30.6,64.1,3.4
22,Georgetown,BE,31,21–10,111.5,93.2,.8872,50.9,46.6,19.2,20.6,34.3,31.3,44.1,43.9,50.4,42.7,34.7,35.9,64.7,3.6
23,Xavier,BE,34,21–13,115.0,96.2,.8861,53,50.2,18,19.2,31.3,27.1,38.1,34.4,53.4,48.9,34.9,35,66,1.3
24,West Virginia,B12,32,23–9,110.5,92.9,.8803,46.6,52.6,18.7,28.2,40.9,31.1,40.4,55.9,45.9,51.6,31.9,36.5,69.1,3.9
25,Providence,BE,33,22–11,111.8,94.0,.8796,48.6,48.1,17.9,19.7,35.3,29.5,41.6,38.5,49.4,47,31,33.3,65.8,3.6
26,Florida,SEC,33,16–17,106.2,89.7,.8745,49.6,46,19.6,21.6,31.7,29.1,31.4,37.8,50.3,44.6,32.4,32.8,62.7,-3
27,San Diego St.,MWC,33,25–8,102.5,86.9,.8697,46.7,42.7,18.6,21.5,35.9,30.2,36.2,26.7,46.1,41.2,32.1,30.6,61.2,1.5
28,SMU,Amer,32,26–6,111.2,94.5,.8665,52.4,45.5,19.7,20,36.9,29.3,44.1,31.2,51.9,43.1,36,32.2,63.7,3.3
29,BYU,WCC,32,23–9,118.1,100.7,.8624,53,49.6,16.4,18,33.9,28.2,42.3,39.6,50.3,49.6,38.5,33.2,70.6,0.9
30,Maryland,B10,33,27–6,109.9,93.9,.8595,50.9,45.4,18.4,17.3,29.2,30.4,44.5,27.9,47.8,44.6,37.2,31.2,64.6,6.8
31,St. John's,BE,31,20–11,109.6,93.8,.8575,49.3,46.1,15.7,19.5,27.8,35.4,36.2,32.6,47.9,44.8,35.1,32.4,66.9,2.2
32,Arkansas,SEC,34,26–8,113.3,97.0,.8569,50.2,48.6,16.6,22.6,35.6,34.2,37.3,38.5,49.1,46.6,35,35.3,70.1,3.8
33,Davidson,A10,30,23–7,119.3,102.4,.8535,56,49.1,14.3,17.3,29.8,30.1,29,35.4,53.5,51.3,39.3,29.8,67.3,1.8
34,Purdue,B10,33,21–12,110.1,94.5,.8530,50.7,45.5,20,17.8,36.2,31.1,42.5,38.5,51,42.3,33.5,35,65,0.9
35,North Carolina St.,ACC,33,20–13,113.3,97.3,.8520,49.6,45.5,16.2,15.4,34.1,30.5,36.1,34.1,47.4,43.6,36.1,33.2,64.9,1
36,Syracuse,ACC,31,18–13,105.9,91.0,.8514,47.3,46.4,17.9,21.1,33.5,31.3,35.4,30,48.3,45.9,30,31.4,66.4,-0.4
37,VCU,A10,35,26–9,109.0,93.9,.8466,48.8,49.3,15.7,23.8,31.7,30.8,37.5,37.7,47.2,48.1,34.2,34.4,67.4,3.1
38,Georgia,SEC,32,21–11,107.8,93.2,.8435,48.9,44.2,19.3,16.8,32.3,28.9,47.8,34.3,47.7,43,34.4,31,64.7,1.5
39,Oklahoma St.,B12,30,17–13,109.7,94.8,.8432,50.1,46,18.6,21.2,26.9,33.1,39.7,42.4,49,43.5,34.6,34.3,63.9,0
40,Miami FL,ACC,33,21–12,111.5,96.4,.8426,50.8,48.2,15.9,18.1,28.8,29.6,34.7,27.9,48.5,47.1,36.1,33.7,62.7,0.7
41,Cincinnati,Amer,32,22–10,106.4,92.5,.8335,50.4,44.5,21.3,20.3,37.3,31.7,37.8,25.4,50.5,42,33.3,32.9,60.2,-1.2
42,Indiana,B10,33,20–13,118.9,103.4,.8327,54.6,50.5,17.1,16.1,35.3,31.3,32.7,32.1,50.7,51,40.3,32.8,67.1,-0.4
43,Illinois,B10,32,19–13,107.7,93.7,.8325,47.9,47.5,15.1,19.8,29.9,28.1,31.7,29.9,44.8,46.8,35.7,32.4,65.7,-0.7
44,LSU,SEC,32,22–10,107.1,93.7,.8238,50.5,44.6,20.5,19.2,34,33,33.4,30,50.3,43.6,33.9,31.3,70.3,0.4
45,Stanford,P12,32,19–13,111.8,98.1,.8171,49.3,49.1,16.1,17.5,33.6,27.8,39,36.8,45.7,45.6,38.2,37.7,65.2,-1.1
46,Mississippi,SEC,32,20–12,112.7,99.0,.8164,48.2,46.9,16.9,18.9,35,31.7,37.5,41.2,46.9,43.4,33.8,34.9,66.4,-0.6
47,Minnesota,B10,32,17–15,110.7,97.4,.8138,52.1,50.8,17.7,24.2,30,33.4,32.9,34.5,50.1,48.3,37.2,36.8,68.1,-2.5
48,UCLA,P12,33,20–13,110.1,96.9,.8126,49.4,48.7,17.5,18.5,33.8,28.1,36.3,32.7,47.2,45.7,36.3,35.5,66.9,-0
49,TCU,B12,33,18–15,106.8,94.1,.8118,47.9,44.1,18.4,20,37.5,33.4,46.5,48,47.5,42.2,32.7,33.5,64.1,-2.8
50,South Carolina,SEC,32,16–16,104.0,91.8,.8072,45.2,44.8,19.6,21,34.6,31.5,37.3,44.5,45.2,43.2,30.1,31.7,64.9,-3.7
51,Colorado St.,MWC,32,26–6,110.7,97.8,.8067,50.3,48.5,16.3,18.3,34.1,25.5,41.5,33.5,48.9,45.6,35.2,35.9,67,1.5
52,Oregon,P12,33,24–9,112.6,99.5,.8062,52.1,47.8,17,16.8,30.6,31.7,29.5,35.3,50.6,46.8,36.7,33.3,66.9,3
53,Vanderbilt,SEC,31,18–13,112.6,99.5,.8058,54.1,46.7,20.5,18.4,32.1,32.8,42.1,34.4,51.5,44.5,39,34,63.3,-2.6
54,Saint Mary's,WCC,29,20–9,110.5,97.8,.8032,52.9,47.8,18.8,15.6,32.8,24.5,34.6,33.2,50.8,46.7,37.7,33.4,63.1,-0.7
